Gene names	Accession IDs	Copy number	Rank	Cell type	Experiment type	Fraction	Condition	label
H4C1	P62806	116343913.3	1.0	2991	Single shot	1	Standard	2991_Standard
HIST1H2AF	Q8CGP5	71322431.9	2.0	2991	Single shot	1	Standard	2991_Standard
ACTB	P60710	19639370.75	4.0	2991	Single shot	1	Standard	2991_Standard
S100A4	P07091	3942132.739	22.0	2991	Single shot	1	Standard	2991_Standard
H3C1	P68433	29534402.02	3.0	2991	Single shot	1	Standard	2991_Standard
TXN	P10639	6691521.531	9.0	2991	Single shot	1	Standard	2991_Standard
PPIA	P17742	8125076.132	7.0	2991	Single shot	1	Standard	2991_Standard
EEF1A1	P10126	13363827.22	5.0	2991	Single shot	1	Standard	2991_Standard
RPS28	P62858	7643715.905	8.0	2991	Single shot	1	Standard	2991_Standard
H1-3	P43277	8642227.214	6.0	2991	Single shot	1	Standard	2991_Standard
NME2	Q01768	5949462.221	11.0	2991	Single shot	1	Standard	2991_Standard
PRDX1	P35700	3323034.243	33.0	2991	Single shot	1	Standard	2991_Standard
IGF2	P09535	50319.92997	1486.0	2991	Single shot	1	Standard	2991_Standard
PFN1	P62962	4361122.781	16.0	2991	Single shot	1	Standard	2991_Standard
HSPE1	Q64433	5110745.176	13.0	2991	Single shot	1	Standard	2991_Standard
GAPDH	P16858	6275182.212	10.0	2991	Single shot	1	Standard	2991_Standard
LGALS1	P16045	3575537.198	26.0	2991	Single shot	1	Standard	2991_Standard
FAU	P62862	5448001.308	12.0	2991	Single shot	1	Standard	2991_Standard
VIM	P20152	3972335.861	21.0	2991	Single shot	1	Standard	2991_Standard
TUBA1A	P68369	4068169.778	18.0	2991	Single shot	1	Standard	2991_Standard
CRABP1	P62965	4021115.749	20.0	2991	Single shot	1	Standard	2991_Standard
RPS25	P62852	4373590.449	15.0	2991	Single shot	1	Standard	2991_Standard
S100A6	P14069	2431357.097	57.0	2991	Single shot	1	Standard	2991_Standard
RPS10	P63325	4493060.51	14.0	2991	Single shot	1	Standard	2991_Standard
RPS15A	P62245	3658638.666	24.0	2991	Single shot	1	Standard	2991_Standard
TUBB5	P99024	3014114.822	39.0	2991	Single shot	1	Standard	2991_Standard
RPS29	P62274	3074652.974	38.0	2991	Single shot	1	Standard	2991_Standard
RPL27	P61358	3512159.371	28.0	2991	Single shot	1	Standard	2991_Standard
RPS21	Q9CQR2	4027309.733	19.0	2991	Single shot	1	Standard	2991_Standard
HSP90AB1	P11499	3183165.139	36.0	2991	Single shot	1	Standard	2991_Standard
RPS26	P62855	3653461.75	25.0	2991	Single shot	1	Standard	2991_Standard
CFL1	P18760	2927405.055	42.0	2991	Single shot	1	Standard	2991_Standard
RPS16	P14131	3190997.004	34.0	2991	Single shot	1	Standard	2991_Standard
RPS20	P60867	3350614.324	32.0	2991	Single shot	1	Standard	2991_Standard
TPM1	P58771	1274050.283	109.0	2991	Single shot	1	Standard	2991_Standard
RPS18	P62270	2854449.643	43.0	2991	Single shot	1	Standard	2991_Standard
RPL23A	P62751	2785001.819	44.0	2991	Single shot	1	Standard	2991_Standard
RPL27A	P14115	2456915.197	55.0	2991	Single shot	1	Standard	2991_Standard
RPL39	P62892	2227082.543	62.0	2991	Single shot	1	Standard	2991_Standard
ATP5F1E	P56382	3435727.781	30.0	2991	Single shot	1	Standard	2991_Standard
RPS27A	P62983	2739053.202	46.0	2991	Single shot	1	Standard	2991_Standard
RPS9	Q6ZWN5	2681876.056	48.0	2991	Single shot	1	Standard	2991_Standard
RPL34	Q9D1R9	2463737.349	54.0	2991	Single shot	1	Standard	2991_Standard
RPL35A	O55142	2522834.787	52.0	2991	Single shot	1	Standard	2991_Standard
RPL36	P47964	2178227.282	65.0	2991	Single shot	1	Standard	2991_Standard
H1-2	P15864	4346431.168	17.0	2991	Single shot	1	Standard	2991_Standard
RPS13	P62301	2394228.48	58.0	2991	Single shot	1	Standard	2991_Standard
ENO1	P17182	3187132.702	35.0	2991	Single shot	1	Standard	2991_Standard
TUBB6	Q922F4	3465195.817	29.0	2991	Single shot	1	Standard	2991_Standard
RPL30	P62889	2542053.47	49.0	2991	Single shot	1	Standard	2991_Standard
RPL31	P62900	2181116.427	64.0	2991	Single shot	1	Standard	2991_Standard
RPS3	P62908	2345667.435	59.0	2991	Single shot	1	Standard	2991_Standard
RPL35	Q6ZWV7	1976133.398	72.0	2991	Single shot	1	Standard	2991_Standard
RPL38	Q9JJI8	1884247.814	77.0	2991	Single shot	1	Standard	2991_Standard
H1-5	P43276	2534209.061	50.0	2991	Single shot	1	Standard	2991_Standard
SNRPE	P62305	2719129.847	47.0	2991	Single shot	1	Standard	2991_Standard
RPL13	P47963	1885037.457	76.0	2991	Single shot	1	Standard	2991_Standard
PGAM1	Q9DBJ1	3559481.877	27.0	2991	Single shot	1	Standard	2991_Standard
EIF5A	P63242	2079941.159	71.0	2991	Single shot	1	Standard	2991_Standard
CALR	P14211	1104410.278	126.0	2991	Single shot	1	Standard	2991_Standard
COX6C	Q9CPQ1	1643270.194	84.0	2991	Single shot	1	Standard	2991_Standard
ANXA5	P48036	1575655.467	91.0	2991	Single shot	1	Standard	2991_Standard
PTGES3	Q9R0Q7	2947492.397	41.0	2991	Single shot	1	Standard	2991_Standard
ANXA2	P07356	1092190.234	131.0	2991	Single shot	1	Standard	2991_Standard
RPL12	P35979	1934158.52	74.0	2991	Single shot	1	Standard	2991_Standard
YWHAE	P62259	2339144.161	60.0	2991	Single shot	1	Standard	2991_Standard
H1-4	P43274	3396575.534	31.0	2991	Single shot	1	Standard	2991_Standard
HINT1	P70349	2526949.983	51.0	2991	Single shot	1	Standard	2991_Standard
RPS11	P62281	1961930.141	73.0	2991	Single shot	1	Standard	2991_Standard
LDHA	P06151	2090904.177	70.0	2991	Single shot	1	Standard	2991_Standard
RPL32	P62911	1709333.786	80.0	2991	Single shot	1	Standard	2991_Standard
FABP5	Q05816	3858861.131	23.0	2991	Single shot	1	Standard	2991_Standard
RPL11	Q9CXW4	1893903.469	75.0	2991	Single shot	1	Standard	2991_Standard
ATP5MG	Q9CPQ8	2177548.912	66.0	2991	Single shot	1	Standard	2991_Standard
RPL13A	P19253	1627490.964	86.0	2991	Single shot	1	Standard	2991_Standard
RPL10A	P53026	1567312.823	92.0	2991	Single shot	1	Standard	2991_Standard
MARCKS	P26645	277390.5875	410.0	2991	Single shot	1	Standard	2991_Standard
SOD1	P08228	2445179.79	56.0	2991	Single shot	1	Standard	2991_Standard
SRSF3	P84104	2243400.24	61.0	2991	Single shot	1	Standard	2991_Standard
PKM	P52480	2210964.01	63.0	2991	Single shot	1	Standard	2991_Standard
RPL18	P35980	1613102.5	88.0	2991	Single shot	1	Standard	2991_Standard
PTMS	Q9D0J8	774142.1383	178.0	2991	Single shot	1	Standard	2991_Standard
RPS14	P62264	1804545.357	78.0	2991	Single shot	1	Standard	2991_Standard
RPS7	P62082	1633994.967	85.0	2991	Single shot	1	Standard	2991_Standard
ATP5MF	P56135	2155278.582	68.0	2991	Single shot	1	Standard	2991_Standard
TAGLN	P37804	83257.21835	1047.0	2991	Single shot	1	Standard	2991_Standard
RPL23	P62830	1662102.901	83.0	2991	Single shot	1	Standard	2991_Standard
TAGLN2	Q9WVA4	1099721.833	128.0	2991	Single shot	1	Standard	2991_Standard
RPS6	P62754	1430276.979	99.0	2991	Single shot	1	Standard	2991_Standard
SLC25A5	P51881	1513116.457	95.0	2991	Single shot	1	Standard	2991_Standard
RPS27	Q6ZWU9	1606777.855	89.0	2991	Single shot	1	Standard	2991_Standard
RPL8	P62918	1333346.969	106.0	2991	Single shot	1	Standard	2991_Standard
RPS19	Q9CZX8	1403928.692	101.0	2991	Single shot	1	Standard	2991_Standard
NPM1	Q61937	1562840.109	93.0	2991	Single shot	1	Standard	2991_Standard
RPL22	P67984	1625304.635	87.0	2991	Single shot	1	Standard	2991_Standard
RPS2	P25444	1683283.612	81.0	2991	Single shot	1	Standard	2991_Standard
CLIC1	Q9Z1Q5	1094821.744	130.0	2991	Single shot	1	Standard	2991_Standard
DBI	P31786	511187.5621	252.0	2991	Single shot	1	Standard	2991_Standard
RPS8	P62242	1414852.768	100.0	2991	Single shot	1	Standard	2991_Standard
RPL24	Q8BP67	1382195.94	104.0	2991	Single shot	1	Standard	2991_Standard
RPL7	P14148	1293053.199	108.0	2991	Single shot	1	Standard	2991_Standard
SLC25A4	P48962	1556000.532	94.0	2991	Single shot	1	Standard	2991_Standard
RAN	P62827	1585063.372	90.0	2991	Single shot	1	Standard	2991_Standard
PGK1	P09411	3000390.807	40.0	2991	Single shot	1	Standard	2991_Standard
NDUFA4	Q62425	1399428.933	102.0	2991	Single shot	1	Standard	2991_Standard
RPL17	Q9CPR4	1088459.616	132.0	2991	Single shot	1	Standard	2991_Standard
PEBP1	P70296	1435396.759	98.0	2991	Single shot	1	Standard	2991_Standard
GSTO1	O09131	936209.2259	153.0	2991	Single shot	1	Standard	2991_Standard
NPC2	Q9Z0J0	474554.3198	266.0	2991	Single shot	1	Standard	2991_Standard
RPS4X	P62702	1309270.906	107.0	2991	Single shot	1	Standard	2991_Standard
HNRNPAB	Q99020	1665185.872	82.0	2991	Single shot	1	Standard	2991_Standard
RPL14	Q9CR57	1210382.55	115.0	2991	Single shot	1	Standard	2991_Standard
RPS12	P63323	1364497.709	105.0	2991	Single shot	1	Standard	2991_Standard
PRDX6	O08709	901896.2062	162.0	2991	Single shot	1	Standard	2991_Standard
RPS24	P62849	1185280.369	118.0	2991	Single shot	1	Standard	2991_Standard
RPL18A	P62717	1141192.293	124.0	2991	Single shot	1	Standard	2991_Standard
MDH2	P08249	1756060.738	79.0	2991	Single shot	1	Standard	2991_Standard
RPL19	P84099	980853.403	143.0	2991	Single shot	1	Standard	2991_Standard
EEF1B	O70251	2092058.942	69.0	2991	Single shot	1	Standard	2991_Standard
LMNA	P48678	532243.6406	246.0	2991	Single shot	1	Standard	2991_Standard
