Gene names	Accession IDs	Copy number	Rank	Cell type	Experiment type	Fraction	Condition	label
H4C1	P62806	116458787.2	1.0	3T3	Single shot	1	Standard	3T3_Standard
HIST1H2AF	Q8CGP5	72159546.53	2.0	3T3	Single shot	1	Standard	3T3_Standard
ACTB	P60710	44238534.55	3.0	3T3	Single shot	1	Standard	3T3_Standard
S100A4	P07091	44220209.63	4.0	3T3	Single shot	1	Standard	3T3_Standard
H3C1	P68433	33165788.98	5.0	3T3	Single shot	1	Standard	3T3_Standard
TXN	P10639	13840365.27	6.0	3T3	Single shot	1	Standard	3T3_Standard
PPIA	P17742	12790323.9	7.0	3T3	Single shot	1	Standard	3T3_Standard
EEF1A1	P10126	12246064.77	8.0	3T3	Single shot	1	Standard	3T3_Standard
RPS28	P62858	12123883.4	9.0	3T3	Single shot	1	Standard	3T3_Standard
H1-3	P43277	9995254.212	10.0	3T3	Single shot	1	Standard	3T3_Standard
NME2	Q01768	8342987.564	11.0	3T3	Single shot	1	Standard	3T3_Standard
PRDX1	P35700	8152999.089	12.0	3T3	Single shot	1	Standard	3T3_Standard
IGF2	P09535	7657203.943	13.0	3T3	Single shot	1	Standard	3T3_Standard
PFN1	P62962	7483898.455	14.0	3T3	Single shot	1	Standard	3T3_Standard
HSPE1	Q64433	7413991.779	15.0	3T3	Single shot	1	Standard	3T3_Standard
GAPDH	P16858	7386366.604	16.0	3T3	Single shot	1	Standard	3T3_Standard
LGALS1	P16045	7298601.012	17.0	3T3	Single shot	1	Standard	3T3_Standard
FAU	P62862	7262154.473	18.0	3T3	Single shot	1	Standard	3T3_Standard
VIM	P20152	6720797.8	19.0	3T3	Single shot	1	Standard	3T3_Standard
TUBA1A	P68369	6667314.782	20.0	3T3	Single shot	1	Standard	3T3_Standard
CRABP1	P62965	5968244.601	21.0	3T3	Single shot	1	Standard	3T3_Standard
RPS25	P62852	5689895.356	22.0	3T3	Single shot	1	Standard	3T3_Standard
S100A6	P14069	5685477.701	23.0	3T3	Single shot	1	Standard	3T3_Standard
RPS10	P63325	5429258.847	24.0	3T3	Single shot	1	Standard	3T3_Standard
RPS15A	P62245	5411869.44	25.0	3T3	Single shot	1	Standard	3T3_Standard
TUBB5	P99024	5287819.12	26.0	3T3	Single shot	1	Standard	3T3_Standard
RPS29	P62274	5264974.033	27.0	3T3	Single shot	1	Standard	3T3_Standard
RPL27	P61358	5148239.074	28.0	3T3	Single shot	1	Standard	3T3_Standard
RPS21	Q9CQR2	5092472.6	29.0	3T3	Single shot	1	Standard	3T3_Standard
HSP90AB1	P11499	5023867.168	30.0	3T3	Single shot	1	Standard	3T3_Standard
RPS26	P62855	4948026.346	31.0	3T3	Single shot	1	Standard	3T3_Standard
CFL1	P18760	4578001.306	32.0	3T3	Single shot	1	Standard	3T3_Standard
RPS16	P14131	4509215.863	33.0	3T3	Single shot	1	Standard	3T3_Standard
RPS20	P60867	4406893.397	34.0	3T3	Single shot	1	Standard	3T3_Standard
TPM1	P58771	4204634.145	35.0	3T3	Single shot	1	Standard	3T3_Standard
RPS18	P62270	4133094.376	36.0	3T3	Single shot	1	Standard	3T3_Standard
