Gene names	Accession IDs	Copy number	Rank	Cell type	Experiment type	Fraction	Condition	label
ACTB	P60709	123229000	1	A549	Fractionated	1	Standard	A549_Standard
ALDH1A1	P00352	108055000	2	A549	Fractionated	1	Standard	A549_Standard
HIST1H4A	P62805	97850700	3	A549	Fractionated	1	Standard	A549_Standard
AKR1B10	O60218	90767900	4	A549	Fractionated	1	Standard	A549_Standard
GAPDH	P04406	87068800	5	A549	Fractionated	1	Standard	A549_Standard
HIST1H2AJ;HIST1H2AH;HIST2H2AA3;HIST1H2AD;HIST1H2AG;H2AFJ;HIST2H2AC	Q99878;Q96KK5;Q6FI13;P20671;P0C0S8;Q9BTM1;Q16777;Q9BTM1-2	79893000	6	A549	Fractionated	1	Standard	A549_Standard
BIOGNOSYS	Biognosys	76819000	7	A549	Fractionated	1	Standard	A549_Standard
PPIA	P62937	72065900	8	A549	Fractionated	1	Standard	A549_Standard
PFN1	P07737	71103100	9	A549	Fractionated	1	Standard	A549_Standard
PRDX1	Q06830	70741400	10	A549	Fractionated	1	Standard	A549_Standard
ANXA2;ANXA2P2	P07355;P07355-2;A6NMY6	70511300	11	A549	Fractionated	1	Standard	A549_Standard
PKM	P14618;P14618-3	67155200	12	A549	Fractionated	1	Standard	A549_Standard
HIST1H2BH;HIST2H2BF	Q93079;Q5QNW6;Q5QNW6-2	59926000	13	A549	Fractionated	1	Standard	A549_Standard
ENO1	P06733;P06733-2	59068800	14	A549	Fractionated	1	Standard	A549_Standard
TUBB4B	P68371	57759900	15	A549	Fractionated	1	Standard	A549_Standard
KRT18	P05783	54378200	16	A549	Fractionated	1	Standard	A549_Standard
CFL1	P23528	53954200	17	A549	Fractionated	1	Standard	A549_Standard
AKR1B1	P15121	53238900	18	A549	Fractionated	1	Standard	A549_Standard
LDHA	P00338;P00338-3;P00338-4;P00338-5;P00338-2	52288300	19	A549	Fractionated	1	Standard	A549_Standard
ALDOA	P04075	50121000	20	A549	Fractionated	1	Standard	A549_Standard
AKR1C3	P42330	47395300	21	A549	Fractionated	1	Standard	A549_Standard
HSPE1	P61604	46194300	22	A549	Fractionated	1	Standard	A549_Standard
PGK1	P00558;P00558-2	45709600	23	A549	Fractionated	1	Standard	A549_Standard
EEF1A1;EEF1A1P5	P68104;Q5VTE0;P68104-2	44672800	24	A549	Fractionated	1	Standard	A549_Standard
ANXA1	P04083	44665500	25	A549	Fractionated	1	Standard	A549_Standard
TUBA1B	P68363;P68363-2	43970700	26	A549	Fractionated	1	Standard	A549_Standard
TPI1	P60174;P60174-1;P60174-4	42534900	27	A549	Fractionated	1	Standard	A549_Standard
RPS27A	P62979	40385600	28	A549	Fractionated	1	Standard	A549_Standard
TXN	P10599	37543800	29	A549	Fractionated	1	Standard	A549_Standard
HSPA8	P11142;P11142-2	37008300	30	A549	Fractionated	1	Standard	A549_Standard
G6PD	P11413;P11413-2	35986700	31	A549	Fractionated	1	Standard	A549_Standard
LGALS1	P09382	35131300	32	A549	Fractionated	1	Standard	A549_Standard
AKR1C1	Q04828	30877900	33	A549	Fractionated	1	Standard	A549_Standard
HSPD1	P10809	29922500	34	A549	Fractionated	1	Standard	A549_Standard
HSP90AB1	P08238	27940800	35	A549	Fractionated	1	Standard	A549_Standard
YWHAE	P62258;P62258-2	27784800	36	A549	Fractionated	1	Standard	A549_Standard
ACTN4	O43707;O43707-2;O43707-3	26446300	37	A549	Fractionated	1	Standard	A549_Standard
S100A4	P26447	25923800	38	A549	Fractionated	1	Standard	A549_Standard
HIST2H3A	Q71DI3	25795400	39	A549	Fractionated	1	Standard	A549_Standard
VIM	P08670	24138900	40	A549	Fractionated	1	Standard	A549_Standard
TAGLN2	P37802;P37802-2	24085800	41	A549	Fractionated	1	Standard	A549_Standard
TPM3	P06753-2	23740800	42	A549	Fractionated	1	Standard	A549_Standard
EIF5A;EIF5AL1	P63241;P63241-2;Q6IS14	23489700	43	A549	Fractionated	1	Standard	A549_Standard
NME2	P22392-2;P22392	23084500	44	A549	Fractionated	1	Standard	A549_Standard
LDHB	P07195	22925600	45	A549	Fractionated	1	Standard	A549_Standard
ACTC1	P68032	22780200	46	A549	Fractionated	1	Standard	A549_Standard
RPS12	P25398	22467200	47	A549	Fractionated	1	Standard	A549_Standard
AKR1C2	P52895	21403200	48	A549	Fractionated	1	Standard	A549_Standard
HNRNPA2B1	P22626;P22626-2	20783500	49	A549	Fractionated	1	Standard	A549_Standard
UCHL1	P09936	19515400	50	A549	Fractionated	1	Standard	A549_Standard
GPI	P06744;P06744-2	19501400	51	A549	Fractionated	1	Standard	A549_Standard
RPS4X	P62701	19313100	52	A549	Fractionated	1	Standard	A549_Standard
GSTP1	P09211	19283200	53	A549	Fractionated	1	Standard	A549_Standard
RPS16	P62249	18864400	54	A549	Fractionated	1	Standard	A549_Standard
UGDH	O60701;O60701-3;O60701-2	18684200	55	A549	Fractionated	1	Standard	A549_Standard
RPLP2	P05387	18481500	56	A549	Fractionated	1	Standard	A549_Standard
HSPB1	P04792	18094900	57	A549	Fractionated	1	Standard	A549_Standard
RPL12	P30050;P30050-2	18067500	58	A549	Fractionated	1	Standard	A549_Standard
YWHAZ	P63104	17727500	59	A549	Fractionated	1	Standard	A549_Standard
TKT	P29401;P29401-2	17461300	60	A549	Fractionated	1	Standard	A549_Standard
PGD	P52209-2;P52209	17420700	61	A549	Fractionated	1	Standard	A549_Standard
FABP5	Q01469	17285800	62	A549	Fractionated	1	Standard	A549_Standard
RPS3	P23396;P23396-2	16329000	63	A549	Fractionated	1	Standard	A549_Standard
NQO1	P15559-2;P15559	16172100	64	A549	Fractionated	1	Standard	A549_Standard
RPS9	P46781	16147300	65	A549	Fractionated	1	Standard	A549_Standard
HINT1	P49773	16113900	66	A549	Fractionated	1	Standard	A549_Standard
RPS13	P62277	16039100	67	A549	Fractionated	1	Standard	A549_Standard
