Accession IDs	Gene names	Copy number	Rank	Concentration [nM]	Cell type	Experiment type	Fraction	Condition	label
P06213	INSR	39054.62991	4936	50.94505447	ARPE19	Fractionated	1	WT	ARPE19_WT
Q5S007	LRRK2	1687.037904	7970	2.200667068	ARPE19	Fractionated	1	WT	ARPE19_WT
P09619	PDGFRB	119647.2489	3038	156.0745966	ARPE19	Fractionated	1	WT	ARPE19_WT
Q05655	PRKCD	56372.6611	4336	73.53566777	ARPE19	Fractionated	1	WT	ARPE19_WT
Q96S38	RPS6KC1	1119.286991	8066	1.460060865	ARPE19	Fractionated	1	WT	ARPE19_WT
P12931	SRC	389590.2342	1398	508.2033998	ARPE19	Fractionated	1	WT	ARPE19_WT
P33897	ABCD1	13090.82086	6471	17.07640254	ARPE19	Fractionated	1	WT	ARPE19_WT
Q96PG8	BBC3	5686.233171	7342	7.417442165	ARPE19	Fractionated	1	WT	ARPE19_WT
P78537	BLOC1S1	71143.27798	3926	92.80329067	ARPE19	Fractionated	1	WT	ARPE19_WT
P02794	FTH1	1980494.118	305	2583.467848	ARPE19	Fractionated	1	WT	ARPE19_WT
Q14596	NBR1	3951.576187	7615	5.154658091	ARPE19	Fractionated	1	WT	ARPE19_WT
P30041	PRDX6	7003829.904	57	9136.189403	ARPE19	Fractionated	1	WT	ARPE19_WT
Q9HBH5	RDH14	275325.1137	1794	359.149554	ARPE19	Fractionated	1	WT	ARPE19_WT
Q9NRA0	SPHK2	1304.864328	8032	1.702138374	ARPE19	Fractionated	1	WT	ARPE19_WT
Q12955	ANK3	2377.530337	7869	3.10138421	ARPE19	Fractionated	1	WT	ARPE19_WT
Q10567	AP1B1	403924.7714	1356	526.9021758	ARPE19	Fractionated	1	WT	ARPE19_WT
O43747	AP1G1	295685.8142	1694	385.7091962	ARPE19	Fractionated	1	WT	ARPE19_WT
Q9BXS5	AP1M1	501335.1858	1142	653.9697957	ARPE19	Fractionated	1	WT	ARPE19_WT
P61966	AP1S1	313727.3187	1635	409.2435487	ARPE19	Fractionated	1	WT	ARPE19_WT
P56377	AP1S2	110352.1686	3182	143.9495715	ARPE19	Fractionated	1	WT	ARPE19_WT
Q96PC3	AP1S3	147204.3531	2702	192.0216324	ARPE19	Fractionated	1	WT	ARPE19_WT
O00203	AP3B1	319468.9131	1603	416.7332072	ARPE19	Fractionated	1	WT	ARPE19_WT
Q9Y2T2	AP3M1	416779.8192	1319	543.6710228	ARPE19	Fractionated	1	WT	ARPE19_WT
P53677	AP3M2	48514.19142	4587	63.2846382	ARPE19	Fractionated	1	WT	ARPE19_WT
Q92572	AP3S1	666137.7473	929	868.9475204	ARPE19	Fractionated	1	WT	ARPE19_WT
Q9Y6B7	AP4B1	12577.87547	6525	16.40728775	ARPE19	Fractionated	1	WT	ARPE19_WT
Q9UPM8	AP4E1	15202.41511	6311	19.83088477	ARPE19	Fractionated	1	WT	ARPE19_WT
O00189	AP4M1	20875.50191	5888	27.23117807	ARPE19	Fractionated	1	WT	ARPE19_WT
P05067	APP	153579.5726	2635	200.337827	ARPE19	Fractionated	1	WT	ARPE19_WT
P49407	ARRB1	75755.88478	3810	98.82023425	ARPE19	Fractionated	1	WT	ARPE19_WT
P15848	ARSB	31601.22166	5267	41.2224098	ARPE19	Fractionated	1	WT	ARPE19_WT
P98196	ATP11A	20704.72948	5897	27.00841292	ARPE19	Fractionated	1	WT	ARPE19_WT
Q8NB49	ATP11C	23327.47632	5721	30.42967132	ARPE19	Fractionated	1	WT	ARPE19_WT
Q15904	ATP6AP1	128981.2148	2915	168.2503464	ARPE19	Fractionated	1	WT	ARPE19_WT
P17655	CAPN2	837295.5324	746	1092.215356	ARPE19	Fractionated	1	WT	ARPE19_WT
Q96NT0	CCDC115	44949.93075	4688	58.63521625	ARPE19	Fractionated	1	WT	ARPE19_WT
Q9BWS9	CHID1	134010.332	2852	174.8106096	ARPE19	Fractionated	1	WT	ARPE19_WT
P51790	CLCN3	38695.83528	4960	50.47702258	ARPE19	Fractionated	1	WT	ARPE19_WT
Q2KHT3	CLEC16A	28706.53637	5418	37.4464196	ARPE19	Fractionated	1	WT	ARPE19_WT
Q13286	CLN3	7990.63202	7040	10.42342955	ARPE19	Fractionated	1	WT	ARPE19_WT
O75503	CLN5	78421.01217	3753	102.2967762	ARPE19	Fractionated	1	WT	ARPE19_WT
Q00610	CLTC	2596357.947	228	3386.835244	ARPE19	Fractionated	1	WT	ARPE19_WT
P53675	CLTCL1	1856.826929	7941	2.422149416	ARPE19	Fractionated	1	WT	ARPE19_WT
Q9Y646	CPQ	73252.74855	3869	95.55500265	ARPE19	Fractionated	1	WT	ARPE19_WT
P01034	CST3	33039.60128	5210	43.09871303	ARPE19	Fractionated	1	WT	ARPE19_WT
P53634	CTSC	659126.5469	937	859.8017165	ARPE19	Fractionated	1	WT	ARPE19_WT
Q9UBR2	CTSZ	187408.3333	2318	244.465964	ARPE19	Fractionated	1	WT	ARPE19_WT
P50570	DNM2	706221.8314	884	921.2354527	ARPE19	Fractionated	1	WT	ARPE19_WT
Q9UHL4	DPP7	298724.6291	1684	389.6731972	ARPE19	Fractionated	1	WT	ARPE19_WT
Q9Y227	ENTPD4	21360.37012	5850	27.86366742	ARPE19	Fractionated	1	WT	ARPE19_WT
Q9BQS8	FYCO1	118363.176	3053	154.3995798	ARPE19	Fractionated	1	WT	ARPE19_WT
O95166	GABARAP	127958.4339	2930	166.9161736	ARPE19	Fractionated	1	WT	ARPE19_WT
