Gene names	Accession IDs	Copy number	Rank	Cell type	Experiment type	Fraction	Condition	label
LRRK1	Q3UHC2;Q3UHC2-3	55.6144	8453.0	Astrocytes	Fractionated	2	Standard	Astrocytes_Standard
LRRK2	Q5S006	83.5001	8355.0	Astrocytes	Fractionated	2	Standard	Astrocytes_Standard
MAPK8IP3	K3W4S4;Q9ESN9-6;Q9ESN9;J3QNR6;Q9ESN9-4	12718.6	3654.0	Astrocytes	Fractionated	2	Standard	Astrocytes_Standard
PPM1H	Q3UYC0;Q3UYC0-2	1074.65	6626.0	Astrocytes	Fractionated	2	Standard	Astrocytes_Standard
RAB10	P61027	713653.0	461.0	Astrocytes	Fractionated	2	Standard	Astrocytes_Standard
RAB12	A2CG35	39728.9	2405.0	Astrocytes	Fractionated	2	Standard	Astrocytes_Standard
RAB12	P35283	7787.78	4277.0	Astrocytes	Fractionated	2	Standard	Astrocytes_Standard
RAB1B	Q9D1G1	503812.0	602.0	Astrocytes	Fractionated	2	Standard	Astrocytes_Standard
RAB29	E9QLQ7;Q91YQ1	11390.4	3784.0	Astrocytes	Fractionated	2	Standard	Astrocytes_Standard
RAB35	Q6PHN9	326426.0	807.0	Astrocytes	Fractionated	2	Standard	Astrocytes_Standard
RAB3A	P63011	28564.2	2744.0	Astrocytes	Fractionated	2	Standard	Astrocytes_Standard
RAB3B	Q9CZT8;A2A7Z6	470.873	7388.0	Astrocytes	Fractionated	2	Standard	Astrocytes_Standard
RAB3D	P35276;D3YWL1;D3YW33	6839.78	4422.0	Astrocytes	Fractionated	2	Standard	Astrocytes_Standard
RAB43	Q8CG50;D3Z444	659360.0	496.0	Astrocytes	Fractionated	2	Standard	Astrocytes_Standard
RAB7A	P51150	1477450.0	261.0	Astrocytes	Fractionated	2	Standard	Astrocytes_Standard
RAB8A	P55258	186322.0	1162.0	Astrocytes	Fractionated	2	Standard	Astrocytes_Standard
RAB8B	P61028	113726.0	1490.0	Astrocytes	Fractionated	2	Standard	Astrocytes_Standard
RILPL1	Q9JJC6	27550.9	2781.0	Astrocytes	Fractionated	2	Standard	Astrocytes_Standard
RILPL2	Q99LE1	16781.9	3319.0	Astrocytes	Fractionated	2	Standard	Astrocytes_Standard
SPAG9	Q58A65-2;Q58A65-5;Q58A65-6;Q58A65-3;F8WH31;E9PUD1;Q58A65-4;Z4YMB8	14575.5	3476.0	Astrocytes	Fractionated	2	Standard	Astrocytes_Standard
SPAG9	Q58A65;F6SH61	125.751	8206.0	Astrocytes	Fractionated	2	Standard	Astrocytes_Standard
VPS35	Q9EQH3	124391.0	1432.0	Astrocytes	Fractionated	2	Standard	Astrocytes_Standard
SPTAN1	A3KGU7	110273.0	1510.0	Astrocytes	Fractionated	2	Standard	Astrocytes_Standard
TUBB4B	P68372	7118350.0	42.0	Astrocytes	Fractionated	2	Standard	Astrocytes_Standard
TUBA1B	P05213	6728700.0	46.0	Astrocytes	Fractionated	2	Standard	Astrocytes_Standard
ACTB	P60710;E9Q1F2	31560500.0	3.0	Astrocytes	Fractionated	2	Standard	Astrocytes_Standard
CKB	Q04447	15666200.0	13.0	Astrocytes	Fractionated	2	Standard	Astrocytes_Standard
CLTC	Q68FD5;Q5SXR6	201193.0	1104.0	Astrocytes	Fractionated	2	Standard	Astrocytes_Standard
PKM	P52480-2	2165870.0	175.0	Astrocytes	Fractionated	2	Standard	Astrocytes_Standard
SPTBN1	Q62261	106278.0	1544.0	Astrocytes	Fractionated	2	Standard	Astrocytes_Standard
ATP5A1	Q03265;D3Z6F5	2814140.0	123.0	Astrocytes	Fractionated	2	Standard	Astrocytes_Standard
HSPA8	P63017;Q504P4	3544110.0	100.0	Astrocytes	Fractionated	2	Standard	Astrocytes_Standard
ENO1	P17182;Q6PHC1	8622730.0	33.0	Astrocytes	Fractionated	2	Standard	Astrocytes_Standard
ATP5B	P56480	3323840.0	106.0	Astrocytes	Fractionated	2	Standard	Astrocytes_Standard
GAPDH	P16858;S4R257	9584010.0	30.0	Astrocytes	Fractionated	2	Standard	Astrocytes_Standard
ACO2	Q99KI0	684266.0	480.0	Astrocytes	Fractionated	2	Standard	Astrocytes_Standard
ATP1A2	Q6PIE5;D3YYN7;D3YVX6	309248.0	845.0	Astrocytes	Fractionated	2	Standard	Astrocytes_Standard
ALDOA	A6ZI44	5099300.0	64.0	Astrocytes	Fractionated	2	Standard	Astrocytes_Standard
YWHAE	P62259;D6REF3	15707300.0	12.0	Astrocytes	Fractionated	2	Standard	Astrocytes_Standard
DPYSL2	O08553	1705610.0	228.0	Astrocytes	Fractionated	2	Standard	Astrocytes_Standard
DYNC1H1	Q9JHU4	23856.8	2927.0	Astrocytes	Fractionated	2	Standard	Astrocytes_Standard
TUBB2B	Q9CWF2	2717500.0	133.0	Astrocytes	Fractionated	2	Standard	Astrocytes_Standard
MDH2	P08249	4592650.0	74.0	Astrocytes	Fractionated	2	Standard	Astrocytes_Standard
HSP90AB1	P11499	2486460.0	150.0	Astrocytes	Fractionated	2	Standard	Astrocytes_Standard
MAP1B	P14873	37247.1	2466.0	Astrocytes	Fractionated	2	Standard	Astrocytes_Standard
DNM1	P39053-4;P39053	31292.1	2650.0	Astrocytes	Fractionated	2	Standard	Astrocytes_Standard
STXBP1	O08599-2	41841.9	2345.0	Astrocytes	Fractionated	2	Standard	Astrocytes_Standard
CNP	P16330;P16330-2	179027.0	1190.0	Astrocytes	Fractionated	2	Standard	Astrocytes_Standard
