Gene names	Accession IDs	Copy number	Rank	Cell type	Experiment type	Fraction	Condition	label
LRRK2	Q5S006	2308.82058404062	7585.0	Brain	Single shot	1	Standard	Brain_Standard
MAPK8IP3	K3W4S4;Q9ESN9-6;Q9ESN9;J3QNR6;Q9ESN9-4	150709.922583966	2827.0	Brain	Single shot	1	Standard	Brain_Standard
PPM1H	Q3UYC0;Q3UYC0-2	675834.070957803	1324.0	Brain	Single shot	1	Standard	Brain_Standard
RAB10	P61027	5619468.2199261	226.0	Brain	Single shot	1	Standard	Brain_Standard
RAB12	A2CG35	386380.943196588	1773.0	Brain	Single shot	1	Standard	Brain_Standard
RAB1B	Q9D1G1	2061521.61187565	600.0	Brain	Single shot	1	Standard	Brain_Standard
RAB29	E9QLQ7;Q91YQ1	42852.5293847003	4517.0	Brain	Single shot	1	Standard	Brain_Standard
RAB35	Q6PHN9	1322704.52773258	839.0	Brain	Single shot	1	Standard	Brain_Standard
RAB3A	P63011	6497958.49551129	194.0	Brain	Single shot	1	Standard	Brain_Standard
RAB3B	Q9CZT8;A2A7Z6	443917.666373349	1663.0	Brain	Single shot	1	Standard	Brain_Standard
RAB3D	P35276;D3YWL1;D3YW33	728730.642837136	1253.0	Brain	Single shot	1	Standard	Brain_Standard
RAB43	Q8CG50;D3Z444	53555.1229950903	4202.0	Brain	Single shot	1	Standard	Brain_Standard
RAB7A	P51150	3328904.70148789	390.0	Brain	Single shot	1	Standard	Brain_Standard
RAB8A	P55258	716441.157158335	1270.0	Brain	Single shot	1	Standard	Brain_Standard
RAB8B	P61028	749615.351040878	1235.0	Brain	Single shot	1	Standard	Brain_Standard
RILPL1	Q9JJC6	108617.680975072	3244.0	Brain	Single shot	1	Standard	Brain_Standard
RILPL2	Q99LE1;Q99LE1-2	37028.3924548292	4699.0	Brain	Single shot	1	Standard	Brain_Standard
SPAG9	Q58A65-2;Q58A65-5;Q58A65-6;Q58A65-3;F8WH31;E9PUD1;Q58A65-4;Z4YMB8	240901.47312809	2257.0	Brain	Single shot	1	Standard	Brain_Standard
VPS35	Q9EQH3	2054563.44579008	603.0	Brain	Single shot	1	Standard	Brain_Standard
ACTB	P60710	88779889.7089968	1.0	Brain	Single shot	1	Standard	Brain_Standard
TUBB2A	Q7TMM9	68793920.4974076	4.0	Brain	Single shot	1	Standard	Brain_Standard
TUBA1B	P05213	59906608.469961	5.0	Brain	Single shot	1	Standard	Brain_Standard
GAPDH	P16858;S4R257	50863786.7371639	8.0	Brain	Single shot	1	Standard	Brain_Standard
HSPA8	P63017;Q504P4	32643267.6611404	19.0	Brain	Single shot	1	Standard	Brain_Standard
SPTAN1	A3KGU7	10976442.0565624	115.0	Brain	Single shot	1	Standard	Brain_Standard
ATP5B	P56480	35699045.4626675	17.0	Brain	Single shot	1	Standard	Brain_Standard
CKB	Q04447	57842386.8055828	6.0	Brain	Single shot	1	Standard	Brain_Standard
ATP5A1	Q03265;D3Z6F5	40120039.2817171	11.0	Brain	Single shot	1	Standard	Brain_Standard
PKM	P52480	33481678.1840307	18.0	Brain	Single shot	1	Standard	Brain_Standard
ENO1	P17182;Q6PHC1	35974038.2986341	15.0	Brain	Single shot	1	Standard	Brain_Standard
VIM	P20152	8695713.64593959	145.0	Brain	Single shot	1	Standard	Brain_Standard
DPYSL2	O08553	28405461.7659193	21.0	Brain	Single shot	1	Standard	Brain_Standard
HIST1H4A	P62806	26239054.2274502	25.0	Brain	Single shot	1	Standard	Brain_Standard
HSP90AB1	P11499	16843326.0310067	55.0	Brain	Single shot	1	Standard	Brain_Standard
CLTC	Q68FD5;Q5SXR6	12459954.9596913	91.0	Brain	Single shot	1	Standard	Brain_Standard
ALDOA	A6ZI44	39904615.5574109	12.0	Brain	Single shot	1	Standard	Brain_Standard
YWHAE	P62259;D6REF3	44857736.1541674	9.0	Brain	Single shot	1	Standard	Brain_Standard
EEF1A1	P10126;D3YZ68	17693866.9786764	52.0	Brain	Single shot	1	Standard	Brain_Standard
HIST1H2BC;HIST1H2BH	Q6ZWY9;Q64478	70288376.0014756	3.0	Brain	Single shot	1	Standard	Brain_Standard
TUBB4B	P68372	19599930.0165594	43.0	Brain	Single shot	1	Standard	Brain_Standard
DYNC1H1	Q9JHU4	2164273.58195207	582.0	Brain	Single shot	1	Standard	Brain_Standard
MDH2	P08249	36157375.1405711	14.0	Brain	Single shot	1	Standard	Brain_Standard
ACO2	Q99KI0	16291179.7017143	59.0	Brain	Single shot	1	Standard	Brain_Standard
HIST1H2AF;HIST1H2AB;HIST1H2AK;HIST1H2AH	Q8CGP5;P22752;Q8CGP7;Q8CGP6	44208083.6694629	10.0	Brain	Single shot	1	Standard	Brain_Standard
PPIA	P17742	37689464.0347063	13.0	Brain	Single shot	1	Standard	Brain_Standard
SPTBN1	Q62261	5955102.27761468	214.0	Brain	Single shot	1	Standard	Brain_Standard
PGK1	P09411;S4R2M7	22345835.0768964	38.0	Brain	Single shot	1	Standard	Brain_Standard
MBP	P04370-4;F6RT34	71571916.4686602	2.0	Brain	Single shot	1	Standard	Brain_Standard
ATP1A2	Q6PIE5;D3YYN7;D3YVX6	16417468.5766622	58.0	Brain	Single shot	1	Standard	Brain_Standard
CRMP1	Q6P1J1	12030726.8227914	96.0	Brain	Single shot	1	Standard	Brain_Standard
YWHAZ	P63101	35772897.290781	16.0	Brain	Single shot	1	Standard	Brain_Standard
CFL1	P18760;F8WGL3	53580827.3286832	7.0	Brain	Single shot	1	Standard	Brain_Standard
VCP	Q01853	7231031.1482932	179.0	Brain	Single shot	1	Standard	Brain_Standard
HSPD1	P63038	13943597.0736475	76.0	Brain	Single shot	1	Standard	Brain_Standard
HSPA5	P20029	5752919.90005236	220.0	Brain	Single shot	1	Standard	Brain_Standard
MYH9	Q8VDD5	1775726.69483428	677.0	Brain	Single shot	1	Standard	Brain_Standard
MAP1B	P14873	2893467.79464412	455.0	Brain	Single shot	1	Standard	Brain_Standard
EEF2	P58252	4382260.58773649	292.0	Brain	Single shot	1	Standard	Brain_Standard
HBBT1;HBB-BS	A8DUK4;E9Q223	4592627.97974191	283.0	Brain	Single shot	1	Standard	Brain_Standard
VDAC1	Q60932-2;Q60932;F2Z471	23073162.4048798	35.0	Brain	Single shot	1	Standard	Brain_Standard
HIST1H3B	P84228	24214479.3635689	30.0	Brain	Single shot	1	Standard	Brain_Standard
SLC25A5	P51881	23587175.3484879	34.0	Brain	Single shot	1	Standard	Brain_Standard
NEFM	P08553	14842036.49885	73.0	Brain	Single shot	1	Standard	Brain_Standard
UBA1	Q02053	4744854.05405304	271.0	Brain	Single shot	1	Standard	Brain_Standard
DNM1	P39053-4;P39053	11282489.8174837	109.0	Brain	Single shot	1	Standard	Brain_Standard
GOT2	P05202	19363924.9887478	45.0	Brain	Single shot	1	Standard	Brain_Standard
DPYSL3	E9PWE8;Q3TT92	4930785.83868897	262.0	Brain	Single shot	1	Standard	Brain_Standard
TPI1	P17751;H7BXC3	25332627.394482	27.0	Brain	Single shot	1	Standard	Brain_Standard
STXBP1	O08599-2	15167485.073049	69.0	Brain	Single shot	1	Standard	Brain_Standard
PGAM1	Q9DBJ1	27631457.5661346	22.0	Brain	Single shot	1	Standard	Brain_Standard
HNRNPA2B1	O88569;O88569-2	16681627.5360655	56.0	Brain	Single shot	1	Standard	Brain_Standard
ATP6V1A	P50516;P50516-2	13849075.0880355	78.0	Brain	Single shot	1	Standard	Brain_Standard
SYN1	O88935;O88935-3	16528423.6933804	57.0	Brain	Single shot	1	Standard	Brain_Standard
HBA-A2;HBA	Q91VB8;P01942	3269951.44808468	395.0	Brain	Single shot	1	Standard	Brain_Standard
GFAP	P03995	9523992.89165292	135.0	Brain	Single shot	1	Standard	Brain_Standard
HSP90AA1	P07901	9814908.84382841	130.0	Brain	Single shot	1	Standard	Brain_Standard
TUBB3	Q9ERD7	12623055.9736267	88.0	Brain	Single shot	1	Standard	Brain_Standard
PRDX1	P35700	15857747.7646949	63.0	Brain	Single shot	1	Standard	Brain_Standard
ATP1A3	Q6PIC6;Q8VCE0	12933872.876577	84.0	Brain	Single shot	1	Standard	Brain_Standard
ACTC1	P68033	7099905.91542381	182.0	Brain	Single shot	1	Standard	Brain_Standard
CNP	P16330;P16330-2	26880903.6427903	23.0	Brain	Single shot	1	Standard	Brain_Standard
HNRNPK;GM7964	P61979-2;P61979;H3BLL4;D3YWG1;H3BK96	8554098.64179527	149.0	Brain	Single shot	1	Standard	Brain_Standard
KXD1;UBA52	E9QNP0;E9Q4P0;P62984;E9Q9J0	24513673.5528676	29.0	Brain	Single shot	1	Standard	Brain_Standard
FLNA	B7FAU9;Q8BTM8	507539.459481864	1541.0	Brain	Single shot	1	Standard	Brain_Standard
TKT	P40142	5200722.24487553	245.0	Brain	Single shot	1	Standard	Brain_Standard
GPI	P06745	11073368.0292955	113.0	Brain	Single shot	1	Standard	Brain_Standard
PDIA3	P27773	5836077.16013653	218.0	Brain	Single shot	1	Standard	Brain_Standard
GLUD1	P26443	8362114.15581528	153.0	Brain	Single shot	1	Standard	Brain_Standard
ALDOC	P05063	18602693.7127742	47.0	Brain	Single shot	1	Standard	Brain_Standard
NCAM1	P13595;P13595-3	6521136.05573519	193.0	Brain	Single shot	1	Standard	Brain_Standard
MAP2	P20357	5009795.34769487	251.0	Brain	Single shot	1	Standard	Brain_Standard
GDI2	Q61598;Q61598-2	9465525.93067932	136.0	Brain	Single shot	1	Standard	Brain_Standard
HSP90B1	P08113	2705290.17071961	479.0	Brain	Single shot	1	Standard	Brain_Standard
NSF	P46460	12202742.0668225	93.0	Brain	Single shot	1	Standard	Brain_Standard
CALM1	P62204	26853780.1899252	24.0	Brain	Single shot	1	Standard	Brain_Standard
FASN	P19096	1306434.8098316	845.0	Brain	Single shot	1	Standard	Brain_Standard
MDH1	P14152	22191818.3662424	39.0	Brain	Single shot	1	Standard	Brain_Standard
UCHL1	Q9R0P9	17067392.9689776	54.0	Brain	Single shot	1	Standard	Brain_Standard
MYH10	Q5SV64	1688605.11865766	711.0	Brain	Single shot	1	Standard	Brain_Standard
