Gene names	Accession IDs	Copy number	Rank	Cell type	Experiment type	Fraction	Condition	label
MAPK8IP3	K3W4S4;Q9ESN9-6;Q9ESN9;J3QNR6;Q9ESN9-4	268368.603369791	2773.0	Brainstem	Single shot	1	Standard	Brainstem_Standard
PPM1H	Q3UYC0;Q3UYC0-2	945603.310960138	1517.0	Brainstem	Single shot	1	Standard	Brainstem_Standard
RAB10	P61027	2574953.72870471	811.0	Brainstem	Single shot	1	Standard	Brainstem_Standard
RAB12	A2CG35	100859.860043165	3959.0	Brainstem	Single shot	1	Standard	Brainstem_Standard
RAB1B	Q9D1G1	1354642.7265552	1224.0	Brainstem	Single shot	1	Standard	Brainstem_Standard
RAB29	E9QLQ7;Q91YQ1	141011.35679929	3534.0	Brainstem	Single shot	1	Standard	Brainstem_Standard
RAB35	Q6PHN9	299629.02004563	2640.0	Brainstem	Single shot	1	Standard	Brainstem_Standard
RAB3A	P63011	3134488.97175619	706.0	Brainstem	Single shot	1	Standard	Brainstem_Standard
RAB3B	Q9CZT8;A2A7Z6	102314.952136811	3939.0	Brainstem	Single shot	1	Standard	Brainstem_Standard
RAB3D	P35276;D3YWL1;D3YW33	929010.310208455	1536.0	Brainstem	Single shot	1	Standard	Brainstem_Standard
RAB7A	P51150	2205222.89854888	906.0	Brainstem	Single shot	1	Standard	Brainstem_Standard
RAB8A	P55258	418521.695896782	2275.0	Brainstem	Single shot	1	Standard	Brainstem_Standard
RAB8B	P61028	459015.72765683	2183.0	Brainstem	Single shot	1	Standard	Brainstem_Standard
RILPL1	Q9JJC6	225729.676546899	2969.0	Brainstem	Single shot	1	Standard	Brainstem_Standard
SPAG9	Q58A65-2;Q58A65-5;Q58A65-6;Q58A65-3;F8WH31;E9PUD1;Q58A65-4;Z4YMB8	275675.944746964	2733.0	Brainstem	Single shot	1	Standard	Brainstem_Standard
VPS35	Q9EQH3	1511026.98732432	1157.0	Brainstem	Single shot	1	Standard	Brainstem_Standard
ACTB	P60710	188419486.64004	3.0	Brainstem	Single shot	1	Standard	Brainstem_Standard
TUBB2A	Q7TMM9	166288380.757921	6.0	Brainstem	Single shot	1	Standard	Brainstem_Standard
TUBA1B	P05213	168131417.213926	5.0	Brainstem	Single shot	1	Standard	Brainstem_Standard
GAPDH	P16858;S4R257	124592710.263203	7.0	Brainstem	Single shot	1	Standard	Brainstem_Standard
HSPA8	P63017;Q504P4	84563269.3112315	16.0	Brainstem	Single shot	1	Standard	Brainstem_Standard
SPTAN1	A3KGU7	21149603.7836823	135.0	Brainstem	Single shot	1	Standard	Brainstem_Standard
ATP5B	P56480	98052667.5217622	12.0	Brainstem	Single shot	1	Standard	Brainstem_Standard
CKB	Q04447	123055261.113886	8.0	Brainstem	Single shot	1	Standard	Brainstem_Standard
ATP5A1	Q03265;D3Z6F5	99668422.9833797	10.0	Brainstem	Single shot	1	Standard	Brainstem_Standard
PKM	P52480	78118618.4088929	18.0	Brainstem	Single shot	1	Standard	Brainstem_Standard
ENO1	P17182;Q6PHC1	88230357.2899602	14.0	Brainstem	Single shot	1	Standard	Brainstem_Standard
VIM	P20152	23204753.1596272	120.0	Brainstem	Single shot	1	Standard	Brainstem_Standard
DPYSL2	O08553	77406339.1240678	21.0	Brainstem	Single shot	1	Standard	Brainstem_Standard
HIST1H4A	P62806	74989596.5730299	22.0	Brainstem	Single shot	1	Standard	Brainstem_Standard
HSP90AB1	P11499	42904816.8804204	54.0	Brainstem	Single shot	1	Standard	Brainstem_Standard
CLTC	Q68FD5;Q5SXR6	10856640.6751468	254.0	Brainstem	Single shot	1	Standard	Brainstem_Standard
ALDOA	A6ZI44	66202281.6313982	26.0	Brainstem	Single shot	1	Standard	Brainstem_Standard
YWHAE	P62259;D6REF3	87494807.8738959	15.0	Brainstem	Single shot	1	Standard	Brainstem_Standard
EEF1A1	P10126;D3YZ68	33087207.9956185	72.0	Brainstem	Single shot	1	Standard	Brainstem_Standard
HIST1H2BC;HIST1H2BH	Q6ZWY9;Q64478	56131658.8630887	38.0	Brainstem	Single shot	1	Standard	Brainstem_Standard
TUBB4B	P68372	48942230.934096	46.0	Brainstem	Single shot	1	Standard	Brainstem_Standard
DYNC1H1	Q9JHU4	884789.591943284	1577.0	Brainstem	Single shot	1	Standard	Brainstem_Standard
MDH2	P08249	99278354.8785722	11.0	Brainstem	Single shot	1	Standard	Brainstem_Standard
ACO2	Q99KI0	51986422.2222125	42.0	Brainstem	Single shot	1	Standard	Brainstem_Standard
HIST1H2AF;HIST1H2AB;HIST1H2AK;HIST1H2AH	Q8CGP5;P22752;Q8CGP7;Q8CGP6	77971255.2504208	19.0	Brainstem	Single shot	1	Standard	Brainstem_Standard
PPIA	P17742	91844066.1154386	13.0	Brainstem	Single shot	1	Standard	Brainstem_Standard
SPTBN1	Q62261	6039346.00510152	419.0	Brainstem	Single shot	1	Standard	Brainstem_Standard
PGK1	P09411;S4R2M7	56015880.0575482	39.0	Brainstem	Single shot	1	Standard	Brainstem_Standard
MBP	P04370-4;F6RT34	311278957.5191	1.0	Brainstem	Single shot	1	Standard	Brainstem_Standard
ATP1A2	Q6PIE5;D3YYN7;D3YVX6	10377563.0524571	263.0	Brainstem	Single shot	1	Standard	Brainstem_Standard
CRMP1	Q6P1J1	17677607.3753977	155.0	Brainstem	Single shot	1	Standard	Brainstem_Standard
YWHAZ	P63101	68078355.8716611	24.0	Brainstem	Single shot	1	Standard	Brainstem_Standard
CFL1	P18760;F8WGL3	100129144.027505	9.0	Brainstem	Single shot	1	Standard	Brainstem_Standard
VCP	Q01853	18371979.5385907	150.0	Brainstem	Single shot	1	Standard	Brainstem_Standard
HSPD1	P63038	35664638.9131378	67.0	Brainstem	Single shot	1	Standard	Brainstem_Standard
HSPA5	P20029	16837830.4849904	162.0	Brainstem	Single shot	1	Standard	Brainstem_Standard
MYH9	Q8VDD5	2121288.81443297	931.0	Brainstem	Single shot	1	Standard	Brainstem_Standard
MAP1B	P14873	6246988.51358809	412.0	Brainstem	Single shot	1	Standard	Brainstem_Standard
EEF2	P58252	9025221.25276843	305.0	Brainstem	Single shot	1	Standard	Brainstem_Standard
HBBT1;HBB-BS	A8DUK4;E9Q223	216061252.544469	2.0	Brainstem	Single shot	1	Standard	Brainstem_Standard
VDAC1	Q60932-2;Q60932;F2Z471	58633659.1409046	35.0	Brainstem	Single shot	1	Standard	Brainstem_Standard
HIST1H3B	P84228	13512603.4840615	209.0	Brainstem	Single shot	1	Standard	Brainstem_Standard
SLC25A5	P51881	24399569.5693879	108.0	Brainstem	Single shot	1	Standard	Brainstem_Standard
NEFM	P08553	70165848.7227972	23.0	Brainstem	Single shot	1	Standard	Brainstem_Standard
UBA1	Q02053	9596303.26596505	281.0	Brainstem	Single shot	1	Standard	Brainstem_Standard
DNM1	P39053-4;P39053	20376337.6039473	136.0	Brainstem	Single shot	1	Standard	Brainstem_Standard
GOT2	P05202	50642918.0471622	43.0	Brainstem	Single shot	1	Standard	Brainstem_Standard
DPYSL3	E9PWE8;Q3TT92	14381175.0378527	194.0	Brainstem	Single shot	1	Standard	Brainstem_Standard
TPI1	P17751;H7BXC3	60492452.0557254	31.0	Brainstem	Single shot	1	Standard	Brainstem_Standard
STXBP1	O08599-2	27392694.471778	91.0	Brainstem	Single shot	1	Standard	Brainstem_Standard
PGAM1	Q9DBJ1	61837508.073014	29.0	Brainstem	Single shot	1	Standard	Brainstem_Standard
HNRNPA2B1	O88569;O88569-2	23808620.6765173	113.0	Brainstem	Single shot	1	Standard	Brainstem_Standard
ATP6V1A	P50516;P50516-2	30711180.8519258	77.0	Brainstem	Single shot	1	Standard	Brainstem_Standard
SYN1	O88935;O88935-3	26023572.4731279	97.0	Brainstem	Single shot	1	Standard	Brainstem_Standard
HBA-A2;HBA	Q91VB8;P01942	173914301.858838	4.0	Brainstem	Single shot	1	Standard	Brainstem_Standard
GFAP	P03995	81077091.471206	17.0	Brainstem	Single shot	1	Standard	Brainstem_Standard
HSP90AA1	P07901	29208658.3930741	81.0	Brainstem	Single shot	1	Standard	Brainstem_Standard
TUBB3	Q9ERD7	43495075.3581892	52.0	Brainstem	Single shot	1	Standard	Brainstem_Standard
PRDX1	P35700	35884383.4047601	65.0	Brainstem	Single shot	1	Standard	Brainstem_Standard
ATP1A3	Q6PIC6;Q8VCE0	5010284.27305188	494.0	Brainstem	Single shot	1	Standard	Brainstem_Standard
ACTC1	P68033	17546620.7438912	156.0	Brainstem	Single shot	1	Standard	Brainstem_Standard
CNP	P16330;P16330-2	39720514.2432302	62.0	Brainstem	Single shot	1	Standard	Brainstem_Standard
HNRNPK;GM7964	P61979-2;P61979;H3BLL4;D3YWG1;H3BK96	15115397.1992564	181.0	Brainstem	Single shot	1	Standard	Brainstem_Standard
KXD1;UBA52	E9QNP0;E9Q4P0;P62984;E9Q9J0	43005118.0208199	53.0	Brainstem	Single shot	1	Standard	Brainstem_Standard
FLNA	B7FAU9;Q8BTM8	788565.793116969	1680.0	Brainstem	Single shot	1	Standard	Brainstem_Standard
TKT	P40142	21999879.9375992	128.0	Brainstem	Single shot	1	Standard	Brainstem_Standard
GPI	P06745	16715747.8700979	167.0	Brainstem	Single shot	1	Standard	Brainstem_Standard
