Gene names	Accession IDs	Copy number	Rank	Cell type	Experiment type	Fraction	Condition	label
LRRK2	Q5S006	2935.94575993946	7440.0	Cerebellum	Single shot	1	Standard	Cerebellum_Standard
MAPK8IP3	K3W4S4;Q9ESN9-6;Q9ESN9;J3QNR6;Q9ESN9-4	151169.106619611	2782.0	Cerebellum	Single shot	1	Standard	Cerebellum_Standard
PPM1H	Q3UYC0;Q3UYC0-2	736288.738302846	1293.0	Cerebellum	Single shot	1	Standard	Cerebellum_Standard
RAB10	P61027	2099371.05942215	633.0	Cerebellum	Single shot	1	Standard	Cerebellum_Standard
RAB12	A2CG35	98931.9374114108	3302.0	Cerebellum	Single shot	1	Standard	Cerebellum_Standard
RAB1B	Q9D1G1	866723.969722901	1161.0	Cerebellum	Single shot	1	Standard	Cerebellum_Standard
RAB29	E9QLQ7;Q91YQ1	49546.0096901356	4211.0	Cerebellum	Single shot	1	Standard	Cerebellum_Standard
RAB35	Q6PHN9	545716.058098123	1557.0	Cerebellum	Single shot	1	Standard	Cerebellum_Standard
RAB3A	P63011	3378328.93001436	422.0	Cerebellum	Single shot	1	Standard	Cerebellum_Standard
RAB3B	Q9CZT8;A2A7Z6	121513.122903753	3047.0	Cerebellum	Single shot	1	Standard	Cerebellum_Standard
RAB3D	P35276;D3YWL1;D3YW33	986419.342716347	1076.0	Cerebellum	Single shot	1	Standard	Cerebellum_Standard
RAB7A	P51150	2123904.62370573	627.0	Cerebellum	Single shot	1	Standard	Cerebellum_Standard
RAB8A	P55258	236921.120002364	2326.0	Cerebellum	Single shot	1	Standard	Cerebellum_Standard
RAB8B	P61028	266267.813940673	2203.0	Cerebellum	Single shot	1	Standard	Cerebellum_Standard
RILPL1	Q9JJC6	102212.901450215	3257.0	Cerebellum	Single shot	1	Standard	Cerebellum_Standard
SPAG9	Q58A65-2;Q58A65-5;Q58A65-6;Q58A65-3;F8WH31;E9PUD1;Q58A65-4;Z4YMB8	165155.08608125	2672.0	Cerebellum	Single shot	1	Standard	Cerebellum_Standard
VPS35	Q9EQH3	792126.590157562	1229.0	Cerebellum	Single shot	1	Standard	Cerebellum_Standard
ACTB	P60710	95575881.1078119	1.0	Cerebellum	Single shot	1	Standard	Cerebellum_Standard
TUBB2A	Q7TMM9	84508986.438176	2.0	Cerebellum	Single shot	1	Standard	Cerebellum_Standard
TUBA1B	P05213	77839432.0449325	5.0	Cerebellum	Single shot	1	Standard	Cerebellum_Standard
GAPDH	P16858;S4R257	62481333.5140548	12.0	Cerebellum	Single shot	1	Standard	Cerebellum_Standard
HSPA8	P63017;Q504P4	38422916.1843899	20.0	Cerebellum	Single shot	1	Standard	Cerebellum_Standard
SPTAN1	A3KGU7	11986926.1799192	114.0	Cerebellum	Single shot	1	Standard	Cerebellum_Standard
ATP5B	P56480	47859130.097991	15.0	Cerebellum	Single shot	1	Standard	Cerebellum_Standard
CKB	Q04447	63533391.6840665	11.0	Cerebellum	Single shot	1	Standard	Cerebellum_Standard
ATP5A1	Q03265;D3Z6F5	43342875.6122758	17.0	Cerebellum	Single shot	1	Standard	Cerebellum_Standard
PKM	P52480	29465342.1253077	32.0	Cerebellum	Single shot	1	Standard	Cerebellum_Standard
ENO1	P17182;Q6PHC1	37769284.7212497	21.0	Cerebellum	Single shot	1	Standard	Cerebellum_Standard
VIM	P20152	14452764.4446863	94.0	Cerebellum	Single shot	1	Standard	Cerebellum_Standard
DPYSL2	O08553	31798120.744879	26.0	Cerebellum	Single shot	1	Standard	Cerebellum_Standard
HIST1H4A	P62806	24954135.6801297	42.0	Cerebellum	Single shot	1	Standard	Cerebellum_Standard
HSP90AB1	P11499	18406528.7195104	68.0	Cerebellum	Single shot	1	Standard	Cerebellum_Standard
CLTC	Q68FD5;Q5SXR6	3931706.40492667	377.0	Cerebellum	Single shot	1	Standard	Cerebellum_Standard
ALDOA	A6ZI44	47689863.4033252	16.0	Cerebellum	Single shot	1	Standard	Cerebellum_Standard
YWHAE	P62259;D6REF3	51244821.4995425	14.0	Cerebellum	Single shot	1	Standard	Cerebellum_Standard
EEF1A1	P10126;D3YZ68	21280428.0827025	55.0	Cerebellum	Single shot	1	Standard	Cerebellum_Standard
HIST1H2BC;HIST1H2BH	Q6ZWY9;Q64478	78030514.9914157	4.0	Cerebellum	Single shot	1	Standard	Cerebellum_Standard
TUBB4B	P68372	26367864.7244609	37.0	Cerebellum	Single shot	1	Standard	Cerebellum_Standard
DYNC1H1	Q9JHU4	651394.145924123	1391.0	Cerebellum	Single shot	1	Standard	Cerebellum_Standard
MDH2	P08249	54543743.0882305	13.0	Cerebellum	Single shot	1	Standard	Cerebellum_Standard
ACO2	Q99KI0	20276604.1421973	57.0	Cerebellum	Single shot	1	Standard	Cerebellum_Standard
