Gene names	Accession IDs	Copy number	Rank	Cell type	Experiment type	Fraction	Condition	label
LRRK2	Q5S006	4174.45639170578	7406.0	Corpus Callosum	Single shot	1	Standard	Corpus Callosum_Standard
MAPK8IP3	K3W4S4;Q9ESN9-6;Q9ESN9;J3QNR6;Q9ESN9-4	462210.24903752	2205.0	Corpus Callosum	Single shot	1	Standard	Corpus Callosum_Standard
PPM1H	Q3UYC0;Q3UYC0-2	1644782.4056135	1056.0	Corpus Callosum	Single shot	1	Standard	Corpus Callosum_Standard
RAB10	P61027	10303250.2718578	188.0	Corpus Callosum	Single shot	1	Standard	Corpus Callosum_Standard
RAB12	A2CG35	860397.386656499	1584.0	Corpus Callosum	Single shot	1	Standard	Corpus Callosum_Standard
RAB1B	Q9D1G1	4229912.37048499	478.0	Corpus Callosum	Single shot	1	Standard	Corpus Callosum_Standard
RAB29	E9QLQ7;Q91YQ1	62943.2082414555	4795.0	Corpus Callosum	Single shot	1	Standard	Corpus Callosum_Standard
RAB35	Q6PHN9	2976189.96377461	674.0	Corpus Callosum	Single shot	1	Standard	Corpus Callosum_Standard
RAB3A	P63011	16986459.9383428	112.0	Corpus Callosum	Single shot	1	Standard	Corpus Callosum_Standard
RAB3B	Q9CZT8;A2A7Z6	1035647.95703476	1427.0	Corpus Callosum	Single shot	1	Standard	Corpus Callosum_Standard
RAB3D	P35276;D3YWL1;D3YW33	2212406.02677627	873.0	Corpus Callosum	Single shot	1	Standard	Corpus Callosum_Standard
RAB43	Q8CG50;D3Z444	52070.9972732407	5077.0	Corpus Callosum	Single shot	1	Standard	Corpus Callosum_Standard
RAB7A	P51150	8032828.67337626	251.0	Corpus Callosum	Single shot	1	Standard	Corpus Callosum_Standard
RAB8A	P55258	2118984.68476617	902.0	Corpus Callosum	Single shot	1	Standard	Corpus Callosum_Standard
RAB8B	P61028	2200440.03304823	874.0	Corpus Callosum	Single shot	1	Standard	Corpus Callosum_Standard
RILPL1	Q9JJC6	93383.7899598812	4195.0	Corpus Callosum	Single shot	1	Standard	Corpus Callosum_Standard
