Gene names	Accession IDs	Copy number	Rank	Cell type	Experiment type	Fraction	Condition	label
H4C1	P62806	38123697.21	1.0	Cortical Neurons	Single shot	1	Standard	Cortical Neurons_Standard
TUBA1C	P68373	24658125.51	2.0	Cortical Neurons	Single shot	1	Standard	Cortical Neurons_Standard
TUBA1A	P68369	24546481.29	3.0	Cortical Neurons	Single shot	1	Standard	Cortical Neurons_Standard
TUBA4A	P68368	24010678.02	4.0	Cortical Neurons	Single shot	1	Standard	Cortical Neurons_Standard
TUBA1B	P05213	23901521.17	5.0	Cortical Neurons	Single shot	1	Standard	Cortical Neurons_Standard
UBA52	P62984	23766255.85	6.0	Cortical Neurons	Single shot	1	Standard	Cortical Neurons_Standard
H2AZ1	P0C0S6	22816032.11	7.0	Cortical Neurons	Single shot	1	Standard	Cortical Neurons_Standard
HIST2H2AA1	Q6GSS7	21136171.69	8.0	Cortical Neurons	Single shot	1	Standard	Cortical Neurons_Standard
HIST1H2AF	Q8CGP5	21036177.09	9.0	Cortical Neurons	Single shot	1	Standard	Cortical Neurons_Standard
H2AX	P27661	19673402.89	10.0	Cortical Neurons	Single shot	1	Standard	Cortical Neurons_Standard
RPS27A	P62983	19499159.72	11.0	Cortical Neurons	Single shot	1	Standard	Cortical Neurons_Standard
H3-5	P02301	17960689.77	12.0	Cortical Neurons	Single shot	1	Standard	Cortical Neurons_Standard
H3C2	P84228	17875485.04	13.0	Cortical Neurons	Single shot	1	Standard	Cortical Neurons_Standard
H3C1	P68433	17856917.93	14.0	Cortical Neurons	Single shot	1	Standard	Cortical Neurons_Standard
ACTB	P60710	15267116.37	15.0	Cortical Neurons	Single shot	1	Standard	Cortical Neurons_Standard
ACTG1	P63260	15246659.39	16.0	Cortical Neurons	Single shot	1	Standard	Cortical Neurons_Standard
ACTC1	P68033	15164654.94	17.0	Cortical Neurons	Single shot	1	Standard	Cortical Neurons_Standard
ACTA1	P68134	15153114.93	18.0	Cortical Neurons	Single shot	1	Standard	Cortical Neurons_Standard
PPIA	P17742	14696128.72	19.0	Cortical Neurons	Single shot	1	Standard	Cortical Neurons_Standard
ACTG2	P63268	13924264.14	20.0	Cortical Neurons	Single shot	1	Standard	Cortical Neurons_Standard
CALM1	P0DP26	13546384.15	21.0	Cortical Neurons	Single shot	1	Standard	Cortical Neurons_Standard
TUBB5	P99024	13081732.98	22.0	Cortical Neurons	Single shot	1	Standard	Cortical Neurons_Standard
TUBB4B	P68372	13039729.46	23.0	Cortical Neurons	Single shot	1	Standard	Cortical Neurons_Standard
TUBB2A	Q7TMM9	13019872.14	24.0	Cortical Neurons	Single shot	1	Standard	Cortical Neurons_Standard
TUBB2B	Q9CWF2	13007882.58	25.0	Cortical Neurons	Single shot	1	Standard	Cortical Neurons_Standard
TUBB4A	Q9D6F9	12245055.05	26.0	Cortical Neurons	Single shot	1	Standard	Cortical Neurons_Standard
