Gene names	Accession IDs	Copy number	Rank	Cell type	Experiment type	Fraction	Condition	label
H4C1	P62806	119488917.4	1.0	FAK	Single shot	1	Standard	FAK_Standard
HIST1H2AF	Q8CGP5	74383722.38	3.0	FAK	Single shot	1	Standard	FAK_Standard
ACTB	P60710	100390118.3	2.0	FAK	Single shot	1	Standard	FAK_Standard
S100A4	P07091	53589702.13	4.0	FAK	Single shot	1	Standard	FAK_Standard
H3C1	P68433	33895861.29	5.0	FAK	Single shot	1	Standard	FAK_Standard
TXN	P10639	9006286.692	17.0	FAK	Single shot	1	Standard	FAK_Standard
PPIA	P17742	21474950.66	6.0	FAK	Single shot	1	Standard	FAK_Standard
EEF1A1	P10126	21353189.69	7.0	FAK	Single shot	1	Standard	FAK_Standard
RPS28	P62858	17229122.06	8.0	FAK	Single shot	1	Standard	FAK_Standard
H1-3	P43277	5920297.806	34.0	FAK	Single shot	1	Standard	FAK_Standard
NME2	Q01768	13809198.2	11.0	FAK	Single shot	1	Standard	FAK_Standard
PRDX1	P35700	7740684.282	21.0	FAK	Single shot	1	Standard	FAK_Standard
IGF2	P09535	441174.3946	542.0	FAK	Single shot	1	Standard	FAK_Standard
PFN1	P62962	14987706.77	9.0	FAK	Single shot	1	Standard	FAK_Standard
HSPE1	Q64433	9226211.349	16.0	FAK	Single shot	1	Standard	FAK_Standard
GAPDH	P16858	11917565.65	14.0	FAK	Single shot	1	Standard	FAK_Standard
LGALS1	P16045	12445994.05	13.0	FAK	Single shot	1	Standard	FAK_Standard
FAU	P62862	8375434.011	18.0	FAK	Single shot	1	Standard	FAK_Standard
VIM	P20152	14728780.7	10.0	FAK	Single shot	1	Standard	FAK_Standard
TUBA1A	P68369	9520139.261	15.0	FAK	Single shot	1	Standard	FAK_Standard
CRABP1	P62965	1946027.093	167.0	FAK	Single shot	1	Standard	FAK_Standard
RPS25	P62852	7345838.874	24.0	FAK	Single shot	1	Standard	FAK_Standard
S100A6	P14069	8103620.193	20.0	FAK	Single shot	1	Standard	FAK_Standard
RPS10	P63325	7378610.095	23.0	FAK	Single shot	1	Standard	FAK_Standard
RPS15A	P62245	8222010.241	19.0	FAK	Single shot	1	Standard	FAK_Standard
TUBB5	P99024	7212050.455	26.0	FAK	Single shot	1	Standard	FAK_Standard
RPS29	P62274	5959719.475	33.0	FAK	Single shot	1	Standard	FAK_Standard
RPL27	P61358	5784185.3	36.0	FAK	Single shot	1	Standard	FAK_Standard
RPS21	Q9CQR2	6654907.096	28.0	FAK	Single shot	1	Standard	FAK_Standard
HSP90AB1	P11499	6513896.681	29.0	FAK	Single shot	1	Standard	FAK_Standard
RPS26	P62855	6243473.686	31.0	FAK	Single shot	1	Standard	FAK_Standard
CFL1	P18760	6757945.437	27.0	FAK	Single shot	1	Standard	FAK_Standard
RPS16	P14131	5748757.361	37.0	FAK	Single shot	1	Standard	FAK_Standard
RPS20	P60867	5850481.387	35.0	FAK	Single shot	1	Standard	FAK_Standard
TPM1	P58771	13221701.08	12.0	FAK	Single shot	1	Standard	FAK_Standard
RPS18	P62270	5201329.567	39.0	FAK	Single shot	1	Standard	FAK_Standard
RPL23A	P62751	5494129.409	38.0	FAK	Single shot	1	Standard	FAK_Standard
RPL27A	P14115	4800954.785	48.0	FAK	Single shot	1	Standard	FAK_Standard
RPL39	P62892	3611512.158	75.0	FAK	Single shot	1	Standard	FAK_Standard
ATP5F1E	P56382	7664766.806	22.0	FAK	Single shot	1	Standard	FAK_Standard
RPS27A	P62983	4840116.92	47.0	FAK	Single shot	1	Standard	FAK_Standard
RPS9	Q6ZWN5	4670726.05	50.0	FAK	Single shot	1	Standard	FAK_Standard
RPL34	Q9D1R9	4857290.843	45.0	FAK	Single shot	1	Standard	FAK_Standard
RPL35A	O55142	5115393.419	41.0	FAK	Single shot	1	Standard	FAK_Standard
RPL36	P47964	4161508.156	62.0	FAK	Single shot	1	Standard	FAK_Standard
H1-2	P15864	3529254.91	79.0	FAK	Single shot	1	Standard	FAK_Standard
RPS13	P62301	4178519.24	59.0	FAK	Single shot	1	Standard	FAK_Standard
ENO1	P17182	6246756.665	30.0	FAK	Single shot	1	Standard	FAK_Standard
TUBB6	Q922F4	6198878.286	32.0	FAK	Single shot	1	Standard	FAK_Standard
RPL30	P62889	4165199.153	61.0	FAK	Single shot	1	Standard	FAK_Standard
RPL31	P62900	4043824.893	66.0	FAK	Single shot	1	Standard	FAK_Standard
RPS3	P62908	3950732.701	68.0	FAK	Single shot	1	Standard	FAK_Standard
RPL35	Q6ZWV7	3949890.724	69.0	FAK	Single shot	1	Standard	FAK_Standard
RPL38	Q9JJI8	4080634.368	64.0	FAK	Single shot	1	Standard	FAK_Standard
H1-5	P43276	2461062.781	124.0	FAK	Single shot	1	Standard	FAK_Standard
SNRPE	P62305	3579768.219	77.0	FAK	Single shot	1	Standard	FAK_Standard
RPL13	P47963	3548787.677	78.0	FAK	Single shot	1	Standard	FAK_Standard
PGAM1	Q9DBJ1	4393260.801	55.0	FAK	Single shot	1	Standard	FAK_Standard
EIF5A	P63242	3842884.975	70.0	FAK	Single shot	1	Standard	FAK_Standard
CALR	P14211	4744972.727	49.0	FAK	Single shot	1	Standard	FAK_Standard
COX6C	Q9CPQ1	4128047.498	63.0	FAK	Single shot	1	Standard	FAK_Standard
ANXA5	P48036	5143801.129	40.0	FAK	Single shot	1	Standard	FAK_Standard
PTGES3	Q9R0Q7	3455479.451	81.0	FAK	Single shot	1	Standard	FAK_Standard
ANXA2	P07356	4338963.273	57.0	FAK	Single shot	1	Standard	FAK_Standard
RPL12	P35979	3632484.81	73.0	FAK	Single shot	1	Standard	FAK_Standard
YWHAE	P62259	4849472.763	46.0	FAK	Single shot	1	Standard	FAK_Standard
H1-4	P43274	2052245.73	156.0	FAK	Single shot	1	Standard	FAK_Standard
HINT1	P70349	4519892.142	52.0	FAK	Single shot	1	Standard	FAK_Standard
RPS11	P62281	3237075.938	85.0	FAK	Single shot	1	Standard	FAK_Standard
LDHA	P06151	2613246.548	112.0	FAK	Single shot	1	Standard	FAK_Standard
RPL32	P62911	3152518.497	86.0	FAK	Single shot	1	Standard	FAK_Standard
FABP5	Q05816	2325384.085	135.0	FAK	Single shot	1	Standard	FAK_Standard
RPL11	Q9CXW4	3587633.514	76.0	FAK	Single shot	1	Standard	FAK_Standard
ATP5MG	Q9CPQ8	4399113.872	54.0	FAK	Single shot	1	Standard	FAK_Standard
RPL13A	P19253	3071812.363	91.0	FAK	Single shot	1	Standard	FAK_Standard
RPL10A	P53026	3096548.133	90.0	FAK	Single shot	1	Standard	FAK_Standard
MARCKS	P26645	3046563.616	92.0	FAK	Single shot	1	Standard	FAK_Standard
SOD1	P08228	4945648.023	43.0	FAK	Single shot	1	Standard	FAK_Standard
SRSF3	P84104	3001119.203	94.0	FAK	Single shot	1	Standard	FAK_Standard
PKM	P52480	4646765.468	51.0	FAK	Single shot	1	Standard	FAK_Standard
RPL18	P35980	3033326.617	93.0	FAK	Single shot	1	Standard	FAK_Standard
PTMS	Q9D0J8	2431247.98	128.0	FAK	Single shot	1	Standard	FAK_Standard
RPS14	P62264	2991894.426	95.0	FAK	Single shot	1	Standard	FAK_Standard
RPS7	P62082	3139751.87	87.0	FAK	Single shot	1	Standard	FAK_Standard
ATP5MF	P56135	4066892.283	65.0	FAK	Single shot	1	Standard	FAK_Standard
TAGLN	P37804	7249645.931	25.0	FAK	Single shot	1	Standard	FAK_Standard
RPL23	P62830	2885260.485	101.0	FAK	Single shot	1	Standard	FAK_Standard
TAGLN2	Q9WVA4	4174941.807	60.0	FAK	Single shot	1	Standard	FAK_Standard
RPS6	P62754	2696035.427	109.0	FAK	Single shot	1	Standard	FAK_Standard
SLC25A5	P51881	1854739.149	172.0	FAK	Single shot	1	Standard	FAK_Standard
RPS27	Q6ZWU9	2775148.241	105.0	FAK	Single shot	1	Standard	FAK_Standard
RPL8	P62918	2599166.76	114.0	FAK	Single shot	1	Standard	FAK_Standard
RPS19	Q9CZX8	2611025.554	113.0	FAK	Single shot	1	Standard	FAK_Standard
NPM1	Q61937	1684392.68	188.0	FAK	Single shot	1	Standard	FAK_Standard
RPL22	P67984	3429641.65	82.0	FAK	Single shot	1	Standard	FAK_Standard
RPS2	P25444	2764958.075	106.0	FAK	Single shot	1	Standard	FAK_Standard
CLIC1	Q9Z1Q5	2930427.088	99.0	FAK	Single shot	1	Standard	FAK_Standard
DBI	P31786	3378106.721	83.0	FAK	Single shot	1	Standard	FAK_Standard
RPS8	P62242	2447099.388	127.0	FAK	Single shot	1	Standard	FAK_Standard
RPL24	Q8BP67	2463555.637	122.0	FAK	Single shot	1	Standard	FAK_Standard
RPL7	P14148	2450678.376	125.0	FAK	Single shot	1	Standard	FAK_Standard
SLC25A4	P48962	4379967.491	56.0	FAK	Single shot	1	Standard	FAK_Standard
RAN	P62827	2486712.431	120.0	FAK	Single shot	1	Standard	FAK_Standard
PGK1	P09411	2265912.763	142.0	FAK	Single shot	1	Standard	FAK_Standard
NDUFA4	Q62425	2646811.874	111.0	FAK	Single shot	1	Standard	FAK_Standard
RPL17	Q9CPR4	2398312.518	130.0	FAK	Single shot	1	Standard	FAK_Standard
PEBP1	P70296	3782578.016	71.0	FAK	Single shot	1	Standard	FAK_Standard
GSTO1	O09131	2755060.907	108.0	FAK	Single shot	1	Standard	FAK_Standard
NPC2	Q9Z0J0	2415543.042	129.0	FAK	Single shot	1	Standard	FAK_Standard
RPS4X	P62702	2342847.894	134.0	FAK	Single shot	1	Standard	FAK_Standard
HNRNPAB	Q99020	2305756.534	137.0	FAK	Single shot	1	Standard	FAK_Standard
RPL14	Q9CR57	2287801.556	141.0	FAK	Single shot	1	Standard	FAK_Standard
RPS12	P63323	2357647.585	132.0	FAK	Single shot	1	Standard	FAK_Standard
PRDX6	O08709	2918560.898	100.0	FAK	Single shot	1	Standard	FAK_Standard
RPS24	P62849	2245537.731	145.0	FAK	Single shot	1	Standard	FAK_Standard
RPL18A	P62717	2050095.269	157.0	FAK	Single shot	1	Standard	FAK_Standard
MDH2	P08249	2943042.912	98.0	FAK	Single shot	1	Standard	FAK_Standard
RPL19	P84099	1807450.159	176.0	FAK	Single shot	1	Standard	FAK_Standard
EEF1B	O70251	3622499.916	74.0	FAK	Single shot	1	Standard	FAK_Standard
LMNA	P48678	1845006.192	173.0	FAK	Single shot	1	Standard	FAK_Standard
RPS3A	P97351	2166551.964	150.0	FAK	Single shot	1	Standard	FAK_Standard
RAC1	P63001	3097752.31	89.0	FAK	Single shot	1	Standard	FAK_Standard
CYB5R3	Q9DCN2	4003416.437	67.0	FAK	Single shot	1	Standard	FAK_Standard
MYL12B	Q3THE2	3340831.653	84.0	FAK	Single shot	1	Standard	FAK_Standard
RPL26	P61255	2114368.849	152.0	FAK	Single shot	1	Standard	FAK_Standard
RPL6	P47911	2091648.761	155.0	FAK	Single shot	1	Standard	FAK_Standard
ARF4	P61750	4928156.873	44.0	FAK	Single shot	1	Standard	FAK_Standard
RPL10	Q6ZWV3	2221392.526	147.0	FAK	Single shot	1	Standard	FAK_Standard
RACK1	P68040	1883278.435	168.0	FAK	Single shot	1	Standard	FAK_Standard
ARHGDIA	Q99PT1	2986149.18	96.0	FAK	Single shot	1	Standard	FAK_Standard
RPL15	Q9CZM2	1947767.216	165.0	FAK	Single shot	1	Standard	FAK_Standard
HMGB1	P63158	1827969.179	174.0	FAK	Single shot	1	Standard	FAK_Standard
CYCS	P62897	3480062.636	80.0	FAK	Single shot	1	Standard	FAK_Standard
S100A10	P08207	2812781.518	104.0	FAK	Single shot	1	Standard	FAK_Standard
RPL29	P47915	1812866.628	175.0	FAK	Single shot	1	Standard	FAK_Standard
SNRPD1	P62315	1590013.279	197.0	FAK	Single shot	1	Standard	FAK_Standard
ANXA1	P10107	4979845.58	42.0	FAK	Single shot	1	Standard	FAK_Standard
HSPA8	P63017	2345438.069	133.0	FAK	Single shot	1	Standard	FAK_Standard
SUB1	P11031	2983413.203	97.0	FAK	Single shot	1	Standard	FAK_Standard
SLC25A3	Q8VEM8	2212839.379	148.0	FAK	Single shot	1	Standard	FAK_Standard
EEF2	P58252	2295345.821	139.0	FAK	Single shot	1	Standard	FAK_Standard
FKBP1A	P26883	3755984.076	72.0	FAK	Single shot	1	Standard	FAK_Standard
PRDX2	Q61171	2249854.466	144.0	FAK	Single shot	1	Standard	FAK_Standard
ESD	Q9R0P3	1407078.745	214.0	FAK	Single shot	1	Standard	FAK_Standard
RPLP0	P14869	1988585.208	163.0	FAK	Single shot	1	Standard	FAK_Standard
HNRNPA1	P49312	1594807.741	196.0	FAK	Single shot	1	Standard	FAK_Standard
SRSF2	Q62093	1688114.165	187.0	FAK	Single shot	1	Standard	FAK_Standard
RPL21	O09167	1736538.741	181.0	FAK	Single shot	1	Standard	FAK_Standard
UBE2N	P61089	2588956.737	115.0	FAK	Single shot	1	Standard	FAK_Standard
EIF4A1	P60843	2254855.776	143.0	FAK	Single shot	1	Standard	FAK_Standard
RPS17	P63276	1638712.738	191.0	FAK	Single shot	1	Standard	FAK_Standard
CSTB	Q62426	2477864.046	121.0	FAK	Single shot	1	Standard	FAK_Standard
ATP5F1A	Q03265	2462856.361	123.0	FAK	Single shot	1	Standard	FAK_Standard
PPIB	P24369	4302295.244	58.0	FAK	Single shot	1	Standard	FAK_Standard
ARPC4	P59999	2513304.561	118.0	FAK	Single shot	1	Standard	FAK_Standard
RPSA	P14206	1609333.365	193.0	FAK	Single shot	1	Standard	FAK_Standard
UFM1	P61961	1769102.716	178.0	FAK	Single shot	1	Standard	FAK_Standard
PPP3R1	Q63810	2103184.92	154.0	FAK	Single shot	1	Standard	FAK_Standard
ATP5F1B	P56480	2289110.058	140.0	FAK	Single shot	1	Standard	FAK_Standard
SNRPD3	P62320	1440850.427	210.0	FAK	Single shot	1	Standard	FAK_Standard
RPL7A	P12970	1514329.19	201.0	FAK	Single shot	1	Standard	FAK_Standard
GSTM1	P10649	2447585.706	126.0	FAK	Single shot	1	Standard	FAK_Standard
RANBP1	P34022	2225073.177	146.0	FAK	Single shot	1	Standard	FAK_Standard
PSMA1	Q9R1P4	1190866.397	244.0	FAK	Single shot	1	Standard	FAK_Standard
TPM4	Q6IRU2	2491116.311	119.0	FAK	Single shot	1	Standard	FAK_Standard
EEF1D	P57776	2049415.334	158.0	FAK	Single shot	1	Standard	FAK_Standard
RPL4	Q9D8E6	1415788.107	212.0	FAK	Single shot	1	Standard	FAK_Standard
MYL6	Q60605	2306382.182	136.0	FAK	Single shot	1	Standard	FAK_Standard
TPI1	P17751	1318737.686	225.0	FAK	Single shot	1	Standard	FAK_Standard
YWHAZ	P63101	2539989.759	116.0	FAK	Single shot	1	Standard	FAK_Standard
PSAT1	Q99K85	1046575.759	255.0	FAK	Single shot	1	Standard	FAK_Standard
RPS5	P97461	1399638.062	215.0	FAK	Single shot	1	Standard	FAK_Standard
SNRPD2	P62317	1173110.125	246.0	FAK	Single shot	1	Standard	FAK_Standard
COX6B1	P56391	1487725.078	202.0	FAK	Single shot	1	Standard	FAK_Standard
SNRPB	P27048	1318262.175	226.0	FAK	Single shot	1	Standard	FAK_Standard
YWHAG	P61982	2018523.97	161.0	FAK	Single shot	1	Standard	FAK_Standard
