Gene names	Accession IDs	Copy number	Rank	Cell type	Experiment type	Fraction	Condition	label
HIST2H2AC	Q16777	134723000	1	HEK293	Fractionated	1	Standard	HEK293_Standard
HIST1H4A	P62805	113764000	2	HEK293	Fractionated	1	Standard	HEK293_Standard
HSPA1A;HSPA1B	P0DMV8;P0DMV9;P0DMV8-2	100105000	3	HEK293	Fractionated	1	Standard	HEK293_Standard
PRDX1	Q06830	99441700	4	HEK293	Fractionated	1	Standard	HEK293_Standard
PPIA	P62937	93597100	5	HEK293	Fractionated	1	Standard	HEK293_Standard
TXN	P10599	89137300	6	HEK293	Fractionated	1	Standard	HEK293_Standard
EEF1A1;EEF1A1P5	P68104;Q5VTE0;P68104-2	78739800	7	HEK293	Fractionated	1	Standard	HEK293_Standard
TUBB4B	P68371	72457200	8	HEK293	Fractionated	1	Standard	HEK293_Standard
GAPDH	P04406;P04406-2	70780500	9	HEK293	Fractionated	1	Standard	HEK293_Standard
ACTB	P60709	68979100	10	HEK293	Fractionated	1	Standard	HEK293_Standard
ENO1	P06733;P06733-2	66133700	11	HEK293	Fractionated	1	Standard	HEK293_Standard
BIOGNOSYS	Biognosys	60785200	12	HEK293	Fractionated	1	Standard	HEK293_Standard
HSPE1	P61604	60162100	13	HEK293	Fractionated	1	Standard	HEK293_Standard
HIST1H2BH;HIST2H2BF;HIST1H2BM;HIST1H2BN;HIST1H2BC;HIST1H2BD;HIST1H2BL	Q93079;Q5QNW6;Q5QNW6-2;Q99879;Q99877;P62807;P58876;Q99880	57210100	14	HEK293	Fractionated	1	Standard	HEK293_Standard
RPS27A	P62979	51293700	15	HEK293	Fractionated	1	Standard	HEK293_Standard
YWHAE	P62258;P62258-2	47952100	16	HEK293	Fractionated	1	Standard	HEK293_Standard
PFN1	P07737	45183400	17	HEK293	Fractionated	1	Standard	HEK293_Standard
HIST1H1E	P10412	44021200	18	HEK293	Fractionated	1	Standard	HEK293_Standard
ALDOA	P04075	43364600	19	HEK293	Fractionated	1	Standard	HEK293_Standard
RAN	P62826	42306500	20	HEK293	Fractionated	1	Standard	HEK293_Standard
HNRNPA1	P09651;P09651-3	41850600	21	HEK293	Fractionated	1	Standard	HEK293_Standard
RPS13	P62277	41393200	22	HEK293	Fractionated	1	Standard	HEK293_Standard
EIF5A;EIF5AL1	P63241;P63241-2;Q6IS14	40881500	23	HEK293	Fractionated	1	Standard	HEK293_Standard
HNRNPA2B1	P22626;P22626-2	40839600	24	HEK293	Fractionated	1	Standard	HEK293_Standard
TUBA1B	P68363;P68363-2	40530500	25	HEK293	Fractionated	1	Standard	HEK293_Standard
LDHB	P07195	40007200	26	HEK293	Fractionated	1	Standard	HEK293_Standard
HSPD1	P10809	39196100	27	HEK293	Fractionated	1	Standard	HEK293_Standard
CFL1	P23528	38015000	28	HEK293	Fractionated	1	Standard	HEK293_Standard
HSPA8	P11142;P11142-2	37686600	29	HEK293	Fractionated	1	Standard	HEK293_Standard
SOD1	P00441	37659400	30	HEK293	Fractionated	1	Standard	HEK293_Standard
TPI1	P60174;P60174-1;P60174-4	36204900	31	HEK293	Fractionated	1	Standard	HEK293_Standard
LDHA	P00338;P00338-3;P00338-4;P00338-5;P00338-2	35043300	32	HEK293	Fractionated	1	Standard	HEK293_Standard
HSP90AB1	P08238	35007000	33	HEK293	Fractionated	1	Standard	HEK293_Standard
RPS19	P39019	34718600	34	HEK293	Fractionated	1	Standard	HEK293_Standard
