Gene names	Accession IDs	Copy number	Rank	Cell type	Experiment type	Fraction	Condition	label
NUDT11;NUDT10;NUDT4	Q96G61;Q8NFP7;Q9NZJ9;A0A024RBG1;Q9NZJ9-3;Q9NZJ9-2	4124.90657	6888	HMC3	Fractionated	1	DMSO	HMC3_DMSO
NBPF10;NBPF8;NBPF19;NBPF1;NBPF15;NBPF14;NBPF26	Q6P3W6;Q3BBV2;P0DPF3;A0A087WUL8;P0DPF2;Q6P3W6-2;Q3BBV0;Q8N660;Q5TI25;B4DH59;P0DPF3-2	1206.045479	8088	HMC3	Fractionated	1	DMSO	HMC3_DMSO
IGHV3-49	A0A0A0MS15	3282.570422	7153	HMC3	Fractionated	1	DMSO	HMC3_DMSO
	P0DPI2;A0A0B4J2D5;P0DPI2-2;A0A0B4J2D5-2	367114.3023	1005	HMC3	Fractionated	1	DMSO	HMC3_DMSO
PIGBOS1	A0A0B4J2F0	3517.322843	7073	HMC3	Fractionated	1	DMSO	HMC3_DMSO
	A0A0U1RRL7	13568.24725	5303	HMC3	Fractionated	1	DMSO	HMC3_DMSO
	A0A1B0GTU1	367.3112222	8760	HMC3	Fractionated	1	DMSO	HMC3_DMSO
	A0A1B0GVS7;A0A1B0GVS7-2	421120.4093	892	HMC3	Fractionated	1	DMSO	HMC3_DMSO
RBM47	A0AV96;A0AV96-2	867.9445706	8306	HMC3	Fractionated	1	DMSO	HMC3_DMSO
TTC26	A0AVF1;A0AVF1-3;A0AVF1-2	9107.616294	5857	HMC3	Fractionated	1	DMSO	HMC3_DMSO
FER1L5	A0AVI2	730.5627195	8419	HMC3	Fractionated	1	DMSO	HMC3_DMSO
E2F8	A0AVK6	178.2176291	8931	HMC3	Fractionated	1	DMSO	HMC3_DMSO
UBA6	A0AVT1;A0AVT1-2	119521.9263	2121	HMC3	Fractionated	1	DMSO	HMC3_DMSO
ESYT2	A0FGR8-2;A0FGR8;A0FGR8-6;A0FGR8-4	168113.651	1724	HMC3	Fractionated	1	DMSO	HMC3_DMSO
MED19	A0JLT2;A0JLT2-2	12750.4356	5390	HMC3	Fractionated	1	DMSO	HMC3_DMSO
UHRF1BP1L	A0JNW5	1020.126476	8209	HMC3	Fractionated	1	DMSO	HMC3_DMSO
