Gene names	Accession IDs	Copy number	Rank	Cell type	Experiment type	Fraction	Condition	label
LRRK1	Q3UHC2;Q3UHC2-3	560.697710342023	8299.0	Isolated Microglia	Single shot	1	Standard	Isolated Microglia_Standard
MAPK8IP3	K3W4S4;Q9ESN9-6;Q9ESN9;J3QNR6;Q9ESN9-4	5179.82668566739	6268.0	Isolated Microglia	Single shot	1	Standard	Isolated Microglia_Standard
PPM1H	Q3UYC0;Q3UYC0-2	72073.7226193016	2276.0	Isolated Microglia	Single shot	1	Standard	Isolated Microglia_Standard
RAB10	P61027	576685.909201343	550.0	Isolated Microglia	Single shot	1	Standard	Isolated Microglia_Standard
RAB12	A2CG35	51963.691888681	2660.0	Isolated Microglia	Single shot	1	Standard	Isolated Microglia_Standard
RAB1B	Q9D1G1	1167280.15110464	288.0	Isolated Microglia	Single shot	1	Standard	Isolated Microglia_Standard
RAB29	E9QLQ7;Q91YQ1	15251.3514003358	4475.0	Isolated Microglia	Single shot	1	Standard	Isolated Microglia_Standard
RAB35	Q6PHN9	231131.956488454	1145.0	Isolated Microglia	Single shot	1	Standard	Isolated Microglia_Standard
RAB3A	P63011	60907.0193710062	2472.0	Isolated Microglia	Single shot	1	Standard	Isolated Microglia_Standard
RAB3B	Q9CZT8;A2A7Z6	10845.1039306988	5019.0	Isolated Microglia	Single shot	1	Standard	Isolated Microglia_Standard
RAB3D	P35276;D3YWL1;D3YW33	56634.7829193491	2543.0	Isolated Microglia	Single shot	1	Standard	Isolated Microglia_Standard
RAB43	Q8CG50;D3Z444	16754.8310461777	4339.0	Isolated Microglia	Single shot	1	Standard	Isolated Microglia_Standard
RAB7A	P51150	1648961.47632967	188.0	Isolated Microglia	Single shot	1	Standard	Isolated Microglia_Standard
RAB8A	P55258	325276.484392734	873.0	Isolated Microglia	Single shot	1	Standard	Isolated Microglia_Standard
RAB8B	P61028	284957.680695357	987.0	Isolated Microglia	Single shot	1	Standard	Isolated Microglia_Standard
RILPL1	Q9JJC6	7884.25807566707	5565.0	Isolated Microglia	Single shot	1	Standard	Isolated Microglia_Standard
SPAG9	Q58A65-2;Q58A65-5;Q58A65-6;Q58A65-3;F8WH31;E9PUD1;Q58A65-4;Z4YMB8	42041.4173792405	2934.0	Isolated Microglia	Single shot	1	Standard	Isolated Microglia_Standard
VPS35	Q9EQH3	702196.267556108	446.0	Isolated Microglia	Single shot	1	Standard	Isolated Microglia_Standard
ACTB	P60710	30629206.4600068	4.0	Isolated Microglia	Single shot	1	Standard	Isolated Microglia_Standard
TUBB2A	Q7TMM9	7094219.14985539	17.0	Isolated Microglia	Single shot	1	Standard	Isolated Microglia_Standard
TUBA1B	P05213	8576568.12470556	12.0	Isolated Microglia	Single shot	1	Standard	Isolated Microglia_Standard
GAPDH	P16858;S4R257	8228549.50837565	14.0	Isolated Microglia	Single shot	1	Standard	Isolated Microglia_Standard
HSPA8	P63017;Q504P4	5465514.69530504	25.0	Isolated Microglia	Single shot	1	Standard	Isolated Microglia_Standard
SPTAN1	A3KGU7	268341.846584436	1034.0	Isolated Microglia	Single shot	1	Standard	Isolated Microglia_Standard
ATP5B	P56480	5782532.63299579	22.0	Isolated Microglia	Single shot	1	Standard	Isolated Microglia_Standard
CKB	Q04447	3377264.20197862	49.0	Isolated Microglia	Single shot	1	Standard	Isolated Microglia_Standard
ATP5A1	Q03265;D3Z6F5	5210018.94959706	27.0	Isolated Microglia	Single shot	1	Standard	Isolated Microglia_Standard
PKM	P52480	4079687.31599238	39.0	Isolated Microglia	Single shot	1	Standard	Isolated Microglia_Standard
ENO1	P17182;Q6PHC1	6099605.01474995	20.0	Isolated Microglia	Single shot	1	Standard	Isolated Microglia_Standard
VIM	P20152	1677458.31159461	182.0	Isolated Microglia	Single shot	1	Standard	Isolated Microglia_Standard
DPYSL2	O08553	2647992.78680297	92.0	Isolated Microglia	Single shot	1	Standard	Isolated Microglia_Standard
HIST1H4A	P62806	80255845.5775211	1.0	Isolated Microglia	Single shot	1	Standard	Isolated Microglia_Standard
HSP90AB1	P11499	4194522.56340988	37.0	Isolated Microglia	Single shot	1	Standard	Isolated Microglia_Standard
CLTC	Q68FD5;Q5SXR6	2195821.53002855	112.0	Isolated Microglia	Single shot	1	Standard	Isolated Microglia_Standard
ALDOA	A6ZI44	2106671.47841039	123.0	Isolated Microglia	Single shot	1	Standard	Isolated Microglia_Standard
YWHAE	P62259;D6REF3	5800286.7871699	21.0	Isolated Microglia	Single shot	1	Standard	Isolated Microglia_Standard
EEF1A1	P10126;D3YZ68	6828793.49659345	18.0	Isolated Microglia	Single shot	1	Standard	Isolated Microglia_Standard
HIST1H2BC;HIST1H2BH	Q6ZWY9;Q64478	34167151.3872001	3.0	Isolated Microglia	Single shot	1	Standard	Isolated Microglia_Standard
TUBB4B	P68372	2384432.44930742	102.0	Isolated Microglia	Single shot	1	Standard	Isolated Microglia_Standard
DYNC1H1	Q9JHU4	444410.905619596	677.0	Isolated Microglia	Single shot	1	Standard	Isolated Microglia_Standard
MDH2	P08249	4697930.64044771	32.0	Isolated Microglia	Single shot	1	Standard	Isolated Microglia_Standard
ACO2	Q99KI0	1751796.14195787	168.0	Isolated Microglia	Single shot	1	Standard	Isolated Microglia_Standard
