Gene names	Accession IDs	Copy number	Rank	Cell type	Experiment type	Fraction	Condition	label
MAPK8IP3	K3W4S4;Q9ESN9-6;Q9ESN9;J3QNR6;Q9ESN9-4	33194.7948520955	3072.0	Isolated Neurons	Single shot	1	Standard	Isolated Neurons_Standard
PPM1H	Q3UYC0;Q3UYC0-2	35472.1146424475	2985.0	Isolated Neurons	Single shot	1	Standard	Isolated Neurons_Standard
RAB10	P61027	643251.926416888	373.0	Isolated Neurons	Single shot	1	Standard	Isolated Neurons_Standard
RAB12	A2CG35	62722.1340308276	2221.0	Isolated Neurons	Single shot	1	Standard	Isolated Neurons_Standard
RAB1B	Q9D1G1	598720.21003805	403.0	Isolated Neurons	Single shot	1	Standard	Isolated Neurons_Standard
RAB29	E9QLQ7;Q91YQ1	3726.88066127667	6727.0	Isolated Neurons	Single shot	1	Standard	Isolated Neurons_Standard
RAB35	Q6PHN9	38985.6600482989	2849.0	Isolated Neurons	Single shot	1	Standard	Isolated Neurons_Standard
RAB3A	P63011	177354.191644521	1130.0	Isolated Neurons	Single shot	1	Standard	Isolated Neurons_Standard
RAB3B	Q9CZT8;A2A7Z6	10208.8126067946	4965.0	Isolated Neurons	Single shot	1	Standard	Isolated Neurons_Standard
RAB3D	P35276;D3YWL1;D3YW33	63596.2370878862	2202.0	Isolated Neurons	Single shot	1	Standard	Isolated Neurons_Standard
RAB43	Q8CG50;D3Z444	8572.01779336943	5264.0	Isolated Neurons	Single shot	1	Standard	Isolated Neurons_Standard
RAB7A	P51150	618958.798260243	389.0	Isolated Neurons	Single shot	1	Standard	Isolated Neurons_Standard
RAB8A	P55258	99954.7559505722	1687.0	Isolated Neurons	Single shot	1	Standard	Isolated Neurons_Standard
RAB8B	P61028	33502.7621208122	3057.0	Isolated Neurons	Single shot	1	Standard	Isolated Neurons_Standard
RILPL1	Q9JJC6	1145.26481214971	8003.0	Isolated Neurons	Single shot	1	Standard	Isolated Neurons_Standard
SPAG9	Q58A65-2;Q58A65-5;Q58A65-6;Q58A65-3;F8WH31;E9PUD1;Q58A65-4;Z4YMB8	34238.3943606795	3028.0	Isolated Neurons	Single shot	1	Standard	Isolated Neurons_Standard
VPS35	Q9EQH3	284438.819509451	813.0	Isolated Neurons	Single shot	1	Standard	Isolated Neurons_Standard
ACTB	P60710	15163789.7524486	5.0	Isolated Neurons	Single shot	1	Standard	Isolated Neurons_Standard
TUBB2A	Q7TMM9	9359233.15488894	8.0	Isolated Neurons	Single shot	1	Standard	Isolated Neurons_Standard
TUBA1B	P05213	9717666.14689731	7.0	Isolated Neurons	Single shot	1	Standard	Isolated Neurons_Standard
GAPDH	P16858;S4R257	5172577.7402339	16.0	Isolated Neurons	Single shot	1	Standard	Isolated Neurons_Standard
HSPA8	P63017;Q504P4	4451209.219075	23.0	Isolated Neurons	Single shot	1	Standard	Isolated Neurons_Standard
SPTAN1	A3KGU7	375144.128295168	647.0	Isolated Neurons	Single shot	1	Standard	Isolated Neurons_Standard
ATP5B	P56480	5172135.95027729	17.0	Isolated Neurons	Single shot	1	Standard	Isolated Neurons_Standard
CKB	Q04447	3394731.44633528	32.0	Isolated Neurons	Single shot	1	Standard	Isolated Neurons_Standard
ATP5A1	Q03265;D3Z6F5	4805806.54647315	21.0	Isolated Neurons	Single shot	1	Standard	Isolated Neurons_Standard
PKM	P52480	2338911.00743802	65.0	Isolated Neurons	Single shot	1	Standard	Isolated Neurons_Standard
ENO1	P17182;Q6PHC1	2698217.27034816	55.0	Isolated Neurons	Single shot	1	Standard	Isolated Neurons_Standard
VIM	P20152	1736294.49368996	107.0	Isolated Neurons	Single shot	1	Standard	Isolated Neurons_Standard
