Gene names	Accession IDs	Copy number	Rank	Cell type	Experiment type	Fraction	Condition	label
LRRK1	Q3UHC2;Q3UHC2-3	169.41	7323.0	Microglia	Fractionated	3	adult	Microglia_adult
LRRK2	Q5S006	6.83607	7691.0	Microglia	Fractionated	3	adult	Microglia_adult
MAPK8IP3	K3W4S4;Q9ESN9-6;Q9ESN9;J3QNR6;Q9ESN9-4	499.184	6868.0	Microglia	Fractionated	3	adult	Microglia_adult
PPM1H	Q3UYC0;Q3UYC0-2	57107.5	2410.0	Microglia	Fractionated	3	adult	Microglia_adult
RAB10	P61027	1681570.0	307.0	Microglia	Fractionated	3	adult	Microglia_adult
RAB12	A2CG35	64462.7	2268.0	Microglia	Fractionated	3	adult	Microglia_adult
RAB1B	Q9D1G1	1497320.0	329.0	Microglia	Fractionated	3	adult	Microglia_adult
RAB29	E9QLQ7;Q91YQ1	44359.5	2657.0	Microglia	Fractionated	3	adult	Microglia_adult
RAB35	Q6PHN9	273946.0	1072.0	Microglia	Fractionated	3	adult	Microglia_adult
RAB3A	P63011	125425.0	1654.0	Microglia	Fractionated	3	adult	Microglia_adult
RAB3D	P35276;D3YWL1;D3YW33	57542.0	2395.0	Microglia	Fractionated	3	adult	Microglia_adult
RAB43	Q8CG50;D3Z444	41395.0	2720.0	Microglia	Fractionated	3	adult	Microglia_adult
RAB7A	P51150	3239860.0	166.0	Microglia	Fractionated	3	adult	Microglia_adult
RAB8A	P55258	896591.0	477.0	Microglia	Fractionated	3	adult	Microglia_adult
RAB8B	P61028	416668.0	818.0	Microglia	Fractionated	3	adult	Microglia_adult
RILPL1	Q9JJC6	33708.7	2965.0	Microglia	Fractionated	3	adult	Microglia_adult
RILPL2	Q99LE1	111756.0	1748.0	Microglia	Fractionated	3	adult	Microglia_adult
SPAG9	Q58A65-2;Q58A65-5;Q58A65-6;Q58A65-3;F8WH31;E9PUD1;Q58A65-4;Z4YMB8	30948.6	3048.0	Microglia	Fractionated	3	adult	Microglia_adult
SPAG9	Q58A65;F6SH61	68.5602	7539.0	Microglia	Fractionated	3	adult	Microglia_adult
VPS35	Q9EQH3	421275.0	806.0	Microglia	Fractionated	3	adult	Microglia_adult
SPTAN1	A3KGU7	15191.7	3832.0	Microglia	Fractionated	3	adult	Microglia_adult
TUBB4B	P68372	5815170.0	66.0	Microglia	Fractionated	3	adult	Microglia_adult
TUBA1B	P05213	5194320.0	85.0	Microglia	Fractionated	3	adult	Microglia_adult
ACTB	P60710;E9Q1F2	41377000.0	4.0	Microglia	Fractionated	3	adult	Microglia_adult
CKB	Q04447	3666160.0	146.0	Microglia	Fractionated	3	adult	Microglia_adult
CLTC	Q68FD5;Q5SXR6	391179.0	854.0	Microglia	Fractionated	3	adult	Microglia_adult
PKM	P52480-2	6637970.0	52.0	Microglia	Fractionated	3	adult	Microglia_adult
SPTBN1	Q62261	16704.5	3714.0	Microglia	Fractionated	3	adult	Microglia_adult
ATP5A1	Q03265;D3Z6F5	2138210.0	260.0	Microglia	Fractionated	3	adult	Microglia_adult
HSPA8	P63017;Q504P4	3799650.0	138.0	Microglia	Fractionated	3	adult	Microglia_adult
ENO1	P17182;Q6PHC1	9189460.0	40.0	Microglia	Fractionated	3	adult	Microglia_adult
ATP5B	P56480	3457250.0	156.0	Microglia	Fractionated	3	adult	Microglia_adult
GAPDH	P16858;S4R257	21292200.0	16.0	Microglia	Fractionated	3	adult	Microglia_adult
ACO2	Q99KI0	544555.0	673.0	Microglia	Fractionated	3	adult	Microglia_adult
ATP1A2	Q6PIE5;D3YYN7;D3YVX6	106416.0	1795.0	Microglia	Fractionated	3	adult	Microglia_adult
ALDOA	A6ZI44	6811430.0	51.0	Microglia	Fractionated	3	adult	Microglia_adult
YWHAE	P62259;D6REF3	9129850.0	42.0	Microglia	Fractionated	3	adult	Microglia_adult
DPYSL2	O08553	895334.0	478.0	Microglia	Fractionated	3	adult	Microglia_adult
DYNC1H1	Q9JHU4	32183.2	3010.0	Microglia	Fractionated	3	adult	Microglia_adult
TUBB2B	Q9CWF2	917003.0	462.0	Microglia	Fractionated	3	adult	Microglia_adult
MDH2	P08249	3542510.0	151.0	Microglia	Fractionated	3	adult	Microglia_adult
HSP90AB1	P11499	2425080.0	229.0	Microglia	Fractionated	3	adult	Microglia_adult
MAP1B	P14873	844.786	6589.0	Microglia	Fractionated	3	adult	Microglia_adult
DNM1	P39053-4;P39053	61890.5	2305.0	Microglia	Fractionated	3	adult	Microglia_adult
STXBP1	O08599-2	24485.4	3296.0	Microglia	Fractionated	3	adult	Microglia_adult
CNP	P16330;P16330-2	68014.1	2208.0	Microglia	Fractionated	3	adult	Microglia_adult
VDAC1	Q60932-2;Q60932;F2Z471	3112070.0	179.0	Microglia	Fractionated	3	adult	Microglia_adult
SYN1	O88935;O88935-3	2073.87	5911.0	Microglia	Fractionated	3	adult	Microglia_adult
MAP2	P20357	1183.25	6344.0	Microglia	Fractionated	3	adult	Microglia_adult
NEFM	P08553	83309.4	2000.0	Microglia	Fractionated	3	adult	Microglia_adult
ATP1A3	Q6PIC6	26075.1	3240.0	Microglia	Fractionated	3	adult	Microglia_adult
MAP1A	A2ARP8;Q9QYR6-2	678.121	6715.0	Microglia	Fractionated	3	adult	Microglia_adult
MBP	P04370-4;F6RT34	40020.9	2762.0	Microglia	Fractionated	3	adult	Microglia_adult
NSF	P46460	108593.0	1773.0	Microglia	Fractionated	3	adult	Microglia_adult
PLP1	P60202;P60202-2	46954.9	2601.0	Microglia	Fractionated	3	adult	Microglia_adult
PPIA;GM5160	P17742;F8VPN3	20196100.0	17.0	Microglia	Fractionated	3	adult	Microglia_adult
CRMP1	Q6P1J1	44563.1	2655.0	Microglia	Fractionated	3	adult	Microglia_adult
GPI	P06745	2161440.0	256.0	Microglia	Fractionated	3	adult	Microglia_adult
PGK1	P09411;S4R2M7	4730450.0	105.0	Microglia	Fractionated	3	adult	Microglia_adult
HK1	P17710-3;P17710;G3UVV4;P17710-4	87122.4	1972.0	Microglia	Fractionated	3	adult	Microglia_adult
NEFL	P08551	863.7	6567.0	Microglia	Fractionated	3	adult	Microglia_adult
PGAM1	Q9DBJ1	9745730.0	35.0	Microglia	Fractionated	3	adult	Microglia_adult
EEF1A1	P10126;D3YZ68	6600030.0	55.0	Microglia	Fractionated	3	adult	Microglia_adult
ALDOC	P05063	25633.4	3253.0	Microglia	Fractionated	3	adult	Microglia_adult
