Gene names	Accession IDs	Copy number	Rank	Cell type	Experiment type	Fraction	Condition	label
LRRK1	Q3UHC2;Q3UHC2-3	230.491	7136.0	Microglia	Fractionated	3	young	Microglia_young
LRRK2	Q5S006	7.8455	7682.0	Microglia	Fractionated	3	young	Microglia_young
MAPK8IP3	K3W4S4;Q9ESN9-6;Q9ESN9;J3QNR6;Q9ESN9-4	1798.76	5731.0	Microglia	Fractionated	3	young	Microglia_young
PPM1H	Q3UYC0;Q3UYC0-2	20139.5	3211.0	Microglia	Fractionated	3	young	Microglia_young
RAB10	P61027	883185.0	428.0	Microglia	Fractionated	3	young	Microglia_young
RAB12	A2CG35	37338.9	2522.0	Microglia	Fractionated	3	young	Microglia_young
RAB1B	Q9D1G1	959877.0	413.0	Microglia	Fractionated	3	young	Microglia_young
RAB29	E9QLQ7;Q91YQ1	29260.8	2791.0	Microglia	Fractionated	3	young	Microglia_young
RAB35	Q6PHN9	381036.0	737.0	Microglia	Fractionated	3	young	Microglia_young
RAB3A	P63011	101050.0	1597.0	Microglia	Fractionated	3	young	Microglia_young
RAB3D	P35276;D3YWL1;D3YW33	46172.2	2303.0	Microglia	Fractionated	3	young	Microglia_young
RAB43	Q8CG50;D3Z444	592076.0	542.0	Microglia	Fractionated	3	young	Microglia_young
RAB7A	P51150	3754800.0	113.0	Microglia	Fractionated	3	young	Microglia_young
RAB8A	P55258	782447.0	449.0	Microglia	Fractionated	3	young	Microglia_young
RAB8B	P61028	490376.0	622.0	Microglia	Fractionated	3	young	Microglia_young
RILPL1	Q9JJC6	17878.9	3353.0	Microglia	Fractionated	3	young	Microglia_young
RILPL2	Q99LE1	243447.0	967.0	Microglia	Fractionated	3	young	Microglia_young
SPAG9	Q58A65-2;Q58A65-5;Q58A65-6;Q58A65-3;F8WH31;E9PUD1;Q58A65-4;Z4YMB8	18157.4	3336.0	Microglia	Fractionated	3	young	Microglia_young
SPAG9	Q58A65;F6SH61	151.982	7290.0	Microglia	Fractionated	3	young	Microglia_young
VPS35	Q9EQH3	236000.0	979.0	Microglia	Fractionated	3	young	Microglia_young
SPTAN1	A3KGU7	18996.3	3275.0	Microglia	Fractionated	3	young	Microglia_young
TUBB4B	P68372	4691990.0	85.0	Microglia	Fractionated	3	young	Microglia_young
TUBA1B	P05213	4385010.0	90.0	Microglia	Fractionated	3	young	Microglia_young
ACTB	P60710;E9Q1F2	40766400.0	6.0	Microglia	Fractionated	3	young	Microglia_young
CKB	Q04447	3116260.0	146.0	Microglia	Fractionated	3	young	Microglia_young
CLTC	Q68FD5;Q5SXR6	244116.0	963.0	Microglia	Fractionated	3	young	Microglia_young
PKM	P52480-2	4750780.0	83.0	Microglia	Fractionated	3	young	Microglia_young
SPTBN1	Q62261	16925.5	3417.0	Microglia	Fractionated	3	young	Microglia_young
ATP5A1	Q03265;D3Z6F5	1937060.0	251.0	Microglia	Fractionated	3	young	Microglia_young
HSPA8	P63017;Q504P4	4180940.0	95.0	Microglia	Fractionated	3	young	Microglia_young
ENO1	P17182;Q6PHC1	10361400.0	29.0	Microglia	Fractionated	3	young	Microglia_young
ATP5B	P56480	2528680.0	181.0	Microglia	Fractionated	3	young	Microglia_young
GAPDH	P16858;S4R257	14867900.0	21.0	Microglia	Fractionated	3	young	Microglia_young
ACO2	Q99KI0	398172.0	708.0	Microglia	Fractionated	3	young	Microglia_young
ATP1A2	Q6PIE5;D3YYN7;D3YVX6	120674.0	1452.0	Microglia	Fractionated	3	young	Microglia_young
ALDOA	A6ZI44	5233080.0	72.0	Microglia	Fractionated	3	young	Microglia_young
YWHAE	P62259;D6REF3	7537960.0	37.0	Microglia	Fractionated	3	young	Microglia_young
DPYSL2	O08553	830761.0	441.0	Microglia	Fractionated	3	young	Microglia_young
DYNC1H1	Q9JHU4	24365.2	2995.0	Microglia	Fractionated	3	young	Microglia_young
TUBB2B	Q9CWF2	1577910.0	297.0	Microglia	Fractionated	3	young	Microglia_young
MDH2	P08249	4452800.0	89.0	Microglia	Fractionated	3	young	Microglia_young
HSP90AB1	P11499	2849110.0	159.0	Microglia	Fractionated	3	young	Microglia_young
MAP1B	P14873	1134.95	6168.0	Microglia	Fractionated	3	young	Microglia_young
DNM1	P39053-4;P39053	36948.4	2537.0	Microglia	Fractionated	3	young	Microglia_young
STXBP1	O08599-2	49338.5	2227.0	Microglia	Fractionated	3	young	Microglia_young
CNP	P16330;P16330-2	39790.4	2452.0	Microglia	Fractionated	3	young	Microglia_young
