Gene names	Accession IDs	Copy number	Rank	Cell type	Experiment type	Fraction	Condition	label
MAPK8IP3	K3W4S4;Q9ESN9-6;Q9ESN9;J3QNR6;Q9ESN9-4	180072.275450603	2610.0	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
PPM1H	Q3UYC0;Q3UYC0-2	1064728.92753027	990.0	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
RAB10	P61027	4237949.74882739	289.0	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
RAB12	A2CG35	679808.942351851	1286.0	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
RAB1B	Q9D1G1	3946425.3910458	305.0	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
RAB29	E9QLQ7;Q91YQ1	68128.555151061	3926.5	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
RAB35	Q6PHN9	1006415.81634159	1035.0	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
RAB3A	P63011	10680402.1721085	99.0	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
RAB3B	Q9CZT8;A2A7Z6	728510.425047679	1221.0	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
RAB3D	P35276;D3YWL1;D3YW33	1842662.45929649	638.0	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
RAB43	Q8CG50;D3Z444	71295.1302997178	3869.0	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
RAB7A	P51150	5078033.60718878	221.0	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
RAB8A	P55258	512135.902149758	1513.0	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
RAB8B	P61028	513654.949317151	1510.0	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
RILPL1	Q9JJC6	134441.258890083	2985.0	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
RILPL2	Q99LE1;Q99LE1-2	106983.382958804	3298.0	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
SPAG9	Q58A65-2;Q58A65-5;Q58A65-6;Q58A65-3;F8WH31;E9PUD1;Q58A65-4;Z4YMB8	224517.273501937	2345.0	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
VPS35	Q9EQH3	2823371.47402752	444.0	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
ACTB	P60710	102693583.00939	1.0	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
TUBB2A	Q7TMM9	86854716.4697802	3.0	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
TUBA1B	P05213	81217913.1742492	4.0	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
GAPDH	P16858;S4R257	58766372.4113439	8.0	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
HSPA8	P63017;Q504P4	25452120.8196346	29.0	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
SPTAN1	A3KGU7	12039359.0604813	88.0	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
ATP5B	P56480	39101274.6200058	12.0	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
CKB	Q04447	36783995.1330064	14.0	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
ATP5A1	Q03265;D3Z6F5	32136660.8814377	19.0	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
PKM	P52480	28670898.6075194	23.0	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
ENO1	P17182;Q6PHC1	34561545.921084	17.0	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
VIM	P20152	2312011.72791544	522.0	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
DPYSL2	O08553	33634007.9549374	18.0	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
HIST1H4A	P62806	100645651.030543	2.0	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
HSP90AB1	P11499	14090231.4302579	66.0	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
CLTC	Q68FD5;Q5SXR6	16099724.2524722	54.0	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
ALDOA	A6ZI44	30950441.1427993	20.0	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
YWHAE	P62259;D6REF3	44549397.9878985	10.0	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
EEF1A1	P10126;D3YZ68	13972891.3939198	71.0	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
HIST1H2BC;HIST1H2BH	Q6ZWY9;Q64478	35137988.0800675	16.0	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
TUBB4B	P68372	23354137.9268543	33.0	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
DYNC1H1	Q9JHU4	3280965.64148993	382.0	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
MDH2	P08249	37037391.1974292	13.0	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
ACO2	Q99KI0	16681224.0241297	50.0	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
HIST1H2AF;HIST1H2AB;HIST1H2AK;HIST1H2AH	Q8CGP5;P22752;Q8CGP7;Q8CGP6	65747833.5125954	5.0	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
PPIA	P17742	48354110.6122682	9.0	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
SPTBN1	Q62261	7886407.40514705	142.0	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
PGK1	P09411;S4R2M7	21202384.1841025	37.0	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
MBP	P04370-4;F6RT34	13216079.3921383	81.0	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
ATP1A2	Q6PIE5;D3YYN7;D3YVX6	14086100.6304351	67.0	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
CRMP1	Q6P1J1	13327622.8122817	79.0	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
YWHAZ	P63101	39112503.047464	11.0	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
CFL1	P18760;F8WGL3	35896510.5831975	15.0	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
VCP	Q01853	7285297.22027735	160.0	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
HSPD1	P63038	9465541.60789043	113.0	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
HSPA5	P20029	5061820.7766543	224.0	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
MYH9	Q8VDD5	1696484.09894254	676.0	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
MAP1B	P14873	1733224.77503864	666.0	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
EEF2	P58252	4914531.48100087	240.0	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
HBBT1;HBB-BS	A8DUK4;E9Q223	64036300.0864128	6.0	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
VDAC1	Q60932-2;Q60932;F2Z471	24086877.30117	31.0	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
HIST1H3B	P84228	16005475.1929964	55.0	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
SLC25A5	P51881	26357533.848794	25.0	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
NEFM	P08553	1486214.99683406	761.0	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
UBA1	Q02053	4963735.51169334	232.0	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
DNM1	P39053-4;P39053	13637850.1396181	76.0	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
GOT2	P05202	18655132.1807471	41.0	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
DPYSL3	E9PWE8;Q3TT92	4804272.93155147	247.0	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
TPI1	P17751;H7BXC3	26330791.2675129	26.0	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
STXBP1	O08599-2	23137040.3295461	34.0	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
PGAM1	Q9DBJ1	21797355.9782269	36.0	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
HNRNPA2B1	O88569;O88569-2	8427237.54943633	133.0	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
ATP6V1A	P50516;P50516-2	15328011.2354273	59.0	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
SYN1	O88935;O88935-3	16490195.0882581	51.0	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
HBA-A2;HBA	Q91VB8;P01942	59046864.3697568	7.0	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
GFAP	P03995	1572249.39465778	724.0	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
HSP90AA1	P07901	7754584.19798185	148.0	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
TUBB3	Q9ERD7	14425532.992387	63.0	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
PRDX1	P35700	11892710.0113856	89.0	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
ATP1A3	Q6PIC6;Q8VCE0	10245689.4280354	107.0	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
ACTC1	P68033	4777357.80949476	248.0	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
CNP	P16330;P16330-2	4651324.23703226	259.0	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
HNRNPK;GM7964	P61979-2;P61979;H3BLL4;D3YWG1;H3BK96	6613436.00530482	174.0	Motor Cortex	Single shot	1	Standard	Motor Cortex_Standard
