Gene names	Accession IDs	Copy number	Rank	Cell type	Experiment type	Fraction	Condition	label
LRRK2	Q5S006	850.884	8059.0	Mouse_Wholebrain	Fractionated	4	Standard	Mouse_Wholebrain_Standard
MAPK8IP3	K3W4S4;Q9ESN9-6;Q9ESN9;J3QNR6;Q9ESN9-4	18703.1	4359.0	Mouse_Wholebrain	Fractionated	4	Standard	Mouse_Wholebrain_Standard
PPM1H	Q3UYC0;Q3UYC0-2	247321.0	1542.0	Mouse_Wholebrain	Fractionated	4	Standard	Mouse_Wholebrain_Standard
PPM1J	Q149T7	328.675	8692.0	Mouse_Wholebrain	Fractionated	4	Standard	Mouse_Wholebrain_Standard
RAB10	P61027	3344270.0	243.0	Mouse_Wholebrain	Fractionated	4	Standard	Mouse_Wholebrain_Standard
RAB12	A2CG35	220317.0	1650.0	Mouse_Wholebrain	Fractionated	4	Standard	Mouse_Wholebrain_Standard
RAB1A	P62821	88581.7	2527.0	Mouse_Wholebrain	Fractionated	4	Standard	Mouse_Wholebrain_Standard
RAB1B	Q9D1G1	1455290.0	524.0	Mouse_Wholebrain	Fractionated	4	Standard	Mouse_Wholebrain_Standard
RAB29	E9QLQ7;Q91YQ1	3249.97	6650.0	Mouse_Wholebrain	Fractionated	4	Standard	Mouse_Wholebrain_Standard
RAB35	Q6PHN9	1610490.0	480.0	Mouse_Wholebrain	Fractionated	4	Standard	Mouse_Wholebrain_Standard
RAB3A	P63011	5863400.0	134.0	Mouse_Wholebrain	Fractionated	4	Standard	Mouse_Wholebrain_Standard
RAB3B	Q9CZT8;A2A7Z6	371375.0	1234.0	Mouse_Wholebrain	Fractionated	4	Standard	Mouse_Wholebrain_Standard
RAB3D	P35276;D3YWL1;D3YW33	1586560.0	491.0	Mouse_Wholebrain	Fractionated	4	Standard	Mouse_Wholebrain_Standard
RAB43	Q8CG50;D3Z444	367.129	8647.0	Mouse_Wholebrain	Fractionated	4	Standard	Mouse_Wholebrain_Standard
RAB7A	P51150	3302050.0	249.0	Mouse_Wholebrain	Fractionated	4	Standard	Mouse_Wholebrain_Standard
RAB8A	P55258	478675.0	1065.0	Mouse_Wholebrain	Fractionated	4	Standard	Mouse_Wholebrain_Standard
RAB8B	P61028	158398.0	1933.0	Mouse_Wholebrain	Fractionated	4	Standard	Mouse_Wholebrain_Standard
RILPL1	Q9JJC6	46591.5	3253.0	Mouse_Wholebrain	Fractionated	4	Standard	Mouse_Wholebrain_Standard
SPAG9	Q58A65-2;Q58A65-5;Q58A65-6;Q58A65-3;F8WH31;E9PUD1;Q58A65-4;Z4YMB8	23066.9	4094.0	Mouse_Wholebrain	Fractionated	4	Standard	Mouse_Wholebrain_Standard
SPAG9	Q58A65;F6SH61	56.3227	9255.0	Mouse_Wholebrain	Fractionated	4	Standard	Mouse_Wholebrain_Standard
VPS35	Q9EQH3	348738.0	1289.0	Mouse_Wholebrain	Fractionated	4	Standard	Mouse_Wholebrain_Standard
SPTAN1	A3KGU7	614301.0	909.0	Mouse_Wholebrain	Fractionated	4	Standard	Mouse_Wholebrain_Standard
TUBB4B	P68372	30343600.0	11.0	Mouse_Wholebrain	Fractionated	4	Standard	Mouse_Wholebrain_Standard
TUBA1B	P05213	26413300.0	13.0	Mouse_Wholebrain	Fractionated	4	Standard	Mouse_Wholebrain_Standard
ACTB	P60710;E9Q1F2	33827000.0	8.0	Mouse_Wholebrain	Fractionated	4	Standard	Mouse_Wholebrain_Standard
CKB	Q04447	18668900.0	29.0	Mouse_Wholebrain	Fractionated	4	Standard	Mouse_Wholebrain_Standard
CLTC	Q68FD5;Q5SXR6	887179.0	739.0	Mouse_Wholebrain	Fractionated	4	Standard	Mouse_Wholebrain_Standard
PKM	P52480-2	7011360.0	109.0	Mouse_Wholebrain	Fractionated	4	Standard	Mouse_Wholebrain_Standard
SPTBN1	Q62261	381365.0	1213.0	Mouse_Wholebrain	Fractionated	4	Standard	Mouse_Wholebrain_Standard
ATP5A1	Q03265;D3Z6F5	7095600.0	108.0	Mouse_Wholebrain	Fractionated	4	Standard	Mouse_Wholebrain_Standard
HSPA8	P63017;Q504P4	6000900.0	125.0	Mouse_Wholebrain	Fractionated	4	Standard	Mouse_Wholebrain_Standard
ENO1	P17182;Q6PHC1	10537700.0	66.0	Mouse_Wholebrain	Fractionated	4	Standard	Mouse_Wholebrain_Standard
ATP5B	P56480	9984130.0	71.0	Mouse_Wholebrain	Fractionated	4	Standard	Mouse_Wholebrain_Standard
GAPDH	P16858;S4R257	25309700.0	16.0	Mouse_Wholebrain	Fractionated	4	Standard	Mouse_Wholebrain_Standard
ACO2	Q99KI0	3385510.0	239.0	Mouse_Wholebrain	Fractionated	4	Standard	Mouse_Wholebrain_Standard
ATP1A2	Q6PIE5;D3YYN7;D3YVX6	3300480.0	250.0	Mouse_Wholebrain	Fractionated	4	Standard	Mouse_Wholebrain_Standard
ALDOA	A6ZI44	11685400.0	60.0	Mouse_Wholebrain	Fractionated	4	Standard	Mouse_Wholebrain_Standard
YWHAE	P62259;D6REF3	20910300.0	23.0	Mouse_Wholebrain	Fractionated	4	Standard	Mouse_Wholebrain_Standard
DPYSL2	O08553	5527490.0	144.0	Mouse_Wholebrain	Fractionated	4	Standard	Mouse_Wholebrain_Standard
DYNC1H1	Q9JHU4	66830.5	2801.0	Mouse_Wholebrain	Fractionated	4	Standard	Mouse_Wholebrain_Standard
TUBB2B	Q9CWF2	8121140.0	90.0	Mouse_Wholebrain	Fractionated	4	Standard	Mouse_Wholebrain_Standard
MDH2	P08249	13826800.0	47.0	Mouse_Wholebrain	Fractionated	4	Standard	Mouse_Wholebrain_Standard
HSP90AB1	P11499	3563160.0	230.0	Mouse_Wholebrain	Fractionated	4	Standard	Mouse_Wholebrain_Standard
MAP1B	P14873	191871.0	1757.0	Mouse_Wholebrain	Fractionated	4	Standard	Mouse_Wholebrain_Standard
DNM1	P39053-4;P39053	2093210.0	397.0	Mouse_Wholebrain	Fractionated	4	Standard	Mouse_Wholebrain_Standard
STXBP1	O08599-2	4653150.0	176.0	Mouse_Wholebrain	Fractionated	4	Standard	Mouse_Wholebrain_Standard
CNP	P16330;P16330-2	8100280.0	91.0	Mouse_Wholebrain	Fractionated	4	Standard	Mouse_Wholebrain_Standard
VDAC1	Q60932-2;Q60932;F2Z471	14111500.0	46.0	Mouse_Wholebrain	Fractionated	4	Standard	Mouse_Wholebrain_Standard
SYN1	O88935;O88935-3	3110930.0	263.0	Mouse_Wholebrain	Fractionated	4	Standard	Mouse_Wholebrain_Standard
MAP2	P20357	389504.0	1199.0	Mouse_Wholebrain	Fractionated	4	Standard	Mouse_Wholebrain_Standard
NEFM	P08553	1612760.0	479.0	Mouse_Wholebrain	Fractionated	4	Standard	Mouse_Wholebrain_Standard
ATP1A3	Q6PIC6	2145740.0	381.0	Mouse_Wholebrain	Fractionated	4	Standard	Mouse_Wholebrain_Standard
MAP1A	A2ARP8;Q9QYR6-2	164466.0	1900.0	Mouse_Wholebrain	Fractionated	4	Standard	Mouse_Wholebrain_Standard
MBP	P04370-4;F6RT34	60390200.0	2.0	Mouse_Wholebrain	Fractionated	4	Standard	Mouse_Wholebrain_Standard
NSF	P46460	2484280.0	333.0	Mouse_Wholebrain	Fractionated	4	Standard	Mouse_Wholebrain_Standard
PLP1	P60202;P60202-2	42738200.0	6.0	Mouse_Wholebrain	Fractionated	4	Standard	Mouse_Wholebrain_Standard
PPIA;GM5160	P17742;F8VPN3	25701700.0	14.0	Mouse_Wholebrain	Fractionated	4	Standard	Mouse_Wholebrain_Standard
CRMP1	Q6P1J1	2113540.0	389.0	Mouse_Wholebrain	Fractionated	4	Standard	Mouse_Wholebrain_Standard
GPI	P06745	3811330.0	216.0	Mouse_Wholebrain	Fractionated	4	Standard	Mouse_Wholebrain_Standard
PGK1	P09411;S4R2M7	7228120.0	107.0	Mouse_Wholebrain	Fractionated	4	Standard	Mouse_Wholebrain_Standard
HK1	P17710-3;P17710;G3UVV4;P17710-4	1418400.0	532.0	Mouse_Wholebrain	Fractionated	4	Standard	Mouse_Wholebrain_Standard
NEFL	P08551	2118210.0	388.0	Mouse_Wholebrain	Fractionated	4	Standard	Mouse_Wholebrain_Standard
PGAM1	Q9DBJ1	16624400.0	37.0	Mouse_Wholebrain	Fractionated	4	Standard	Mouse_Wholebrain_Standard
EEF1A1	P10126;D3YZ68	5808380.0	136.0	Mouse_Wholebrain	Fractionated	4	Standard	Mouse_Wholebrain_Standard
ALDOC	P05063	9313450.0	74.0	Mouse_Wholebrain	Fractionated	4	Standard	Mouse_Wholebrain_Standard
ATP6V1A	P50516;P50516-2	2557370.0	323.0	Mouse_Wholebrain	Fractionated	4	Standard	Mouse_Wholebrain_Standard
GNAO1	P18872	8935720.0	78.0	Mouse_Wholebrain	Fractionated	4	Standard	Mouse_Wholebrain_Standard
GOT2	P05202	5689060.0	142.0	Mouse_Wholebrain	Fractionated	4	Standard	Mouse_Wholebrain_Standard
HSP90AA1	P07901	1875830.0	430.0	Mouse_Wholebrain	Fractionated	4	Standard	Mouse_Wholebrain_Standard
GOT1	P05201	5690920.0	141.0	Mouse_Wholebrain	Fractionated	4	Standard	Mouse_Wholebrain_Standard
ENO2	P17183;D3Z6E4	4569680.0	179.0	Mouse_Wholebrain	Fractionated	4	Standard	Mouse_Wholebrain_Standard
TUBB3	Q9ERD7	5185550.0	151.0	Mouse_Wholebrain	Fractionated	4	Standard	Mouse_Wholebrain_Standard
HSPA4	Q3U2G2;Q61316	689171.0	845.0	Mouse_Wholebrain	Fractionated	4	Standard	Mouse_Wholebrain_Standard
VCP	Q01853	1019580.0	657.0	Mouse_Wholebrain	Fractionated	4	Standard	Mouse_Wholebrain_Standard
TPI1	P17751;H7BXC3	12453200.0	55.0	Mouse_Wholebrain	Fractionated	4	Standard	Mouse_Wholebrain_Standard
AP2B1	Q9DBG3;Q9DBG3-2;H3BIY9;H3BKM0	1258310.0	575.0	Mouse_Wholebrain	Fractionated	4	Standard	Mouse_Wholebrain_Standard
SLC25A5	P51881	9024190.0	77.0	Mouse_Wholebrain	Fractionated	4	Standard	Mouse_Wholebrain_Standard
YWHAZ	P63101	14121500.0	45.0	Mouse_Wholebrain	Fractionated	4	Standard	Mouse_Wholebrain_Standard
MYH10	Q5SV64	103654.0	2367.0	Mouse_Wholebrain	Fractionated	4	Standard	Mouse_Wholebrain_Standard
HSPD1	P63038	2752200.0	306.0	Mouse_Wholebrain	Fractionated	4	Standard	Mouse_Wholebrain_Standard
CFL1	P18760;F8WGL3	18313400.0	32.0	Mouse_Wholebrain	Fractionated	4	Standard	Mouse_Wholebrain_Standard
NCAM1	P13595;P13595-3	835508.0	762.0	Mouse_Wholebrain	Fractionated	4	Standard	Mouse_Wholebrain_Standard
MDH1	P14152	10013100.0	70.0	Mouse_Wholebrain	Fractionated	4	Standard	Mouse_Wholebrain_Standard
GDI2	Q61598;Q61598-2	2483200.0	334.0	Mouse_Wholebrain	Fractionated	4	Standard	Mouse_Wholebrain_Standard
INA	P46660	1762410.0	440.0	Mouse_Wholebrain	Fractionated	4	Standard	Mouse_Wholebrain_Standard
IDH3B	Q91VA7	6144620.0	121.0	Mouse_Wholebrain	Fractionated	4	Standard	Mouse_Wholebrain_Standard
SYT1	P46096	5100210.0	158.0	Mouse_Wholebrain	Fractionated	4	Standard	Mouse_Wholebrain_Standard
ATP5H;GM10250	Q9DCX2;G3X9L6;B1ASE2	14386000.0	44.0	Mouse_Wholebrain	Fractionated	4	Standard	Mouse_Wholebrain_Standard
SPTBN2	Q68FG2	139285.0	2072.0	Mouse_Wholebrain	Fractionated	4	Standard	Mouse_Wholebrain_Standard
GDI1	P50396	3053230.0	271.0	Mouse_Wholebrain	Fractionated	4	Standard	Mouse_Wholebrain_Standard
