Gene names	Accession IDs	Copy number	Rank	Cell type	Experiment type	Fraction	Condition	label
LRRK2	Q5S006	0.183957	9977.0	Neurons	Fractionated	1	div10	Neurons_div10
MAPK8IP3	K3W4S4;Q9ESN9-6;Q9ESN9;J3QNR6;Q9ESN9-4	14721.7	3242.0	Neurons	Fractionated	1	div10	Neurons_div10
PPM1H	Q3UYC0;Q3UYC0-2	32000.0	2371.0	Neurons	Fractionated	1	div10	Neurons_div10
RAB10	P61027	1420020.0	192.0	Neurons	Fractionated	1	div10	Neurons_div10
RAB12	A2CG35	99288.9	1336.0	Neurons	Fractionated	1	div10	Neurons_div10
RAB12	P35283	4557.35	4829.0	Neurons	Fractionated	1	div10	Neurons_div10
RAB1B	Q9D1G1	792163.0	333.0	Neurons	Fractionated	1	div10	Neurons_div10
RAB29	E9QLQ7;Q91YQ1	1095.26	6902.0	Neurons	Fractionated	1	div10	Neurons_div10
RAB35	Q6PHN9	434240.0	528.0	Neurons	Fractionated	1	div10	Neurons_div10
RAB3A	P63011	647936.0	389.0	Neurons	Fractionated	1	div10	Neurons_div10
RAB3B	Q9CZT8;A2A7Z6	41514.4	2094.0	Neurons	Fractionated	1	div10	Neurons_div10
RAB3D	P35276;D3YWL1;D3YW33	199268.0	906.0	Neurons	Fractionated	1	div10	Neurons_div10
RAB43	Q8CG50;D3Z444	388.268	8064.0	Neurons	Fractionated	1	div10	Neurons_div10
RAB7A	P51150	1129810.0	243.0	Neurons	Fractionated	1	div10	Neurons_div10
RAB8A	P55258	193763.0	928.0	Neurons	Fractionated	1	div10	Neurons_div10
RAB8B	P61028	61149.2	1716.0	Neurons	Fractionated	1	div10	Neurons_div10
RILPL1	Q9JJC6	1729.1	6279.0	Neurons	Fractionated	1	div10	Neurons_div10
RILPL2	Q99LE1	7952.71	4057.0	Neurons	Fractionated	1	div10	Neurons_div10
SPAG9	Q58A65-2;Q58A65-5;Q58A65-6;Q58A65-3;F8WH31;E9PUD1;Q58A65-4;Z4YMB8	7271.7	4185.0	Neurons	Fractionated	1	div10	Neurons_div10
SPAG9	Q58A65;F6SH61	26.0302	9680.0	Neurons	Fractionated	1	div10	Neurons_div10
VPS35	Q9EQH3	190371.0	943.0	Neurons	Fractionated	1	div10	Neurons_div10
SPTAN1	A3KGU7	80413.5	1487.0	Neurons	Fractionated	1	div10	Neurons_div10
TUBB4B	P68372	19948200.0	7.0	Neurons	Fractionated	1	div10	Neurons_div10
TUBA1B	P05213	16153500.0	11.0	Neurons	Fractionated	1	div10	Neurons_div10
ACTB	P60710;E9Q1F2	17681300.0	9.0	Neurons	Fractionated	1	div10	Neurons_div10
CKB	Q04447	3515330.0	58.0	Neurons	Fractionated	1	div10	Neurons_div10
CLTC	Q68FD5;Q5SXR6	221185.0	859.0	Neurons	Fractionated	1	div10	Neurons_div10
PKM	P52480-2	1878900.0	133.0	Neurons	Fractionated	1	div10	Neurons_div10
SPTBN1	Q62261	61971.2	1704.0	Neurons	Fractionated	1	div10	Neurons_div10
ATP5A1	Q03265;D3Z6F5	2162250.0	106.0	Neurons	Fractionated	1	div10	Neurons_div10
HSPA8	P63017;Q504P4	2184370.0	105.0	Neurons	Fractionated	1	div10	Neurons_div10
ENO1	P17182;Q6PHC1	2202480.0	102.0	Neurons	Fractionated	1	div10	Neurons_div10
ATP5B	P56480	3059770.0	70.0	Neurons	Fractionated	1	div10	Neurons_div10
GAPDH	P16858;S4R257	5883160.0	27.0	Neurons	Fractionated	1	div10	Neurons_div10
ACO2	Q99KI0	645567.0	392.0	Neurons	Fractionated	1	div10	Neurons_div10
