Gene names	Accession IDs	Copy number	Rank	Cell type	Experiment type	Fraction	Condition	label
LRRK2	Q5S006	2318.59956386868	7769.0	Olfactory Bulb	Single shot	1	Standard	Olfactory Bulb_Standard
MAPK8IP3	K3W4S4;Q9ESN9-6;Q9ESN9;J3QNR6;Q9ESN9-4	203064.511748105	2160.0	Olfactory Bulb	Single shot	1	Standard	Olfactory Bulb_Standard
PPM1H	Q3UYC0;Q3UYC0-2	310812.350060249	1751.0	Olfactory Bulb	Single shot	1	Standard	Olfactory Bulb_Standard
PPM1J	Q149T7	70044.1893442722	3587.0	Olfactory Bulb	Single shot	1	Standard	Olfactory Bulb_Standard
RAB10	P61027	3839624.25399085	215.0	Olfactory Bulb	Single shot	1	Standard	Olfactory Bulb_Standard
RAB12	A2CG35	315029.038852992	1733.0	Olfactory Bulb	Single shot	1	Standard	Olfactory Bulb_Standard
RAB1B	Q9D1G1	2075801.59852731	431.0	Olfactory Bulb	Single shot	1	Standard	Olfactory Bulb_Standard
RAB29	E9QLQ7;Q91YQ1	21711.809208172	5320.0	Olfactory Bulb	Single shot	1	Standard	Olfactory Bulb_Standard
RAB35	Q6PHN9	583876.758414514	1173.0	Olfactory Bulb	Single shot	1	Standard	Olfactory Bulb_Standard
RAB3A	P63011	5356490.30599488	163.0	Olfactory Bulb	Single shot	1	Standard	Olfactory Bulb_Standard
RAB3B	Q9CZT8;A2A7Z6	924392.929315385	871.0	Olfactory Bulb	Single shot	1	Standard	Olfactory Bulb_Standard
RAB3D	P35276;D3YWL1;D3YW33	588718.488290801	1167.0	Olfactory Bulb	Single shot	1	Standard	Olfactory Bulb_Standard
RAB7A	P51150	2545543.58574842	337.0	Olfactory Bulb	Single shot	1	Standard	Olfactory Bulb_Standard
RAB8A	P55258	404914.955191138	1485.0	Olfactory Bulb	Single shot	1	Standard	Olfactory Bulb_Standard
RAB8B	P61028	247912.587190366	1954.0	Olfactory Bulb	Single shot	1	Standard	Olfactory Bulb_Standard
RILPL1	Q9JJC6	39299.3972009769	4393.0	Olfactory Bulb	Single shot	1	Standard	Olfactory Bulb_Standard
RILPL2	Q99LE1;Q99LE1-2	110210.323816406	2944.0	Olfactory Bulb	Single shot	1	Standard	Olfactory Bulb_Standard
SPAG9	Q58A65-2;Q58A65-5;Q58A65-6;Q58A65-3;F8WH31;E9PUD1;Q58A65-4;Z4YMB8	192281.868105244	2219.0	Olfactory Bulb	Single shot	1	Standard	Olfactory Bulb_Standard
VPS35	Q9EQH3	2090140.08408718	426.0	Olfactory Bulb	Single shot	1	Standard	Olfactory Bulb_Standard
ACTB	P60710	68714629.7749047	3.0	Olfactory Bulb	Single shot	1	Standard	Olfactory Bulb_Standard
TUBB2A	Q7TMM9	58326256.8360196	5.0	Olfactory Bulb	Single shot	1	Standard	Olfactory Bulb_Standard
TUBA1B	P05213	55907802.2292382	6.0	Olfactory Bulb	Single shot	1	Standard	Olfactory Bulb_Standard
GAPDH	P16858;S4R257	37150605.6052309	10.0	Olfactory Bulb	Single shot	1	Standard	Olfactory Bulb_Standard
HSPA8	P63017;Q504P4	19377425.3674465	26.0	Olfactory Bulb	Single shot	1	Standard	Olfactory Bulb_Standard
SPTAN1	A3KGU7	6070147.89511582	135.0	Olfactory Bulb	Single shot	1	Standard	Olfactory Bulb_Standard
ATP5B	P56480	26424829.8729481	16.0	Olfactory Bulb	Single shot	1	Standard	Olfactory Bulb_Standard
CKB	Q04447	36507676.7975137	11.0	Olfactory Bulb	Single shot	1	Standard	Olfactory Bulb_Standard
ATP5A1	Q03265;D3Z6F5	21068424.2633455	22.0	Olfactory Bulb	Single shot	1	Standard	Olfactory Bulb_Standard
PKM	P52480	23248065.8831903	21.0	Olfactory Bulb	Single shot	1	Standard	Olfactory Bulb_Standard
ENO1	P17182;Q6PHC1	28524992.1655436	13.0	Olfactory Bulb	Single shot	1	Standard	Olfactory Bulb_Standard
VIM	P20152	16918723.8817984	32.0	Olfactory Bulb	Single shot	1	Standard	Olfactory Bulb_Standard
DPYSL2	O08553	20097716.1298698	24.0	Olfactory Bulb	Single shot	1	Standard	Olfactory Bulb_Standard
HIST1H4A	P62806	55294975.292544	7.0	Olfactory Bulb	Single shot	1	Standard	Olfactory Bulb_Standard
HSP90AB1	P11499	10477951.5865315	66.0	Olfactory Bulb	Single shot	1	Standard	Olfactory Bulb_Standard
CLTC	Q68FD5;Q5SXR6	8289495.59451329	90.0	Olfactory Bulb	Single shot	1	Standard	Olfactory Bulb_Standard
ALDOA	A6ZI44	18388494.216727	27.0	Olfactory Bulb	Single shot	1	Standard	Olfactory Bulb_Standard
YWHAE	P62259;D6REF3	29669226.4705567	12.0	Olfactory Bulb	Single shot	1	Standard	Olfactory Bulb_Standard
EEF1A1	P10126;D3YZ68	11632966.0989129	53.0	Olfactory Bulb	Single shot	1	Standard	Olfactory Bulb_Standard
HIST1H2BC;HIST1H2BH	Q6ZWY9;Q64478	42164214.6513177	8.0	Olfactory Bulb	Single shot	1	Standard	Olfactory Bulb_Standard
TUBB4B	P68372	16650388.5020816	33.0	Olfactory Bulb	Single shot	1	Standard	Olfactory Bulb_Standard
DYNC1H1	Q9JHU4	1841762.23741708	487.0	Olfactory Bulb	Single shot	1	Standard	Olfactory Bulb_Standard
MDH2	P08249	25307884.1516527	18.0	Olfactory Bulb	Single shot	1	Standard	Olfactory Bulb_Standard
ACO2	Q99KI0	11549774.2963818	54.0	Olfactory Bulb	Single shot	1	Standard	Olfactory Bulb_Standard
HIST1H2AF;HIST1H2AB;HIST1H2AK;HIST1H2AH	Q8CGP5;P22752;Q8CGP7;Q8CGP6	59604086.2720572	4.0	Olfactory Bulb	Single shot	1	Standard	Olfactory Bulb_Standard
PPIA	P17742	39284963.8750816	9.0	Olfactory Bulb	Single shot	1	Standard	Olfactory Bulb_Standard
SPTBN1	Q62261	4381950.03836507	185.0	Olfactory Bulb	Single shot	1	Standard	Olfactory Bulb_Standard
PGK1	P09411;S4R2M7	14080210.4305316	38.0	Olfactory Bulb	Single shot	1	Standard	Olfactory Bulb_Standard
MBP	P04370-4;F6RT34	17664987.3923985	28.0	Olfactory Bulb	Single shot	1	Standard	Olfactory Bulb_Standard
ATP1A2	Q6PIE5;D3YYN7;D3YVX6	8795613.18275518	83.0	Olfactory Bulb	Single shot	1	Standard	Olfactory Bulb_Standard
CRMP1	Q6P1J1	10118721.254337	70.0	Olfactory Bulb	Single shot	1	Standard	Olfactory Bulb_Standard
YWHAZ	P63101	28331793.6619052	14.0	Olfactory Bulb	Single shot	1	Standard	Olfactory Bulb_Standard
CFL1	P18760;F8WGL3	27091598.5591948	15.0	Olfactory Bulb	Single shot	1	Standard	Olfactory Bulb_Standard
VCP	Q01853	5461261.18230666	156.0	Olfactory Bulb	Single shot	1	Standard	Olfactory Bulb_Standard
HSPD1	P63038	6969454.06165101	116.0	Olfactory Bulb	Single shot	1	Standard	Olfactory Bulb_Standard
HSPA5	P20029	3298718.30112363	243.0	Olfactory Bulb	Single shot	1	Standard	Olfactory Bulb_Standard
MYH9	Q8VDD5	2000055.87405945	451.0	Olfactory Bulb	Single shot	1	Standard	Olfactory Bulb_Standard
MAP1B	P14873	3096545.38254256	267.0	Olfactory Bulb	Single shot	1	Standard	Olfactory Bulb_Standard
EEF2	P58252	3369497.55761101	240.0	Olfactory Bulb	Single shot	1	Standard	Olfactory Bulb_Standard
HBBT1;HBB-BS	A8DUK4;E9Q223	94912413.3976879	1.0	Olfactory Bulb	Single shot	1	Standard	Olfactory Bulb_Standard
VDAC1	Q60932-2;Q60932;F2Z471	17625448.0603437	29.0	Olfactory Bulb	Single shot	1	Standard	Olfactory Bulb_Standard
HIST1H3B	P84228	25700631.9614174	17.0	Olfactory Bulb	Single shot	1	Standard	Olfactory Bulb_Standard
SLC25A5	P51881	24109518.3894476	19.0	Olfactory Bulb	Single shot	1	Standard	Olfactory Bulb_Standard
NEFM	P08553	1692676.43977276	520.0	Olfactory Bulb	Single shot	1	Standard	Olfactory Bulb_Standard
UBA1	Q02053	4140564.03364426	198.0	Olfactory Bulb	Single shot	1	Standard	Olfactory Bulb_Standard
DNM1	P39053-4;P39053	6042393.42428546	137.0	Olfactory Bulb	Single shot	1	Standard	Olfactory Bulb_Standard
GOT2	P05202	11239411.7310421	57.0	Olfactory Bulb	Single shot	1	Standard	Olfactory Bulb_Standard
DPYSL3	E9PWE8;Q3TT92	7076976.84618874	113.0	Olfactory Bulb	Single shot	1	Standard	Olfactory Bulb_Standard
TPI1	P17751;H7BXC3	16353628.0020667	34.0	Olfactory Bulb	Single shot	1	Standard	Olfactory Bulb_Standard
STXBP1	O08599-2	11029443.7514852	59.0	Olfactory Bulb	Single shot	1	Standard	Olfactory Bulb_Standard
PGAM1	Q9DBJ1	17143153.0656404	31.0	Olfactory Bulb	Single shot	1	Standard	Olfactory Bulb_Standard
HNRNPA2B1	O88569;O88569-2	9179666.68309449	79.0	Olfactory Bulb	Single shot	1	Standard	Olfactory Bulb_Standard
ATP6V1A	P50516;P50516-2	7913482.92024193	97.0	Olfactory Bulb	Single shot	1	Standard	Olfactory Bulb_Standard
SYN1	O88935;O88935-3	7027008.20246105	115.0	Olfactory Bulb	Single shot	1	Standard	Olfactory Bulb_Standard
HBA-A2;HBA	Q91VB8;P01942	81418156.4942211	2.0	Olfactory Bulb	Single shot	1	Standard	Olfactory Bulb_Standard
GFAP	P03995	5418119.11763659	159.0	Olfactory Bulb	Single shot	1	Standard	Olfactory Bulb_Standard
HSP90AA1	P07901	6073584.99380824	134.0	Olfactory Bulb	Single shot	1	Standard	Olfactory Bulb_Standard
TUBB3	Q9ERD7	13107697.5441003	45.0	Olfactory Bulb	Single shot	1	Standard	Olfactory Bulb_Standard
PRDX1	P35700	11996060.9326124	50.0	Olfactory Bulb	Single shot	1	Standard	Olfactory Bulb_Standard
ATP1A3	Q6PIC6;Q8VCE0	6371857.62753494	125.0	Olfactory Bulb	Single shot	1	Standard	Olfactory Bulb_Standard
ACTC1	P68033	5668204.00212644	151.0	Olfactory Bulb	Single shot	1	Standard	Olfactory Bulb_Standard
CNP	P16330;P16330-2	6572640.65685443	121.0	Olfactory Bulb	Single shot	1	Standard	Olfactory Bulb_Standard
HNRNPK;GM7964	P61979-2;P61979;H3BLL4;D3YWG1;H3BK96	7793032.87243338	98.0	Olfactory Bulb	Single shot	1	Standard	Olfactory Bulb_Standard
KXD1;UBA52	E9QNP0;E9Q4P0;P62984;E9Q9J0	13394275.8301862	43.0	Olfactory Bulb	Single shot	1	Standard	Olfactory Bulb_Standard
FLNA	B7FAU9;Q8BTM8	461533.261149984	1372.0	Olfactory Bulb	Single shot	1	Standard	Olfactory Bulb_Standard
TKT	P40142	4494763.42106785	181.0	Olfactory Bulb	Single shot	1	Standard	Olfactory Bulb_Standard
GPI	P06745	10209704.1586071	69.0	Olfactory Bulb	Single shot	1	Standard	Olfactory Bulb_Standard
PDIA3	P27773	4328341.89833902	189.0	Olfactory Bulb	Single shot	1	Standard	Olfactory Bulb_Standard
GLUD1	P26443	6518164.47789919	123.0	Olfactory Bulb	Single shot	1	Standard	Olfactory Bulb_Standard
ALDOC	P05063	8080371.2471141	94.0	Olfactory Bulb	Single shot	1	Standard	Olfactory Bulb_Standard
NCAM1	P13595;P13595-3	9342614.43008654	76.0	Olfactory Bulb	Single shot	1	Standard	Olfactory Bulb_Standard
MAP2	P20357	2557411.20896318	332.0	Olfactory Bulb	Single shot	1	Standard	Olfactory Bulb_Standard
GDI2	Q61598;Q61598-2	8505434.8888205	85.0	Olfactory Bulb	Single shot	1	Standard	Olfactory Bulb_Standard
HSP90B1	P08113	1686032.48997103	523.0	Olfactory Bulb	Single shot	1	Standard	Olfactory Bulb_Standard
NSF	P46460	5800954.52282759	146.0	Olfactory Bulb	Single shot	1	Standard	Olfactory Bulb_Standard
CALM1	P62204	6243563.48589852	130.0	Olfactory Bulb	Single shot	1	Standard	Olfactory Bulb_Standard
FASN	P19096	1320597.0296913	650.0	Olfactory Bulb	Single shot	1	Standard	Olfactory Bulb_Standard
MDH1	P14152	13870071.3571284	41.0	Olfactory Bulb	Single shot	1	Standard	Olfactory Bulb_Standard
UCHL1	Q9R0P9	10682664.4238053	64.0	Olfactory Bulb	Single shot	1	Standard	Olfactory Bulb_Standard
MYH10	Q5SV64	926097.833008578	869.0	Olfactory Bulb	Single shot	1	Standard	Olfactory Bulb_Standard
HSPA9	P38647	2950183.19678117	280.0	Olfactory Bulb	Single shot	1	Standard	Olfactory Bulb_Standard
