Gene names	Accession IDs	Copy number	Rank	Cell type	Experiment type	Fraction	Condition	label
LRRK1	Q3UHC2;Q3UHC2-3	14.0969	9014.0	Oligodendrocytes	Fractionated	1	div1_	Oligodendrocytes_div1_
LRRK2	Q5S006	8.7533	9035.0	Oligodendrocytes	Fractionated	1	div1_	Oligodendrocytes_div1_
MAPK8IP3	K3W4S4;Q9ESN9-6;Q9ESN9;J3QNR6;Q9ESN9-4	22984.7	2944.0	Oligodendrocytes	Fractionated	1	div1_	Oligodendrocytes_div1_
PPM1H	Q3UYC0;Q3UYC0-2	5289.9	4860.0	Oligodendrocytes	Fractionated	1	div1_	Oligodendrocytes_div1_
RAB10	P61027	826159.0	354.0	Oligodendrocytes	Fractionated	1	div1_	Oligodendrocytes_div1_
RAB12	A2CG35	31966.5	2564.0	Oligodendrocytes	Fractionated	1	div1_	Oligodendrocytes_div1_
RAB1B	Q9D1G1	725745.0	377.0	Oligodendrocytes	Fractionated	1	div1_	Oligodendrocytes_div1_
RAB29	E9QLQ7;Q91YQ1	1839.71	6265.0	Oligodendrocytes	Fractionated	1	div1_	Oligodendrocytes_div1_
RAB35	Q6PHN9	180610.0	1022.0	Oligodendrocytes	Fractionated	1	div1_	Oligodendrocytes_div1_
RAB3A	P63011	245607.0	828.0	Oligodendrocytes	Fractionated	1	div1_	Oligodendrocytes_div1_
RAB3B	Q9CZT8;A2A7Z6	6390.95	4596.0	Oligodendrocytes	Fractionated	1	div1_	Oligodendrocytes_div1_
RAB3D	P35276;D3YWL1;D3YW33	57920.5	1937.0	Oligodendrocytes	Fractionated	1	div1_	Oligodendrocytes_div1_
RAB43	Q8CG50;D3Z444	384008.0	616.0	Oligodendrocytes	Fractionated	1	div1_	Oligodendrocytes_div1_
RAB7A	P51150	1472370.0	214.0	Oligodendrocytes	Fractionated	1	div1_	Oligodendrocytes_div1_
RAB8A	P55258	224806.0	883.0	Oligodendrocytes	Fractionated	1	div1_	Oligodendrocytes_div1_
RAB8B	P61028	128136.0	1258.0	Oligodendrocytes	Fractionated	1	div1_	Oligodendrocytes_div1_
RILPL1	Q9JJC6	13077.8	3639.0	Oligodendrocytes	Fractionated	1	div1_	Oligodendrocytes_div1_
RILPL2	Q99LE1	14756.5	3474.0	Oligodendrocytes	Fractionated	1	div1_	Oligodendrocytes_div1_
SPAG9	Q58A65-2;Q58A65-5;Q58A65-6;Q58A65-3;F8WH31;E9PUD1;Q58A65-4;Z4YMB8	17611.2	3258.0	Oligodendrocytes	Fractionated	1	div1_	Oligodendrocytes_div1_
SPAG9	Q58A65;F6SH61	78.8094	8745.0	Oligodendrocytes	Fractionated	1	div1_	Oligodendrocytes_div1_
VPS35	Q9EQH3	130534.0	1241.0	Oligodendrocytes	Fractionated	1	div1_	Oligodendrocytes_div1_
SPTAN1	A3KGU7	49103.4	2089.0	Oligodendrocytes	Fractionated	1	div1_	Oligodendrocytes_div1_
TUBB4B	P68372	7052900.0	34.0	Oligodendrocytes	Fractionated	1	div1_	Oligodendrocytes_div1_
TUBA1B	P05213	7426550.0	31.0	Oligodendrocytes	Fractionated	1	div1_	Oligodendrocytes_div1_
ACTB	P60710;E9Q1F2	23282700.0	6.0	Oligodendrocytes	Fractionated	1	div1_	Oligodendrocytes_div1_
CKB	Q04447	6064520.0	40.0	Oligodendrocytes	Fractionated	1	div1_	Oligodendrocytes_div1_
CLTC	Q68FD5;Q5SXR6	149850.0	1141.0	Oligodendrocytes	Fractionated	1	div1_	Oligodendrocytes_div1_
PKM	P52480-2	2137080.0	149.0	Oligodendrocytes	Fractionated	1	div1_	Oligodendrocytes_div1_
SPTBN1	Q62261	44933.3	2199.0	Oligodendrocytes	Fractionated	1	div1_	Oligodendrocytes_div1_
ATP5A1	Q03265;D3Z6F5	1970740.0	160.0	Oligodendrocytes	Fractionated	1	div1_	Oligodendrocytes_div1_
HSPA8	P63017;Q504P4	3259920.0	87.0	Oligodendrocytes	Fractionated	1	div1_	Oligodendrocytes_div1_
ENO1	P17182;Q6PHC1	6623700.0	38.0	Oligodendrocytes	Fractionated	1	div1_	Oligodendrocytes_div1_
ATP5B	P56480	2487010.0	125.0	Oligodendrocytes	Fractionated	1	div1_	Oligodendrocytes_div1_
GAPDH	P16858;S4R257	7429070.0	30.0	Oligodendrocytes	Fractionated	1	div1_	Oligodendrocytes_div1_
ACO2	Q99KI0	527555.0	486.0	Oligodendrocytes	Fractionated	1	div1_	Oligodendrocytes_div1_
ATP1A2	Q6PIE5;D3YYN7;D3YVX6	120654.0	1293.0	Oligodendrocytes	Fractionated	1	div1_	Oligodendrocytes_div1_
ALDOA	A6ZI44	2876710.0	99.0	Oligodendrocytes	Fractionated	1	div1_	Oligodendrocytes_div1_
YWHAE	P62259;D6REF3	10846700.0	17.0	Oligodendrocytes	Fractionated	1	div1_	Oligodendrocytes_div1_
DPYSL2	O08553	1490630.0	211.0	Oligodendrocytes	Fractionated	1	div1_	Oligodendrocytes_div1_
DYNC1H1	Q9JHU4	24790.9	2854.0	Oligodendrocytes	Fractionated	1	div1_	Oligodendrocytes_div1_
TUBB2B	Q9CWF2	4092380.0	63.0	Oligodendrocytes	Fractionated	1	div1_	Oligodendrocytes_div1_
MDH2	P08249	3239870.0	88.0	Oligodendrocytes	Fractionated	1	div1_	Oligodendrocytes_div1_
HSP90AB1	P11499	2925460.0	97.0	Oligodendrocytes	Fractionated	1	div1_	Oligodendrocytes_div1_
MAP1B	P14873	68908.2	1761.0	Oligodendrocytes	Fractionated	1	div1_	Oligodendrocytes_div1_
DNM1	P39053-4;P39053	34205.9	2480.0	Oligodendrocytes	Fractionated	1	div1_	Oligodendrocytes_div1_
STXBP1	O08599-2	61927.1	1869.0	Oligodendrocytes	Fractionated	1	div1_	Oligodendrocytes_div1_
CNP	P16330;P16330-2	1054830.0	289.0	Oligodendrocytes	Fractionated	1	div1_	Oligodendrocytes_div1_
VDAC1	Q60932-2;Q60932;F2Z471	2376510.0	131.0	Oligodendrocytes	Fractionated	1	div1_	Oligodendrocytes_div1_
SYN1	O88935;O88935-3	14456.1	3500.0	Oligodendrocytes	Fractionated	1	div1_	Oligodendrocytes_div1_
MAP2	P20357	47392.4	2137.0	Oligodendrocytes	Fractionated	1	div1_	Oligodendrocytes_div1_
NEFM	P08553	147442.0	1149.0	Oligodendrocytes	Fractionated	1	div1_	Oligodendrocytes_div1_
ATP1A3	Q6PIC6	10317.4	3945.0	Oligodendrocytes	Fractionated	1	div1_	Oligodendrocytes_div1_
MAP1A	A2ARP8;Q9QYR6-2	14694.5	3481.0	Oligodendrocytes	Fractionated	1	div1_	Oligodendrocytes_div1_
MBP	P04370-4;F6RT34	1595410.0	197.0	Oligodendrocytes	Fractionated	1	div1_	Oligodendrocytes_div1_
NSF	P46460	67794.8	1785.0	Oligodendrocytes	Fractionated	1	div1_	Oligodendrocytes_div1_
PLP1	P60202;P60202-2	284906.0	755.0	Oligodendrocytes	Fractionated	1	div1_	Oligodendrocytes_div1_
PPIA;GM5160	P17742;F8VPN3	22984500.0	7.0	Oligodendrocytes	Fractionated	1	div1_	Oligodendrocytes_div1_
CRMP1	Q6P1J1	284866.0	757.0	Oligodendrocytes	Fractionated	1	div1_	Oligodendrocytes_div1_
GPI	P06745	733933.0	375.0	Oligodendrocytes	Fractionated	1	div1_	Oligodendrocytes_div1_
PGK1	P09411;S4R2M7	2671510.0	116.0	Oligodendrocytes	Fractionated	1	div1_	Oligodendrocytes_div1_
HK1	P17710-3;P17710;G3UVV4;P17710-4	72541.3	1716.0	Oligodendrocytes	Fractionated	1	div1_	Oligodendrocytes_div1_
NEFL	P08551	3551.22	5405.0	Oligodendrocytes	Fractionated	1	div1_	Oligodendrocytes_div1_
PGAM1	Q9DBJ1	4302730.0	62.0	Oligodendrocytes	Fractionated	1	div1_	Oligodendrocytes_div1_
EEF1A1	P10126;D3YZ68	5839570.0	44.0	Oligodendrocytes	Fractionated	1	div1_	Oligodendrocytes_div1_
ALDOC	P05063	888577.0	334.0	Oligodendrocytes	Fractionated	1	div1_	Oligodendrocytes_div1_
ATP6V1A	P50516;P50516-2	360677.0	650.0	Oligodendrocytes	Fractionated	1	div1_	Oligodendrocytes_div1_
GNAO1	P18872	544927.0	469.0	Oligodendrocytes	Fractionated	1	div1_	Oligodendrocytes_div1_
GOT2	P05202	567032.0	456.0	Oligodendrocytes	Fractionated	1	div1_	Oligodendrocytes_div1_
HSP90AA1	P07901	622583.0	425.0	Oligodendrocytes	Fractionated	1	div1_	Oligodendrocytes_div1_
