Gene names	Accession IDs	Copy number	Rank	Cell type	Experiment type	Fraction	Condition	label
LRRK1	Q3UHC2;Q3UHC2-3	7.99584	8994.0	Oligodendrocytes	Fractionated	1	div4	Oligodendrocytes_div4
LRRK2	Q5S006	20.4149	8931.0	Oligodendrocytes	Fractionated	1	div4	Oligodendrocytes_div4
MAPK8IP3	K3W4S4;Q9ESN9-6;Q9ESN9;J3QNR6;Q9ESN9-4	21464.3	3082.0	Oligodendrocytes	Fractionated	1	div4	Oligodendrocytes_div4
PPM1H	Q3UYC0;Q3UYC0-2	6976.77	4507.0	Oligodendrocytes	Fractionated	1	div4	Oligodendrocytes_div4
RAB10	P61027	1085790.0	319.0	Oligodendrocytes	Fractionated	1	div4	Oligodendrocytes_div4
RAB12	A2CG35	36264.8	2488.0	Oligodendrocytes	Fractionated	1	div4	Oligodendrocytes_div4
RAB1B	Q9D1G1	470791.0	570.0	Oligodendrocytes	Fractionated	1	div4	Oligodendrocytes_div4
RAB29	E9QLQ7;Q91YQ1	13266.3	3642.0	Oligodendrocytes	Fractionated	1	div4	Oligodendrocytes_div4
RAB35	Q6PHN9	192662.0	1049.0	Oligodendrocytes	Fractionated	1	div4	Oligodendrocytes_div4
RAB3A	P63011	359685.0	695.0	Oligodendrocytes	Fractionated	1	div4	Oligodendrocytes_div4
RAB3B	Q9CZT8;A2A7Z6	29746.2	2702.0	Oligodendrocytes	Fractionated	1	div4	Oligodendrocytes_div4
RAB3D	P35276;D3YWL1;D3YW33	122615.0	1359.0	Oligodendrocytes	Fractionated	1	div4	Oligodendrocytes_div4
RAB43	Q8CG50;D3Z444	653797.0	447.0	Oligodendrocytes	Fractionated	1	div4	Oligodendrocytes_div4
RAB7A	P51150	2232780.0	169.0	Oligodendrocytes	Fractionated	1	div4	Oligodendrocytes_div4
RAB8A	P55258	285296.0	812.0	Oligodendrocytes	Fractionated	1	div4	Oligodendrocytes_div4
RAB8B	P61028	119432.0	1382.0	Oligodendrocytes	Fractionated	1	div4	Oligodendrocytes_div4
RILPL1	Q9JJC6	13668.4	3614.0	Oligodendrocytes	Fractionated	1	div4	Oligodendrocytes_div4
RILPL2	Q99LE1	4703.64	5029.0	Oligodendrocytes	Fractionated	1	div4	Oligodendrocytes_div4
SPAG9	Q58A65-2;Q58A65-5;Q58A65-6;Q58A65-3;F8WH31;E9PUD1;Q58A65-4;Z4YMB8	21595.7	3073.0	Oligodendrocytes	Fractionated	1	div4	Oligodendrocytes_div4
SPAG9	Q58A65;F6SH61	73.0804	8674.0	Oligodendrocytes	Fractionated	1	div4	Oligodendrocytes_div4
VPS35	Q9EQH3	130573.0	1313.0	Oligodendrocytes	Fractionated	1	div4	Oligodendrocytes_div4
SPTAN1	A3KGU7	58165.8	2037.0	Oligodendrocytes	Fractionated	1	div4	Oligodendrocytes_div4
TUBB4B	P68372	8244530.0	33.0	Oligodendrocytes	Fractionated	1	div4	Oligodendrocytes_div4
TUBA1B	P05213	7363870.0	39.0	Oligodendrocytes	Fractionated	1	div4	Oligodendrocytes_div4
ACTB	P60710;E9Q1F2	24922700.0	7.0	Oligodendrocytes	Fractionated	1	div4	Oligodendrocytes_div4
CKB	Q04447	8748530.0	27.0	Oligodendrocytes	Fractionated	1	div4	Oligodendrocytes_div4
CLTC	Q68FD5;Q5SXR6	198503.0	1023.0	Oligodendrocytes	Fractionated	1	div4	Oligodendrocytes_div4
PKM	P52480-2	2325280.0	161.0	Oligodendrocytes	Fractionated	1	div4	Oligodendrocytes_div4
SPTBN1	Q62261	41518.1	2365.0	Oligodendrocytes	Fractionated	1	div4	Oligodendrocytes_div4
ATP5A1	Q03265;D3Z6F5	2955000.0	121.0	Oligodendrocytes	Fractionated	1	div4	Oligodendrocytes_div4
HSPA8	P63017;Q504P4	4440170.0	68.0	Oligodendrocytes	Fractionated	1	div4	Oligodendrocytes_div4
ENO1	P17182;Q6PHC1	6211760.0	45.0	Oligodendrocytes	Fractionated	1	div4	Oligodendrocytes_div4
ATP5B	P56480	2817910.0	131.0	Oligodendrocytes	Fractionated	1	div4	Oligodendrocytes_div4
GAPDH	P16858;S4R257	8299150.0	32.0	Oligodendrocytes	Fractionated	1	div4	Oligodendrocytes_div4
ACO2	Q99KI0	631572.0	464.0	Oligodendrocytes	Fractionated	1	div4	Oligodendrocytes_div4
ATP1A2	Q6PIE5;D3YYN7;D3YVX6	225885.0	944.0	Oligodendrocytes	Fractionated	1	div4	Oligodendrocytes_div4
ALDOA	A6ZI44	2576570.0	148.0	Oligodendrocytes	Fractionated	1	div4	Oligodendrocytes_div4
YWHAE	P62259;D6REF3	9138250.0	24.0	Oligodendrocytes	Fractionated	1	div4	Oligodendrocytes_div4
DPYSL2	O08553	2119380.0	179.0	Oligodendrocytes	Fractionated	1	div4	Oligodendrocytes_div4
DYNC1H1	Q9JHU4	34747.6	2524.0	Oligodendrocytes	Fractionated	1	div4	Oligodendrocytes_div4
