Gene names	Accession IDs	Copy number	Rank	Cell type	Experiment type	Fraction	Condition	label
LRRK1	Q3UHC2;Q3UHC2-3	22.9652	9059.0	Oligodendrocytes	Fractionated	3	div2.5	Oligodendrocytes_div2.5
LRRK2	Q5S006	13.7386	9106.0	Oligodendrocytes	Fractionated	3	div2.5	Oligodendrocytes_div2.5
MAPK8IP3	K3W4S4;Q9ESN9-6;Q9ESN9;J3QNR6;Q9ESN9-4	20014.9	3128.0	Oligodendrocytes	Fractionated	3	div2.5	Oligodendrocytes_div2.5
PPM1H	Q3UYC0;Q3UYC0-2	9312.02	4162.0	Oligodendrocytes	Fractionated	3	div2.5	Oligodendrocytes_div2.5
RAB10	P61027	1762810.0	184.0	Oligodendrocytes	Fractionated	3	div2.5	Oligodendrocytes_div2.5
RAB12	A2CG35	41830.6	2324.0	Oligodendrocytes	Fractionated	3	div2.5	Oligodendrocytes_div2.5
RAB1B	Q9D1G1	1016100.0	285.0	Oligodendrocytes	Fractionated	3	div2.5	Oligodendrocytes_div2.5
RAB29	E9QLQ7;Q91YQ1	4133.56	5349.0	Oligodendrocytes	Fractionated	3	div2.5	Oligodendrocytes_div2.5
RAB35	Q6PHN9	113560.0	1372.0	Oligodendrocytes	Fractionated	3	div2.5	Oligodendrocytes_div2.5
RAB3A	P63011	389587.0	599.0	Oligodendrocytes	Fractionated	3	div2.5	Oligodendrocytes_div2.5
RAB3B	Q9CZT8;A2A7Z6	28025.5	2741.0	Oligodendrocytes	Fractionated	3	div2.5	Oligodendrocytes_div2.5
RAB3D	P35276;D3YWL1;D3YW33	89804.1	1573.0	Oligodendrocytes	Fractionated	3	div2.5	Oligodendrocytes_div2.5
RAB43	Q8CG50;D3Z444	938.127	7214.0	Oligodendrocytes	Fractionated	3	div2.5	Oligodendrocytes_div2.5
RAB7A	P51150	1227110.0	257.0	Oligodendrocytes	Fractionated	3	div2.5	Oligodendrocytes_div2.5
RAB8A	P55258	225734.0	890.0	Oligodendrocytes	Fractionated	3	div2.5	Oligodendrocytes_div2.5
RAB8B	P61028	61931.6	1891.0	Oligodendrocytes	Fractionated	3	div2.5	Oligodendrocytes_div2.5
RILPL1	Q9JJC6	17228.4	3329.0	Oligodendrocytes	Fractionated	3	div2.5	Oligodendrocytes_div2.5
RILPL2	Q99LE1	15216.2	3479.0	Oligodendrocytes	Fractionated	3	div2.5	Oligodendrocytes_div2.5
SPAG9	Q58A65-2;Q58A65-5;Q58A65-6;Q58A65-3;F8WH31;E9PUD1;Q58A65-4;Z4YMB8	20915.6	3080.0	Oligodendrocytes	Fractionated	3	div2.5	Oligodendrocytes_div2.5
SPAG9	Q58A65;F6SH61	19.0085	9079.0	Oligodendrocytes	Fractionated	3	div2.5	Oligodendrocytes_div2.5
VPS35	Q9EQH3	130204.0	1263.0	Oligodendrocytes	Fractionated	3	div2.5	Oligodendrocytes_div2.5
