Gene names	Accession IDs	Copy number	Rank	Cell type	Experiment type	Fraction	Condition	label
MAPK8IP3	K3W4S4;Q9ESN9-6;Q9ESN9;J3QNR6;Q9ESN9-4	300319.787490305	2237.0	Optic Nerve	Single shot	1	Standard	Optic Nerve_Standard
PPM1H	Q3UYC0;Q3UYC0-2	422138.334326871	1882.0	Optic Nerve	Single shot	1	Standard	Optic Nerve_Standard
RAB10	P61027	5102711.66474028	212.0	Optic Nerve	Single shot	1	Standard	Optic Nerve_Standard
RAB12	A2CG35	226410.505308166	2563.0	Optic Nerve	Single shot	1	Standard	Optic Nerve_Standard
RAB1B	Q9D1G1	3073994.64799698	396.0	Optic Nerve	Single shot	1	Standard	Optic Nerve_Standard
RAB29	E9QLQ7;Q91YQ1	85431.961495441	3867.0	Optic Nerve	Single shot	1	Standard	Optic Nerve_Standard
RAB35	Q6PHN9	840598.403827196	1229.0	Optic Nerve	Single shot	1	Standard	Optic Nerve_Standard
RAB3A	P63011	2065918.69160372	606.0	Optic Nerve	Single shot	1	Standard	Optic Nerve_Standard
RAB3B	Q9CZT8;A2A7Z6	296648.838256451	2251.0	Optic Nerve	Single shot	1	Standard	Optic Nerve_Standard
RAB3D	P35276;D3YWL1;D3YW33	410365.262112143	1918.0	Optic Nerve	Single shot	1	Standard	Optic Nerve_Standard
RAB43	Q8CG50;D3Z444	48076.7780532543	4749.0	Optic Nerve	Single shot	1	Standard	Optic Nerve_Standard
RAB7A	P51150	6156789.28970229	169.0	Optic Nerve	Single shot	1	Standard	Optic Nerve_Standard
RAB8A	P55258	2189004.87389319	568.0	Optic Nerve	Single shot	1	Standard	Optic Nerve_Standard
RAB8B	P61028	1476532.46746833	810.0	Optic Nerve	Single shot	1	Standard	Optic Nerve_Standard
RILPL1	Q9JJC6	125620.16070003	3313.0	Optic Nerve	Single shot	1	Standard	Optic Nerve_Standard
SPAG9	Q58A65-2;Q58A65-5;Q58A65-6;Q58A65-3;F8WH31;E9PUD1;Q58A65-4;Z4YMB8	380899.504867187	1990.0	Optic Nerve	Single shot	1	Standard	Optic Nerve_Standard
VPS35	Q9EQH3	1763214.8878613	698.0	Optic Nerve	Single shot	1	Standard	Optic Nerve_Standard
ACTB	P60710	95215262.5706186	5.0	Optic Nerve	Single shot	1	Standard	Optic Nerve_Standard
TUBB2A	Q7TMM9	40841251.3335406	15.0	Optic Nerve	Single shot	1	Standard	Optic Nerve_Standard
TUBA1B	P05213	43370658.2185889	13.0	Optic Nerve	Single shot	1	Standard	Optic Nerve_Standard
GAPDH	P16858;S4R257	34980171.1146188	21.0	Optic Nerve	Single shot	1	Standard	Optic Nerve_Standard
HSPA8	P63017;Q504P4	48687084.1120257	10.0	Optic Nerve	Single shot	1	Standard	Optic Nerve_Standard
SPTAN1	A3KGU7	8705960.51722416	113.0	Optic Nerve	Single shot	1	Standard	Optic Nerve_Standard
ATP5B	P56480	21238042.6282534	44.0	Optic Nerve	Single shot	1	Standard	Optic Nerve_Standard
CKB	Q04447	23569821.1067693	36.0	Optic Nerve	Single shot	1	Standard	Optic Nerve_Standard
ATP5A1	Q03265;D3Z6F5	23061154.4158737	38.0	Optic Nerve	Single shot	1	Standard	Optic Nerve_Standard
PKM	P52480	29335368.5173575	30.0	Optic Nerve	Single shot	1	Standard	Optic Nerve_Standard
ENO1	P17182;Q6PHC1	46623116.7459644	11.0	Optic Nerve	Single shot	1	Standard	Optic Nerve_Standard
VIM	P20152	95444890.1531139	4.0	Optic Nerve	Single shot	1	Standard	Optic Nerve_Standard
DPYSL2	O08553	33095087.7938269	25.0	Optic Nerve	Single shot	1	Standard	Optic Nerve_Standard
HIST1H4A	P62806	24738312.4624846	35.0	Optic Nerve	Single shot	1	Standard	Optic Nerve_Standard
HSP90AB1	P11499	19143480.627132	49.0	Optic Nerve	Single shot	1	Standard	Optic Nerve_Standard
CLTC	Q68FD5;Q5SXR6	3685896.34625362	325.0	Optic Nerve	Single shot	1	Standard	Optic Nerve_Standard
ALDOA	A6ZI44	27762409.7432291	31.0	Optic Nerve	Single shot	1	Standard	Optic Nerve_Standard
YWHAE	P62259;D6REF3	29825690.9106923	29.0	Optic Nerve	Single shot	1	Standard	Optic Nerve_Standard
EEF1A1	P10126;D3YZ68	19611913.6250838	48.0	Optic Nerve	Single shot	1	Standard	Optic Nerve_Standard
HIST1H2BC;HIST1H2BH	Q6ZWY9;Q64478	54113783.3633772	9.0	Optic Nerve	Single shot	1	Standard	Optic Nerve_Standard
TUBB4B	P68372	18556612.6858213	51.0	Optic Nerve	Single shot	1	Standard	Optic Nerve_Standard
DYNC1H1	Q9JHU4	4237936.89259474	271.0	Optic Nerve	Single shot	1	Standard	Optic Nerve_Standard
MDH2	P08249	24975409.5912957	34.0	Optic Nerve	Single shot	1	Standard	Optic Nerve_Standard
ACO2	Q99KI0	9913878.9706863	95.0	Optic Nerve	Single shot	1	Standard	Optic Nerve_Standard
HIST1H2AF;HIST1H2AB;HIST1H2AK;HIST1H2AH	Q8CGP5;P22752;Q8CGP7;Q8CGP6	17531812.1104711	55.0	Optic Nerve	Single shot	1	Standard	Optic Nerve_Standard
PPIA	P17742	42014482.357197	14.0	Optic Nerve	Single shot	1	Standard	Optic Nerve_Standard
SPTBN1	Q62261	7433399.65741744	134.0	Optic Nerve	Single shot	1	Standard	Optic Nerve_Standard
PGK1	P09411;S4R2M7	35274833.9592598	20.0	Optic Nerve	Single shot	1	Standard	Optic Nerve_Standard
MBP	P04370-4;F6RT34	176375952.400341	1.0	Optic Nerve	Single shot	1	Standard	Optic Nerve_Standard
ATP1A2	Q6PIE5;D3YYN7;D3YVX6	19990771.1411945	47.0	Optic Nerve	Single shot	1	Standard	Optic Nerve_Standard
CRMP1	Q6P1J1	8760900.4516898	111.0	Optic Nerve	Single shot	1	Standard	Optic Nerve_Standard
YWHAZ	P63101	27064600.8605492	32.0	Optic Nerve	Single shot	1	Standard	Optic Nerve_Standard
CFL1	P18760;F8WGL3	39819913.7036131	16.0	Optic Nerve	Single shot	1	Standard	Optic Nerve_Standard
VCP	Q01853	8185022.6924028	122.0	Optic Nerve	Single shot	1	Standard	Optic Nerve_Standard
HSPD1	P63038	7659007.45504428	129.0	Optic Nerve	Single shot	1	Standard	Optic Nerve_Standard
HSPA5	P20029	10142260.5488373	92.0	Optic Nerve	Single shot	1	Standard	Optic Nerve_Standard
MYH9	Q8VDD5	3340279.43318334	361.0	Optic Nerve	Single shot	1	Standard	Optic Nerve_Standard
MAP1B	P14873	5182901.72096571	207.0	Optic Nerve	Single shot	1	Standard	Optic Nerve_Standard
EEF2	P58252	4074267.09842485	286.0	Optic Nerve	Single shot	1	Standard	Optic Nerve_Standard
HBBT1;HBB-BS	A8DUK4;E9Q223	148943046.722619	2.0	Optic Nerve	Single shot	1	Standard	Optic Nerve_Standard
VDAC1	Q60932-2;Q60932;F2Z471	22138511.5968981	39.0	Optic Nerve	Single shot	1	Standard	Optic Nerve_Standard
HIST1H3B	P84228	15760666.4099181	59.0	Optic Nerve	Single shot	1	Standard	Optic Nerve_Standard
SLC25A5	P51881	17671066.0103798	54.0	Optic Nerve	Single shot	1	Standard	Optic Nerve_Standard
NEFM	P08553	26474591.9768329	33.0	Optic Nerve	Single shot	1	Standard	Optic Nerve_Standard
UBA1	Q02053	7384902.84241485	137.0	Optic Nerve	Single shot	1	Standard	Optic Nerve_Standard
DNM1	P39053-4;P39053	2583317.23329428	486.0	Optic Nerve	Single shot	1	Standard	Optic Nerve_Standard
GOT2	P05202	8719071.97285991	112.0	Optic Nerve	Single shot	1	Standard	Optic Nerve_Standard
DPYSL3	E9PWE8;Q3TT92	10419655.9763837	89.0	Optic Nerve	Single shot	1	Standard	Optic Nerve_Standard
TPI1	P17751;H7BXC3	14893428.456598	62.0	Optic Nerve	Single shot	1	Standard	Optic Nerve_Standard
STXBP1	O08599-2	5864450.23865862	178.0	Optic Nerve	Single shot	1	Standard	Optic Nerve_Standard
PGAM1	Q9DBJ1	12639762.4958579	73.0	Optic Nerve	Single shot	1	Standard	Optic Nerve_Standard
HNRNPA2B1	O88569;O88569-2	14462907.1042177	63.0	Optic Nerve	Single shot	1	Standard	Optic Nerve_Standard
ATP6V1A	P50516;P50516-2	3833098.70296421	309.0	Optic Nerve	Single shot	1	Standard	Optic Nerve_Standard
SYN1	O88935;O88935-3	2827699.09358246	448.0	Optic Nerve	Single shot	1	Standard	Optic Nerve_Standard
HBA-A2;HBA	Q91VB8;P01942	128120331.279987	3.0	Optic Nerve	Single shot	1	Standard	Optic Nerve_Standard
GFAP	P03995	68006321.2442467	7.0	Optic Nerve	Single shot	1	Standard	Optic Nerve_Standard
HSP90AA1	P07901	5667628.5258287	186.0	Optic Nerve	Single shot	1	Standard	Optic Nerve_Standard
TUBB3	Q9ERD7	8650267.00951156	115.0	Optic Nerve	Single shot	1	Standard	Optic Nerve_Standard
PRDX1	P35700	36298731.204854	18.0	Optic Nerve	Single shot	1	Standard	Optic Nerve_Standard
ATP1A3	Q6PIC6;Q8VCE0	10195752.3416538	91.0	Optic Nerve	Single shot	1	Standard	Optic Nerve_Standard
ACTC1	P68033	13008246.76662	71.0	Optic Nerve	Single shot	1	Standard	Optic Nerve_Standard
CNP	P16330;P16330-2	71051888.8498059	6.0	Optic Nerve	Single shot	1	Standard	Optic Nerve_Standard
HNRNPK;GM7964	P61979-2;P61979;H3BLL4;D3YWG1;H3BK96	8256761.25892951	121.0	Optic Nerve	Single shot	1	Standard	Optic Nerve_Standard
KXD1;UBA52	E9QNP0;E9Q4P0;P62984;E9Q9J0	33917009.7501473	23.0	Optic Nerve	Single shot	1	Standard	Optic Nerve_Standard
FLNA	B7FAU9;Q8BTM8	4749923.19278391	238.0	Optic Nerve	Single shot	1	Standard	Optic Nerve_Standard
TKT	P40142	15709987.0830522	60.0	Optic Nerve	Single shot	1	Standard	Optic Nerve_Standard
GPI	P06745	6857617.63874368	155.0	Optic Nerve	Single shot	1	Standard	Optic Nerve_Standard
PDIA3	P27773	9462908.19169865	100.0	Optic Nerve	Single shot	1	Standard	Optic Nerve_Standard
GLUD1	P26443	8317021.41926664	119.0	Optic Nerve	Single shot	1	Standard	Optic Nerve_Standard
ALDOC	P05063	17490530.291298	56.0	Optic Nerve	Single shot	1	Standard	Optic Nerve_Standard
NCAM1	P13595;P13595-3	6598211.9050219	157.0	Optic Nerve	Single shot	1	Standard	Optic Nerve_Standard
MAP2	P20357	1635546.60827485	749.0	Optic Nerve	Single shot	1	Standard	Optic Nerve_Standard
GDI2	Q61598;Q61598-2	8832515.01392383	110.0	Optic Nerve	Single shot	1	Standard	Optic Nerve_Standard
HSP90B1	P08113	5504188.29120555	195.0	Optic Nerve	Single shot	1	Standard	Optic Nerve_Standard
NSF	P46460	5941255.48399601	175.0	Optic Nerve	Single shot	1	Standard	Optic Nerve_Standard
CALM1	P62204	43548916.1674389	12.0	Optic Nerve	Single shot	1	Standard	Optic Nerve_Standard
FASN	P19096	3728580.35079516	320.0	Optic Nerve	Single shot	1	Standard	Optic Nerve_Standard
MDH1	P14152	11259755.7069032	82.0	Optic Nerve	Single shot	1	Standard	Optic Nerve_Standard
UCHL1	Q9R0P9	21867562.2814813	42.0	Optic Nerve	Single shot	1	Standard	Optic Nerve_Standard
MYH10	Q5SV64	1464663.43339052	815.0	Optic Nerve	Single shot	1	Standard	Optic Nerve_Standard
