Gene names	Accession IDs	Copy number	Rank	Cell type	Experiment type	Fraction	Condition	label
LRRK2	Q5S006	3853.17425324589	7418.0	Prefrontal Cortex	Single shot	1	Standard	Prefrontal Cortex_Standard
MAPK8IP3	K3W4S4;Q9ESN9-6;Q9ESN9;J3QNR6;Q9ESN9-4	225632.573126178	2689.0	Prefrontal Cortex	Single shot	1	Standard	Prefrontal Cortex_Standard
PPM1H	Q3UYC0;Q3UYC0-2	1538920.95148863	952.0	Prefrontal Cortex	Single shot	1	Standard	Prefrontal Cortex_Standard
RAB10	P61027	4783073.93118765	366.0	Prefrontal Cortex	Single shot	1	Standard	Prefrontal Cortex_Standard
RAB12	A2CG35	492755.347040697	1834.0	Prefrontal Cortex	Single shot	1	Standard	Prefrontal Cortex_Standard
RAB1B	Q9D1G1	3212495.34928127	527.0	Prefrontal Cortex	Single shot	1	Standard	Prefrontal Cortex_Standard
RAB35	Q6PHN9	943336.33283036	1289.0	Prefrontal Cortex	Single shot	1	Standard	Prefrontal Cortex_Standard
RAB3A	P63011	10223034.998348	162.0	Prefrontal Cortex	Single shot	1	Standard	Prefrontal Cortex_Standard
RAB3B	Q9CZT8;A2A7Z6	959683.273270789	1280.0	Prefrontal Cortex	Single shot	1	Standard	Prefrontal Cortex_Standard
RAB3D	P35276;D3YWL1;D3YW33	3753173.47614957	455.0	Prefrontal Cortex	Single shot	1	Standard	Prefrontal Cortex_Standard
RAB43	Q8CG50;D3Z444	38119.2184585644	5217.0	Prefrontal Cortex	Single shot	1	Standard	Prefrontal Cortex_Standard
RAB7A	P51150	4086739.18418856	427.0	Prefrontal Cortex	Single shot	1	Standard	Prefrontal Cortex_Standard
RAB8A	P55258	376883.937592935	2103.0	Prefrontal Cortex	Single shot	1	Standard	Prefrontal Cortex_Standard
RAB8B	P61028	516660.013217285	1791.0	Prefrontal Cortex	Single shot	1	Standard	Prefrontal Cortex_Standard
RILPL1	Q9JJC6	236154.168668156	2624.0	Prefrontal Cortex	Single shot	1	Standard	Prefrontal Cortex_Standard
SPAG9	Q58A65-2;Q58A65-5;Q58A65-6;Q58A65-3;F8WH31;E9PUD1;Q58A65-4;Z4YMB8	239283.189058253	2612.0	Prefrontal Cortex	Single shot	1	Standard	Prefrontal Cortex_Standard
VPS35	Q9EQH3	3568131.58253527	483.0	Prefrontal Cortex	Single shot	1	Standard	Prefrontal Cortex_Standard
ACTB	P60710	155169534.87741	1.0	Prefrontal Cortex	Single shot	1	Standard	Prefrontal Cortex_Standard
TUBB2A	Q7TMM9	130041159.605276	2.0	Prefrontal Cortex	Single shot	1	Standard	Prefrontal Cortex_Standard
TUBA1B	P05213	122920811.248395	3.0	Prefrontal Cortex	Single shot	1	Standard	Prefrontal Cortex_Standard
GAPDH	P16858;S4R257	87588718.649549	6.0	Prefrontal Cortex	Single shot	1	Standard	Prefrontal Cortex_Standard
HSPA8	P63017;Q504P4	39851199.8818771	24.0	Prefrontal Cortex	Single shot	1	Standard	Prefrontal Cortex_Standard
SPTAN1	A3KGU7	16856616.9087985	94.0	Prefrontal Cortex	Single shot	1	Standard	Prefrontal Cortex_Standard
ATP5B	P56480	52334955.4845993	14.0	Prefrontal Cortex	Single shot	1	Standard	Prefrontal Cortex_Standard
CKB	Q04447	40693113.0790601	21.0	Prefrontal Cortex	Single shot	1	Standard	Prefrontal Cortex_Standard
ATP5A1	Q03265;D3Z6F5	40677629.8064133	22.0	Prefrontal Cortex	Single shot	1	Standard	Prefrontal Cortex_Standard
PKM	P52480	43898919.5028098	19.0	Prefrontal Cortex	Single shot	1	Standard	Prefrontal Cortex_Standard
ENO1	P17182;Q6PHC1	57031675.5909645	13.0	Prefrontal Cortex	Single shot	1	Standard	Prefrontal Cortex_Standard
VIM	P20152	3414136.57245567	501.0	Prefrontal Cortex	Single shot	1	Standard	Prefrontal Cortex_Standard
DPYSL2	O08553	44693644.7958698	17.0	Prefrontal Cortex	Single shot	1	Standard	Prefrontal Cortex_Standard
HIST1H4A	P62806	96730861.902795	5.0	Prefrontal Cortex	Single shot	1	Standard	Prefrontal Cortex_Standard
HSP90AB1	P11499	22499813.0444475	59.0	Prefrontal Cortex	Single shot	1	Standard	Prefrontal Cortex_Standard
CLTC	Q68FD5;Q5SXR6	17437870.7829725	91.0	Prefrontal Cortex	Single shot	1	Standard	Prefrontal Cortex_Standard
ALDOA	A6ZI44	51459735.3241106	16.0	Prefrontal Cortex	Single shot	1	Standard	Prefrontal Cortex_Standard
YWHAE	P62259;D6REF3	68891524.8067243	8.0	Prefrontal Cortex	Single shot	1	Standard	Prefrontal Cortex_Standard
EEF1A1	P10126;D3YZ68	19590901.9740375	76.0	Prefrontal Cortex	Single shot	1	Standard	Prefrontal Cortex_Standard
HIST1H2BC;HIST1H2BH	Q6ZWY9;Q64478	32115100.2179919	30.0	Prefrontal Cortex	Single shot	1	Standard	Prefrontal Cortex_Standard
TUBB4B	P68372	33788687.4985349	27.0	Prefrontal Cortex	Single shot	1	Standard	Prefrontal Cortex_Standard
DYNC1H1	Q9JHU4	2730737.75804142	605.0	Prefrontal Cortex	Single shot	1	Standard	Prefrontal Cortex_Standard
MDH2	P08249	52238309.6469751	15.0	Prefrontal Cortex	Single shot	1	Standard	Prefrontal Cortex_Standard
ACO2	Q99KI0	24150227.608226	50.0	Prefrontal Cortex	Single shot	1	Standard	Prefrontal Cortex_Standard
HIST1H2AF;HIST1H2AB;HIST1H2AK;HIST1H2AH	Q8CGP5;P22752;Q8CGP7;Q8CGP6	64246884.094447	10.0	Prefrontal Cortex	Single shot	1	Standard	Prefrontal Cortex_Standard
PPIA	P17742	67475156.814161	9.0	Prefrontal Cortex	Single shot	1	Standard	Prefrontal Cortex_Standard
SPTBN1	Q62261	8764248.25239572	189.0	Prefrontal Cortex	Single shot	1	Standard	Prefrontal Cortex_Standard
PGK1	P09411;S4R2M7	31392798.0972771	31.0	Prefrontal Cortex	Single shot	1	Standard	Prefrontal Cortex_Standard
MBP	P04370-4;F6RT34	33408557.7137585	29.0	Prefrontal Cortex	Single shot	1	Standard	Prefrontal Cortex_Standard
ATP1A2	Q6PIE5;D3YYN7;D3YVX6	11784989.3273735	136.0	Prefrontal Cortex	Single shot	1	Standard	Prefrontal Cortex_Standard
CRMP1	Q6P1J1	21770405.7219688	66.0	Prefrontal Cortex	Single shot	1	Standard	Prefrontal Cortex_Standard
YWHAZ	P63101	60140874.1173637	12.0	Prefrontal Cortex	Single shot	1	Standard	Prefrontal Cortex_Standard
CFL1	P18760;F8WGL3	61745452.254368	11.0	Prefrontal Cortex	Single shot	1	Standard	Prefrontal Cortex_Standard
VCP	Q01853	11507677.9212417	144.0	Prefrontal Cortex	Single shot	1	Standard	Prefrontal Cortex_Standard
HSPD1	P63038	15836716.7255593	103.0	Prefrontal Cortex	Single shot	1	Standard	Prefrontal Cortex_Standard
HSPA5	P20029	8605868.27281279	191.0	Prefrontal Cortex	Single shot	1	Standard	Prefrontal Cortex_Standard
MYH9	Q8VDD5	1997403.8824604	767.0	Prefrontal Cortex	Single shot	1	Standard	Prefrontal Cortex_Standard
MAP1B	P14873	2768384.43714806	598.0	Prefrontal Cortex	Single shot	1	Standard	Prefrontal Cortex_Standard
EEF2	P58252	7123149.23019438	228.0	Prefrontal Cortex	Single shot	1	Standard	Prefrontal Cortex_Standard
HBBT1;HBB-BS	A8DUK4;E9Q223	99142028.6431661	4.0	Prefrontal Cortex	Single shot	1	Standard	Prefrontal Cortex_Standard
VDAC1	Q60932-2;Q60932;F2Z471	26088053.0334856	41.0	Prefrontal Cortex	Single shot	1	Standard	Prefrontal Cortex_Standard
HIST1H3B	P84228	23733084.7233417	51.0	Prefrontal Cortex	Single shot	1	Standard	Prefrontal Cortex_Standard
SLC25A5	P51881	26513053.8590195	38.0	Prefrontal Cortex	Single shot	1	Standard	Prefrontal Cortex_Standard
NEFM	P08553	2873606.97026403	580.0	Prefrontal Cortex	Single shot	1	Standard	Prefrontal Cortex_Standard
UBA1	Q02053	6373580.95468532	262.0	Prefrontal Cortex	Single shot	1	Standard	Prefrontal Cortex_Standard
DNM1	P39053-4;P39053	18119063.8062008	86.0	Prefrontal Cortex	Single shot	1	Standard	Prefrontal Cortex_Standard
GOT2	P05202	29785430.6647187	33.0	Prefrontal Cortex	Single shot	1	Standard	Prefrontal Cortex_Standard
DPYSL3	E9PWE8;Q3TT92	8840131.07215156	188.0	Prefrontal Cortex	Single shot	1	Standard	Prefrontal Cortex_Standard
TPI1	P17751;H7BXC3	42054714.895479	20.0	Prefrontal Cortex	Single shot	1	Standard	Prefrontal Cortex_Standard
STXBP1	O08599-2	27456539.7573786	35.0	Prefrontal Cortex	Single shot	1	Standard	Prefrontal Cortex_Standard
PGAM1	Q9DBJ1	39561718.6544857	25.0	Prefrontal Cortex	Single shot	1	Standard	Prefrontal Cortex_Standard
HNRNPA2B1	O88569;O88569-2	14522082.7173016	108.0	Prefrontal Cortex	Single shot	1	Standard	Prefrontal Cortex_Standard
ATP6V1A	P50516;P50516-2	21659857.3566776	67.0	Prefrontal Cortex	Single shot	1	Standard	Prefrontal Cortex_Standard
SYN1	O88935;O88935-3	21988903.3265497	65.0	Prefrontal Cortex	Single shot	1	Standard	Prefrontal Cortex_Standard
HBA-A2;HBA	Q91VB8;P01942	86896546.8902333	7.0	Prefrontal Cortex	Single shot	1	Standard	Prefrontal Cortex_Standard
GFAP	P03995	3428550.36963009	498.0	Prefrontal Cortex	Single shot	1	Standard	Prefrontal Cortex_Standard
HSP90AA1	P07901	12346681.7966527	128.0	Prefrontal Cortex	Single shot	1	Standard	Prefrontal Cortex_Standard
TUBB3	Q9ERD7	23321450.8677234	56.0	Prefrontal Cortex	Single shot	1	Standard	Prefrontal Cortex_Standard
PRDX1	P35700	20752893.7971566	71.0	Prefrontal Cortex	Single shot	1	Standard	Prefrontal Cortex_Standard
ATP1A3	Q6PIC6;Q8VCE0	9944422.07119221	168.0	Prefrontal Cortex	Single shot	1	Standard	Prefrontal Cortex_Standard
ACTC1	P68033	11697500.109199	139.0	Prefrontal Cortex	Single shot	1	Standard	Prefrontal Cortex_Standard
CNP	P16330;P16330-2	8212589.33865262	204.0	Prefrontal Cortex	Single shot	1	Standard	Prefrontal Cortex_Standard
HNRNPK;GM7964	P61979-2;P61979;H3BLL4;D3YWG1;H3BK96	10057887.3277214	166.0	Prefrontal Cortex	Single shot	1	Standard	Prefrontal Cortex_Standard
KXD1;UBA52	E9QNP0;E9Q4P0;P62984;E9Q9J0	24820813.5445744	45.0	Prefrontal Cortex	Single shot	1	Standard	Prefrontal Cortex_Standard
FLNA	B7FAU9;Q8BTM8	435662.456734693	1956.0	Prefrontal Cortex	Single shot	1	Standard	Prefrontal Cortex_Standard
TKT	P40142	7930457.44990048	209.0	Prefrontal Cortex	Single shot	1	Standard	Prefrontal Cortex_Standard
GPI	P06745	20766323.7964791	70.0	Prefrontal Cortex	Single shot	1	Standard	Prefrontal Cortex_Standard
PDIA3	P27773	8863645.81250948	187.0	Prefrontal Cortex	Single shot	1	Standard	Prefrontal Cortex_Standard
GLUD1	P26443	11112210.2322457	148.0	Prefrontal Cortex	Single shot	1	Standard	Prefrontal Cortex_Standard
ALDOC	P05063	17752591.4601891	89.0	Prefrontal Cortex	Single shot	1	Standard	Prefrontal Cortex_Standard
NCAM1	P13595;P13595-3	7526361.32543567	219.0	Prefrontal Cortex	Single shot	1	Standard	Prefrontal Cortex_Standard
MAP2	P20357	6048218.25140411	278.0	Prefrontal Cortex	Single shot	1	Standard	Prefrontal Cortex_Standard
GDI2	Q61598;Q61598-2	17248061.977037	93.0	Prefrontal Cortex	Single shot	1	Standard	Prefrontal Cortex_Standard
HSP90B1	P08113	3274142.40022819	515.0	Prefrontal Cortex	Single shot	1	Standard	Prefrontal Cortex_Standard
NSF	P46460	18737547.9790491	84.0	Prefrontal Cortex	Single shot	1	Standard	Prefrontal Cortex_Standard
CALM1	P62204	26366117.6672294	39.0	Prefrontal Cortex	Single shot	1	Standard	Prefrontal Cortex_Standard
FASN	P19096	2063411.91078823	750.0	Prefrontal Cortex	Single shot	1	Standard	Prefrontal Cortex_Standard
MDH1	P14152	24917443.954461	43.0	Prefrontal Cortex	Single shot	1	Standard	Prefrontal Cortex_Standard
UCHL1	Q9R0P9	36733152.2259861	26.0	Prefrontal Cortex	Single shot	1	Standard	Prefrontal Cortex_Standard
MYH10	Q5SV64	2552436.96566248	638.0	Prefrontal Cortex	Single shot	1	Standard	Prefrontal Cortex_Standard
HSPA9	P38647	5729956.09192755	298.0	Prefrontal Cortex	Single shot	1	Standard	Prefrontal Cortex_Standard
HNRNPA3	Q8BG05;A2AL12	13184329.6126118	116.0	Prefrontal Cortex	Single shot	1	Standard	Prefrontal Cortex_Standard
LDHA	P06151;G5E8N5;D3Z736	26747088.8124545	37.0	Prefrontal Cortex	Single shot	1	Standard	Prefrontal Cortex_Standard
TLN1	P26039	533423.596690996	1772.0	Prefrontal Cortex	Single shot	1	Standard	Prefrontal Cortex_Standard
ENO2	P17183;D3Z6E4	22391024.3310938	60.0	Prefrontal Cortex	Single shot	1	Standard	Prefrontal Cortex_Standard
GNAO1	P18872	33572714.6940393	28.0	Prefrontal Cortex	Single shot	1	Standard	Prefrontal Cortex_Standard
PEBP1	P70296;D3Z1V4;D6RHS6	44521722.5515251	18.0	Prefrontal Cortex	Single shot	1	Standard	Prefrontal Cortex_Standard
YWHAG	P61982	18855873.3152172	83.0	Prefrontal Cortex	Single shot	1	Standard	Prefrontal Cortex_Standard
NEFL	P08551	3002159.06085526	561.0	Prefrontal Cortex	Single shot	1	Standard	Prefrontal Cortex_Standard
GNB2	P62880;E9QKR0;D3YZX3;D3Z1M1	24842954.2123833	44.0	Prefrontal Cortex	Single shot	1	Standard	Prefrontal Cortex_Standard
HSPA4	Q3U2G2;Q61316	5851531.2724281	293.0	Prefrontal Cortex	Single shot	1	Standard	Prefrontal Cortex_Standard
DPYSL5	Q9EQF6	12183252.6885131	132.0	Prefrontal Cortex	Single shot	1	Standard	Prefrontal Cortex_Standard
GLUL	P15105	23468403.4712567	54.0	Prefrontal Cortex	Single shot	1	Standard	Prefrontal Cortex_Standard
LDHB	P16125;D3Z7F0	20198283.1646931	74.0	Prefrontal Cortex	Single shot	1	Standard	Prefrontal Cortex_Standard
GOT1	P05201	24337911.8912463	49.0	Prefrontal Cortex	Single shot	1	Standard	Prefrontal Cortex_Standard
HIST1H1E	P43274	6486375.96001377	257.0	Prefrontal Cortex	Single shot	1	Standard	Prefrontal Cortex_Standard
TUBB5	P99024	10661319.2154292	157.0	Prefrontal Cortex	Single shot	1	Standard	Prefrontal Cortex_Standard
ATP6V1B2	P62814	16255359.1084669	99.0	Prefrontal Cortex	Single shot	1	Standard	Prefrontal Cortex_Standard
MAP1A	A2ARP8;Q9QYR6-2	2241636.02486945	701.0	Prefrontal Cortex	Single shot	1	Standard	Prefrontal Cortex_Standard
PPP2R1A	Q76MZ3	10580644.6734304	160.0	Prefrontal Cortex	Single shot	1	Standard	Prefrontal Cortex_Standard
UQCRC2	Q9DB77	19932258.3001432	75.0	Prefrontal Cortex	Single shot	1	Standard	Prefrontal Cortex_Standard
GM20390;NME2	E9PZF0;Q01768	20232338.5224653	73.0	Prefrontal Cortex	Single shot	1	Standard	Prefrontal Cortex_Standard
WDR1	O88342	9057550.73892515	182.0	Prefrontal Cortex	Single shot	1	Standard	Prefrontal Cortex_Standard
HK1	P17710-3;P17710;G3UVV4;P17710-4	11414669.4545674	146.0	Prefrontal Cortex	Single shot	1	Standard	Prefrontal Cortex_Standard
