Gene names	Accession IDs	Copy number	Rank	Cell type	Experiment type	Fraction	Condition	label
NUDT4	A0A024RBG1;Q9NZJ9-2;Q9NZJ9-3	29956.20395	4319	SHSy5Y	Fractionated	1	DMSO	SHSy5Y_DMSO
LINC00493	A0A096LP01	5252.441743	6886	SHSy5Y	Fractionated	1	DMSO	SHSy5Y_DMSO
	P0DPI2;A0A0B4J2D5;P0DPI2-2;A0A0B4J2D5-2	706686.733	621	SHSy5Y	Fractionated	1	DMSO	SHSy5Y_DMSO
	A0A0U1RRE5	46178.06659	3622	SHSy5Y	Fractionated	1	DMSO	SHSy5Y_DMSO
	A0A1B0GTU1	799.7120115	8493	SHSy5Y	Fractionated	1	DMSO	SHSy5Y_DMSO
	A0A1B0GUJ8	28424.55012	4395	SHSy5Y	Fractionated	1	DMSO	SHSy5Y_DMSO
TTC26	A0AVF1;A0AVF1-3;A0AVF1-2	29145.02614	4356	SHSy5Y	Fractionated	1	DMSO	SHSy5Y_DMSO
UBA6	A0AVT1;A0AVT1-2	156709.8356	1837	SHSy5Y	Fractionated	1	DMSO	SHSy5Y_DMSO
ESYT2	A0FGR8-2;A0FGR8	65892.09756	3034	SHSy5Y	Fractionated	1	DMSO	SHSy5Y_DMSO
MED19	A0JLT2-2;A0JLT2	15517.42528	5384	SHSy5Y	Fractionated	1	DMSO	SHSy5Y_DMSO
UHRF1BP1L	A0JNW5	6031.085256	6710	SHSy5Y	Fractionated	1	DMSO	SHSy5Y_DMSO
KIAA1598	A0MZ66;A0MZ66-3;A0MZ66-4;A0MZ66-6;A0MZ66-5;A0MZ66-8;A0MZ66-2	185640.9339	1667	SHSy5Y	Fractionated	1	DMSO	SHSy5Y_DMSO
TMEM223	A0PJW6	19687.79562	5023	SHSy5Y	Fractionated	1	DMSO	SHSy5Y_DMSO
GXYLT2	A0PJZ3	409.6164522	8755	SHSy5Y	Fractionated	1	DMSO	SHSy5Y_DMSO
TMEM120B	A0PK00	8137.893451	6317	SHSy5Y	Fractionated	1	DMSO	SHSy5Y_DMSO
ARHGAP10	A1A4S6	718.9732026	8538	SHSy5Y	Fractionated	1	DMSO	SHSy5Y_DMSO
ARHGEF37	A1IGU5	76438.12481	2789	SHSy5Y	Fractionated	1	DMSO	SHSy5Y_DMSO
MEX3A	A1L020	102912.1649	2341	SHSy5Y	Fractionated	1	DMSO	SHSy5Y_DMSO
ILVBL	A1L0T0	116125.0239	2210	SHSy5Y	Fractionated	1	DMSO	SHSy5Y_DMSO
C1ORF226	A1L170;A1L170-2	2838.968393	7578	SHSy5Y	Fractionated	1	DMSO	SHSy5Y_DMSO
