Gene names	Accession IDs	Copy number	Rank	Cell type	Experiment type	Fraction	Condition	label
LRRK1	Q3UHC2;Q3UHC2-3	3495.27695774499	7471.0	Striatum	Single shot	1	Standard	Striatum_Standard
LRRK2	Q5S006	7760.64950437894	7052.0	Striatum	Single shot	1	Standard	Striatum_Standard
MAPK8IP3	K3W4S4;Q9ESN9-6;Q9ESN9;J3QNR6;Q9ESN9-4	184751.50457058	2901.0	Striatum	Single shot	1	Standard	Striatum_Standard
PPM1H	Q3UYC0;Q3UYC0-2	996810.949121054	1223.0	Striatum	Single shot	1	Standard	Striatum_Standard
RAB10	P61027	4799706.70627536	345.0	Striatum	Single shot	1	Standard	Striatum_Standard
RAB12	A2CG35	554648.952712772	1705.0	Striatum	Single shot	1	Standard	Striatum_Standard
RAB1B	Q9D1G1	2935608.18832829	549.0	Striatum	Single shot	1	Standard	Striatum_Standard
RAB35	Q6PHN9	898475.566697005	1295.0	Striatum	Single shot	1	Standard	Striatum_Standard
RAB3A	P63011	10179342.6701588	156.0	Striatum	Single shot	1	Standard	Striatum_Standard
RAB3B	Q9CZT8;A2A7Z6	324993.820919099	2221.0	Striatum	Single shot	1	Standard	Striatum_Standard
RAB3D	P35276;D3YWL1;D3YW33	1605749.99273846	889.0	Striatum	Single shot	1	Standard	Striatum_Standard
RAB43	Q8CG50;D3Z444	190548.247626352	2870.0	Striatum	Single shot	1	Standard	Striatum_Standard
RAB7A	P51150	4078152.44613848	409.0	Striatum	Single shot	1	Standard	Striatum_Standard
RAB8A	P55258	519113.124223318	1768.0	Striatum	Single shot	1	Standard	Striatum_Standard
RAB8B	P61028	261408.871662442	2473.0	Striatum	Single shot	1	Standard	Striatum_Standard
RILPL1	Q9JJC6	85295.7792900207	3899.0	Striatum	Single shot	1	Standard	Striatum_Standard
SPAG9	Q58A65-2;Q58A65-5;Q58A65-6;Q58A65-3;F8WH31;E9PUD1;Q58A65-4;Z4YMB8	271873.814222609	2427.0	Striatum	Single shot	1	Standard	Striatum_Standard
VPS35	Q9EQH3	2869034.24775297	561.0	Striatum	Single shot	1	Standard	Striatum_Standard
ACTB	P60710	146883834.725126	1.0	Striatum	Single shot	1	Standard	Striatum_Standard
TUBB2A	Q7TMM9	111579423.219486	2.0	Striatum	Single shot	1	Standard	Striatum_Standard
TUBA1B	P05213	103659391.765805	3.0	Striatum	Single shot	1	Standard	Striatum_Standard
GAPDH	P16858;S4R257	87030343.2566739	5.0	Striatum	Single shot	1	Standard	Striatum_Standard
HSPA8	P63017;Q504P4	37667696.264003	26.0	Striatum	Single shot	1	Standard	Striatum_Standard
SPTAN1	A3KGU7	17155784.2964404	82.0	Striatum	Single shot	1	Standard	Striatum_Standard
ATP5B	P56480	58986164.5659202	13.0	Striatum	Single shot	1	Standard	Striatum_Standard
CKB	Q04447	63101267.0307646	10.0	Striatum	Single shot	1	Standard	Striatum_Standard
ATP5A1	Q03265;D3Z6F5	49808469.11943	18.0	Striatum	Single shot	1	Standard	Striatum_Standard
PKM	P52480	44607542.2315279	20.0	Striatum	Single shot	1	Standard	Striatum_Standard
ENO1	P17182;Q6PHC1	53106991.7573247	16.0	Striatum	Single shot	1	Standard	Striatum_Standard
VIM	P20152	3068891.20426349	527.0	Striatum	Single shot	1	Standard	Striatum_Standard
DPYSL2	O08553	43068117.7674522	22.0	Striatum	Single shot	1	Standard	Striatum_Standard
HIST1H4A	P62806	86499869.5172056	6.0	Striatum	Single shot	1	Standard	Striatum_Standard
HSP90AB1	P11499	20551772.3159621	64.0	Striatum	Single shot	1	Standard	Striatum_Standard
CLTC	Q68FD5;Q5SXR6	16470242.8727314	85.0	Striatum	Single shot	1	Standard	Striatum_Standard
ALDOA	A6ZI44	43311930.24145	21.0	Striatum	Single shot	1	Standard	Striatum_Standard
YWHAE	P62259;D6REF3	58675063.3689862	14.0	Striatum	Single shot	1	Standard	Striatum_Standard
EEF1A1	P10126;D3YZ68	17842628.7138756	78.0	Striatum	Single shot	1	Standard	Striatum_Standard
HIST1H2BC;HIST1H2BH	Q6ZWY9;Q64478	39300841.0182154	24.0	Striatum	Single shot	1	Standard	Striatum_Standard
TUBB4B	P68372	29477601.9356297	37.0	Striatum	Single shot	1	Standard	Striatum_Standard
DYNC1H1	Q9JHU4	2472738.14372951	630.0	Striatum	Single shot	1	Standard	Striatum_Standard
MDH2	P08249	51650637.7706469	17.0	Striatum	Single shot	1	Standard	Striatum_Standard
ACO2	Q99KI0	24361828.9847137	48.0	Striatum	Single shot	1	Standard	Striatum_Standard
HIST1H2AF;HIST1H2AB;HIST1H2AK;HIST1H2AH	Q8CGP5;P22752;Q8CGP7;Q8CGP6	61518583.3295464	12.0	Striatum	Single shot	1	Standard	Striatum_Standard
PPIA	P17742	66955769.2380811	9.0	Striatum	Single shot	1	Standard	Striatum_Standard
SPTBN1	Q62261	9408869.67643343	171.0	Striatum	Single shot	1	Standard	Striatum_Standard
PGK1	P09411;S4R2M7	32971243.6465191	32.0	Striatum	Single shot	1	Standard	Striatum_Standard
MBP	P04370-4;F6RT34	70695812.5765163	7.0	Striatum	Single shot	1	Standard	Striatum_Standard
ATP1A2	Q6PIE5;D3YYN7;D3YVX6	11313612.8335233	144.0	Striatum	Single shot	1	Standard	Striatum_Standard
CRMP1	Q6P1J1	18930274.7716002	72.0	Striatum	Single shot	1	Standard	Striatum_Standard
YWHAZ	P63101	63012960.8962539	11.0	Striatum	Single shot	1	Standard	Striatum_Standard
CFL1	P18760;F8WGL3	56018517.1597044	15.0	Striatum	Single shot	1	Standard	Striatum_Standard
VCP	Q01853	9023308.94547037	179.0	Striatum	Single shot	1	Standard	Striatum_Standard
HSPD1	P63038	15965966.6034942	94.0	Striatum	Single shot	1	Standard	Striatum_Standard
HSPA5	P20029	7901411.64781432	207.0	Striatum	Single shot	1	Standard	Striatum_Standard
MYH9	Q8VDD5	2330324.40586453	661.0	Striatum	Single shot	1	Standard	Striatum_Standard
MAP1B	P14873	2230804.48826694	685.0	Striatum	Single shot	1	Standard	Striatum_Standard
EEF2	P58252	5146096.78074295	322.0	Striatum	Single shot	1	Standard	Striatum_Standard
HBBT1;HBB-BS	A8DUK4;E9Q223	97316369.228996	4.0	Striatum	Single shot	1	Standard	Striatum_Standard
