Gene names	Accession IDs	Copy number	Rank	Cell type	Experiment type	Fraction	Condition	label
MAPK8IP3	K3W4S4;Q9ESN9-6;Q9ESN9;J3QNR6;Q9ESN9-4	174706.965463538	2775.0	Thalamus	Single shot	1	Standard	Thalamus_Standard
PPM1H	Q3UYC0;Q3UYC0-2	661369.656181051	1409.0	Thalamus	Single shot	1	Standard	Thalamus_Standard
RAB10	P61027	3820655.40404603	373.0	Thalamus	Single shot	1	Standard	Thalamus_Standard
RAB12	A2CG35	395852.021278384	1854.0	Thalamus	Single shot	1	Standard	Thalamus_Standard
RAB1B	Q9D1G1	2675633.0376688	491.0	Thalamus	Single shot	1	Standard	Thalamus_Standard
RAB35	Q6PHN9	455855.561972108	1729.0	Thalamus	Single shot	1	Standard	Thalamus_Standard
RAB3A	P63011	7288788.78385011	181.0	Thalamus	Single shot	1	Standard	Thalamus_Standard
RAB3B	Q9CZT8;A2A7Z6	425349.211159245	1789.0	Thalamus	Single shot	1	Standard	Thalamus_Standard
RAB3D	P35276;D3YWL1;D3YW33	1504223.64323899	811.0	Thalamus	Single shot	1	Standard	Thalamus_Standard
RAB7A	P51150	3207870.48219642	424.0	Thalamus	Single shot	1	Standard	Thalamus_Standard
RAB8A	P55258	302875.622462694	2140.0	Thalamus	Single shot	1	Standard	Thalamus_Standard
RAB8B	P61028	312238.272889979	2105.0	Thalamus	Single shot	1	Standard	Thalamus_Standard
RILPL1	Q9JJC6	52533.1378071113	4461.0	Thalamus	Single shot	1	Standard	Thalamus_Standard
SPAG9	Q58A65-2;Q58A65-5;Q58A65-6;Q58A65-3;F8WH31;E9PUD1;Q58A65-4;Z4YMB8	213209.388428966	2527.0	Thalamus	Single shot	1	Standard	Thalamus_Standard
VPS35	Q9EQH3	2819481.71505655	466.0	Thalamus	Single shot	1	Standard	Thalamus_Standard
ACTB	P60710	111401651.6853	1.0	Thalamus	Single shot	1	Standard	Thalamus_Standard
TUBB2A	Q7TMM9	97390499.477053	2.0	Thalamus	Single shot	1	Standard	Thalamus_Standard
