Gene names	Accession IDs	Copy number	Rank	Cell type	Experiment type	Fraction	Condition	label
LRRK2	Q5S006	1653.32272076562	7800.0	Ventral Hippocampus	Single shot	1	Standard	Ventral Hippocampus_Standard
MAPK8IP3	K3W4S4;Q9ESN9-6;Q9ESN9;J3QNR6;Q9ESN9-4	192845.232846729	2740.0	Ventral Hippocampus	Single shot	1	Standard	Ventral Hippocampus_Standard
PPM1H	Q3UYC0;Q3UYC0-2	795692.27296728	1312.0	Ventral Hippocampus	Single shot	1	Standard	Ventral Hippocampus_Standard
RAB10	P61027	9408642.90303018	159.0	Ventral Hippocampus	Single shot	1	Standard	Ventral Hippocampus_Standard
RAB12	A2CG35	480691.12620475	1753.0	Ventral Hippocampus	Single shot	1	Standard	Ventral Hippocampus_Standard
RAB1A	P62821	21424.0958082599	5898.0	Ventral Hippocampus	Single shot	1	Standard	Ventral Hippocampus_Standard
RAB1B	Q9D1G1	2405014.22015393	609.0	Ventral Hippocampus	Single shot	1	Standard	Ventral Hippocampus_Standard
RAB29	E9QLQ7;Q91YQ1	115713.938699457	3415.0	Ventral Hippocampus	Single shot	1	Standard	Ventral Hippocampus_Standard
RAB35	Q6PHN9	1700023.15429388	793.0	Ventral Hippocampus	Single shot	1	Standard	Ventral Hippocampus_Standard
RAB3A	P63011	11106262.1722045	128.0	Ventral Hippocampus	Single shot	1	Standard	Ventral Hippocampus_Standard
RAB3B	Q9CZT8;A2A7Z6	677674.819583224	1443.0	Ventral Hippocampus	Single shot	1	Standard	Ventral Hippocampus_Standard
RAB3D	P35276;D3YWL1;D3YW33	1631886.47688745	824.0	Ventral Hippocampus	Single shot	1	Standard	Ventral Hippocampus_Standard
RAB7A	P51150	4449579.20578387	348.0	Ventral Hippocampus	Single shot	1	Standard	Ventral Hippocampus_Standard
RAB8A	P55258	974712.26162699	1148.0	Ventral Hippocampus	Single shot	1	Standard	Ventral Hippocampus_Standard
RAB8B	P61028	997352.920092363	1138.0	Ventral Hippocampus	Single shot	1	Standard	Ventral Hippocampus_Standard
RILPL1	Q9JJC6	107608.405960435	3503.0	Ventral Hippocampus	Single shot	1	Standard	Ventral Hippocampus_Standard
SPAG9	Q58A65-2;Q58A65-5;Q58A65-6;Q58A65-3;F8WH31;E9PUD1;Q58A65-4;Z4YMB8	188432.939640159	2768.0	Ventral Hippocampus	Single shot	1	Standard	Ventral Hippocampus_Standard
VPS35	Q9EQH3	3087443.81794176	494.0	Ventral Hippocampus	Single shot	1	Standard	Ventral Hippocampus_Standard
ACTB	P60710	125343958.68637	1.0	Ventral Hippocampus	Single shot	1	Standard	Ventral Hippocampus_Standard
TUBB2A	Q7TMM9	92218703.0111931	2.0	Ventral Hippocampus	Single shot	1	Standard	Ventral Hippocampus_Standard
TUBA1B	P05213	83645206.0915767	4.0	Ventral Hippocampus	Single shot	1	Standard	Ventral Hippocampus_Standard
GAPDH	P16858;S4R257	68332054.2727575	5.0	Ventral Hippocampus	Single shot	1	Standard	Ventral Hippocampus_Standard
HSPA8	P63017;Q504P4	30088335.9711806	26.0	Ventral Hippocampus	Single shot	1	Standard	Ventral Hippocampus_Standard
SPTAN1	A3KGU7	14057062.2772582	95.0	Ventral Hippocampus	Single shot	1	Standard	Ventral Hippocampus_Standard
ATP5B	P56480	40151596.7222863	18.0	Ventral Hippocampus	Single shot	1	Standard	Ventral Hippocampus_Standard
CKB	Q04447	29737634.6531684	27.0	Ventral Hippocampus	Single shot	1	Standard	Ventral Hippocampus_Standard
ATP5A1	Q03265;D3Z6F5	31982724.1106927	23.0	Ventral Hippocampus	Single shot	1	Standard	Ventral Hippocampus_Standard
PKM	P52480	33240317.7354923	22.0	Ventral Hippocampus	Single shot	1	Standard	Ventral Hippocampus_Standard
ENO1	P17182;Q6PHC1	36336011.5690322	21.0	Ventral Hippocampus	Single shot	1	Standard	Ventral Hippocampus_Standard
VIM	P20152	5338892.90499768	286.0	Ventral Hippocampus	Single shot	1	Standard	Ventral Hippocampus_Standard
DPYSL2	O08553	37044700.308333	19.0	Ventral Hippocampus	Single shot	1	Standard	Ventral Hippocampus_Standard
HIST1H4A	P62806	90799355.6977456	3.0	Ventral Hippocampus	Single shot	1	Standard	Ventral Hippocampus_Standard
HSP90AB1	P11499	16929890.782196	73.0	Ventral Hippocampus	Single shot	1	Standard	Ventral Hippocampus_Standard
CLTC	Q68FD5;Q5SXR6	16302797.6492063	77.0	Ventral Hippocampus	Single shot	1	Standard	Ventral Hippocampus_Standard
ALDOA	A6ZI44	40803508.4543807	16.0	Ventral Hippocampus	Single shot	1	Standard	Ventral Hippocampus_Standard
YWHAE	P62259;D6REF3	53128153.3303308	10.0	Ventral Hippocampus	Single shot	1	Standard	Ventral Hippocampus_Standard
EEF1A1	P10126;D3YZ68	17765541.8786172	68.0	Ventral Hippocampus	Single shot	1	Standard	Ventral Hippocampus_Standard
HIST1H2BC;HIST1H2BH	Q6ZWY9;Q64478	40376567.9514079	17.0	Ventral Hippocampus	Single shot	1	Standard	Ventral Hippocampus_Standard
TUBB4B	P68372	20671447.5585384	46.0	Ventral Hippocampus	Single shot	1	Standard	Ventral Hippocampus_Standard
DYNC1H1	Q9JHU4	3613675.621797	430.0	Ventral Hippocampus	Single shot	1	Standard	Ventral Hippocampus_Standard
MDH2	P08249	44501681.2487138	15.0	Ventral Hippocampus	Single shot	1	Standard	Ventral Hippocampus_Standard
ACO2	Q99KI0	19088625.1931309	57.0	Ventral Hippocampus	Single shot	1	Standard	Ventral Hippocampus_Standard
HIST1H2AF;HIST1H2AB;HIST1H2AK;HIST1H2AH	Q8CGP5;P22752;Q8CGP7;Q8CGP6	46740633.584014	13.0	Ventral Hippocampus	Single shot	1	Standard	Ventral Hippocampus_Standard
PPIA	P17742	60498284.2020787	8.0	Ventral Hippocampus	Single shot	1	Standard	Ventral Hippocampus_Standard
SPTBN1	Q62261	9603262.49230487	152.0	Ventral Hippocampus	Single shot	1	Standard	Ventral Hippocampus_Standard
PGK1	P09411;S4R2M7	31124955.8804075	24.0	Ventral Hippocampus	Single shot	1	Standard	Ventral Hippocampus_Standard
MBP	P04370-4;F6RT34	64493803.9289373	6.0	Ventral Hippocampus	Single shot	1	Standard	Ventral Hippocampus_Standard
ATP1A2	Q6PIE5;D3YYN7;D3YVX6	17236430.1374787	70.0	Ventral Hippocampus	Single shot	1	Standard	Ventral Hippocampus_Standard
CRMP1	Q6P1J1	16641574.2921141	75.0	Ventral Hippocampus	Single shot	1	Standard	Ventral Hippocampus_Standard
YWHAZ	P63101	48253793.3089324	12.0	Ventral Hippocampus	Single shot	1	Standard	Ventral Hippocampus_Standard
CFL1	P18760;F8WGL3	51669156.5985474	11.0	Ventral Hippocampus	Single shot	1	Standard	Ventral Hippocampus_Standard
VCP	Q01853	7566390.79935085	189.0	Ventral Hippocampus	Single shot	1	Standard	Ventral Hippocampus_Standard
HSPD1	P63038	12768533.1362364	103.0	Ventral Hippocampus	Single shot	1	Standard	Ventral Hippocampus_Standard
HSPA5	P20029	5438356.46058103	281.0	Ventral Hippocampus	Single shot	1	Standard	Ventral Hippocampus_Standard
MYH9	Q8VDD5	2110447.23860703	669.0	Ventral Hippocampus	Single shot	1	Standard	Ventral Hippocampus_Standard
MAP1B	P14873	3104389.9312357	490.0	Ventral Hippocampus	Single shot	1	Standard	Ventral Hippocampus_Standard
EEF2	P58252	6027232.62364231	248.0	Ventral Hippocampus	Single shot	1	Standard	Ventral Hippocampus_Standard
HBBT1;HBB-BS	A8DUK4;E9Q223	63181047.6041812	7.0	Ventral Hippocampus	Single shot	1	Standard	Ventral Hippocampus_Standard
VDAC1	Q60932-2;Q60932;F2Z471	21592256.6316982	43.0	Ventral Hippocampus	Single shot	1	Standard	Ventral Hippocampus_Standard
