Gene names	Accession IDs	Copy number	Rank	Cell type	Experiment type	Fraction	Condition	label
H4C1	P62806	116193234.5	1.0	WT	Single shot	1	Standard	WT_Standard
HIST1H2AF	Q8CGP5	73761329.74	2.0	WT	Single shot	1	Standard	WT_Standard
ACTB	P60710	38619528.02	3.0	WT	Single shot	1	Standard	WT_Standard
S100A4	P07091	11063230.17	12.0	WT	Single shot	1	Standard	WT_Standard
H3C1	P68433	30988605.84	4.0	WT	Single shot	1	Standard	WT_Standard
TXN	P10639	14621719.57	6.0	WT	Single shot	1	Standard	WT_Standard
PPIA	P17742	13646573.69	7.0	WT	Single shot	1	Standard	WT_Standard
EEF1A1	P10126	21709263.56	5.0	WT	Single shot	1	Standard	WT_Standard
RPS28	P62858	13588400.83	8.0	WT	Single shot	1	Standard	WT_Standard
H1-3	P43277	8470817.726	14.0	WT	Single shot	1	Standard	WT_Standard
NME2	Q01768	10809792.45	13.0	WT	Single shot	1	Standard	WT_Standard
PRDX1	P35700	8228127.678	15.0	WT	Single shot	1	Standard	WT_Standard
IGF2	P09535	208736.0909	760.0	WT	Single shot	1	Standard	WT_Standard
PFN1	P62962	11222710.68	11.0	WT	Single shot	1	Standard	WT_Standard
HSPE1	Q64433	8143436.177	16.0	WT	Single shot	1	Standard	WT_Standard
GAPDH	P16858	12203437.12	10.0	WT	Single shot	1	Standard	WT_Standard
LGALS1	P16045	5560344.476	30.0	WT	Single shot	1	Standard	WT_Standard
FAU	P62862	7811785.522	17.0	WT	Single shot	1	Standard	WT_Standard
VIM	P20152	12220693.66	9.0	WT	Single shot	1	Standard	WT_Standard
TUBA1A	P68369	7215132.818	18.0	WT	Single shot	1	Standard	WT_Standard
CRABP1	P62965	284082.6237	593.0	WT	Single shot	1	Standard	WT_Standard
RPS25	P62852	6426211.418	23.0	WT	Single shot	1	Standard	WT_Standard
S100A6	P14069	5262621.074	32.0	WT	Single shot	1	Standard	WT_Standard
RPS10	P63325	6539040.519	22.0	WT	Single shot	1	Standard	WT_Standard
RPS15A	P62245	6698317.177	19.0	WT	Single shot	1	Standard	WT_Standard
TUBB5	P99024	5689647.88	28.0	WT	Single shot	1	Standard	WT_Standard
RPS29	P62274	5933303.78	26.0	WT	Single shot	1	Standard	WT_Standard
RPL27	P61358	5846246.687	27.0	WT	Single shot	1	Standard	WT_Standard
RPS21	Q9CQR2	5954186.915	25.0	WT	Single shot	1	Standard	WT_Standard
HSP90AB1	P11499	6620009.516	21.0	WT	Single shot	1	Standard	WT_Standard
RPS26	P62855	5512819.345	31.0	WT	Single shot	1	Standard	WT_Standard
CFL1	P18760	5679144.085	29.0	WT	Single shot	1	Standard	WT_Standard
RPS16	P14131	5156163.121	33.0	WT	Single shot	1	Standard	WT_Standard
RPS20	P60867	5014530.892	34.0	WT	Single shot	1	Standard	WT_Standard
TPM1	P58771	3290728.775	64.0	WT	Single shot	1	Standard	WT_Standard
RPS18	P62270	4709590.737	36.0	WT	Single shot	1	Standard	WT_Standard
RPL23A	P62751	4386824.756	40.0	WT	Single shot	1	Standard	WT_Standard
RPL27A	P14115	4207460.346	43.0	WT	Single shot	1	Standard	WT_Standard
RPL39	P62892	4098616.891	45.0	WT	Single shot	1	Standard	WT_Standard
ATP5F1E	P56382	4844120.72	35.0	WT	Single shot	1	Standard	WT_Standard
RPS27A	P62983	4455374.627	38.0	WT	Single shot	1	Standard	WT_Standard
RPS9	Q6ZWN5	4224140.392	42.0	WT	Single shot	1	Standard	WT_Standard
RPL34	Q9D1R9	4183855.13	44.0	WT	Single shot	1	Standard	WT_Standard
RPL35A	O55142	3710399.986	50.0	WT	Single shot	1	Standard	WT_Standard
RPL36	P47964	3657049.939	53.0	WT	Single shot	1	Standard	WT_Standard
H1-2	P15864	2282499.997	103.0	WT	Single shot	1	Standard	WT_Standard
RPS13	P62301	3857754.252	47.0	WT	Single shot	1	Standard	WT_Standard
ENO1	P17182	5960086.09	24.0	WT	Single shot	1	Standard	WT_Standard
TUBB6	Q922F4	3855548.616	48.0	WT	Single shot	1	Standard	WT_Standard
RPL30	P62889	3798393.076	49.0	WT	Single shot	1	Standard	WT_Standard
RPL31	P62900	3520766.101	58.0	WT	Single shot	1	Standard	WT_Standard
RPS3	P62908	3671183.694	52.0	WT	Single shot	1	Standard	WT_Standard
RPL35	Q6ZWV7	3239617.867	66.0	WT	Single shot	1	Standard	WT_Standard
RPL38	Q9JJI8	3543139.431	57.0	WT	Single shot	1	Standard	WT_Standard
