Gene names	Accession IDs	Copy number	Rank	Cell type	Experiment type	Fraction	Condition	label
BIOGNOSYS	Biognosys	97151371.5	1.0	Wt-MEfs	Single shot	1	Standard	Wt-MEfs_Standard
HIST1H4A	P62806	80918858.64	2.0	Wt-MEfs	Single shot	1	Standard	Wt-MEfs_Standard
VIM	P20152	63512581.37	3.0	Wt-MEfs	Single shot	1	Standard	Wt-MEfs_Standard
ACTB	P60710	63363506.34	4.0	Wt-MEfs	Single shot	1	Standard	Wt-MEfs_Standard
HIST1H2AH;HIST1H2AF;HIST3H2A;HIST1H2AB	Q8CGP6;Q8CGP5;Q8BFU2;P22752	60269500.06	5.0	Wt-MEfs	Single shot	1	Standard	Wt-MEfs_Standard
HIST1H2BC;HIST2H2BB;HIST1H2BH;HIST1H2BM	Q6ZWY9;Q64525;Q64478;P10854	57461547.5	6.0	Wt-MEfs	Single shot	1	Standard	Wt-MEfs_Standard
LGALS1	P16045	42499570.19	7.0	Wt-MEfs	Single shot	1	Standard	Wt-MEfs_Standard
RPS27A	P62983	38475109.8	8.0	Wt-MEfs	Single shot	1	Standard	Wt-MEfs_Standard
SERPINH1	P19324	37163047.73	9.0	Wt-MEfs	Single shot	1	Standard	Wt-MEfs_Standard
TUBB4B	P68372	37158203.49	10.0	Wt-MEfs	Single shot	1	Standard	Wt-MEfs_Standard
EEF1A1	P10126	35897617.01	11.0	Wt-MEfs	Single shot	1	Standard	Wt-MEfs_Standard
PPIA	P17742	33837835.55	12.0	Wt-MEfs	Single shot	1	Standard	Wt-MEfs_Standard
ANXA2	P07356	32616969.59	13.0	Wt-MEfs	Single shot	1	Standard	Wt-MEfs_Standard
GAPDH	P16858	31278506.95	14.0	Wt-MEfs	Single shot	1	Standard	Wt-MEfs_Standard
ACTA2;ACTG2	P62737;P63268	30437246.73	15.0	Wt-MEfs	Single shot	1	Standard	Wt-MEfs_Standard
PRDX1	P35700	27929943.91	16.0	Wt-MEfs	Single shot	1	Standard	Wt-MEfs_Standard
PDIA3	P27773	26559345.15	17.0	Wt-MEfs	Single shot	1	Standard	Wt-MEfs_Standard
HIST1H3B	P84228	23779969.61	18.0	Wt-MEfs	Single shot	1	Standard	Wt-MEfs_Standard
