Cell type	Organisms	Condition	File	Fraction	Experiment type	Acquisition Method
Astrocytes	Mus musculus	Standard	Astrocytes_1_Standard_fractionated.txt	1	Fractionated	DDA
Astrocytes	Mus musculus	Standard	Astrocytes_2_Standard_fractionated.txt	2	Fractionated	DDA
Astrocytes	Mus musculus	Standard	Astrocytes_3_Standard_fractionated.txt	3	Fractionated	DDA
Microglia	Mus musculus	young	Microglia_1_young_fractionated.txt	1	Fractionated	DDA
Microglia	Mus musculus	young	Microglia_2_young_fractionated.txt	2	Fractionated	DDA
Microglia	Mus musculus	young	Microglia_3_young_fractionated.txt	3	Fractionated	DDA
Microglia	Mus musculus	adult	Microglia_1_adult_fractionated.txt	1	Fractionated	DDA
Microglia	Mus musculus	adult	Microglia_2_adult_fractionated.txt	2	Fractionated	DDA
Microglia	Mus musculus	adult	Microglia_3_adult_fractionated.txt	3	Fractionated	DDA
Mouse_Wholebrain	Mus musculus	Standard	Mouse_Wholebrain_1_Standard_fractionated.txt	1	Fractionated	DDA
Mouse_Wholebrain	Mus musculus	Standard	Mouse_Wholebrain_2_Standard_fractionated.txt	2	Fractionated	DDA
Mouse_Wholebrain	Mus musculus	Standard	Mouse_Wholebrain_3_Standard_fractionated.txt	3	Fractionated	DDA
Mouse_Wholebrain	Mus musculus	Standard	Mouse_Wholebrain_4_Standard_fractionated.txt	4	Fractionated	DDA
Neurons	Mus musculus	div05	Neurons_1_div05_fractionated.txt	1	Fractionated	DDA
Neurons	Mus musculus	div05	Neurons_2_div05_fractionated.txt	2	Fractionated	DDA
Neurons	Mus musculus	div05	Neurons_3_div05_fractionated.txt	3	Fractionated	DDA
Neurons	Mus musculus	div10	Neurons_1_div10_fractionated.txt	1	Fractionated	DDA
Neurons	Mus musculus	div10	Neurons_2_div10_fractionated.txt	2	Fractionated	DDA
Neurons	Mus musculus	div10	Neurons_3_div10_fractionated.txt	3	Fractionated	DDA
Neurons	Mus musculus	div15	Neurons_1_div15_fractionated.txt	1	Fractionated	DDA
Neurons	Mus musculus	div15	Neurons_2_div15_fractionated.txt	2	Fractionated	DDA
Neurons	Mus musculus	div15	Neurons_3_div15_fractionated.txt	3	Fractionated	DDA
Oligodendrocytes	Mus musculus	div1_	Oligodendrocytes_1_div1__fractionated.txt	1	Fractionated	DDA
Oligodendrocytes	Mus musculus	div1_	Oligodendrocytes_2_div1__fractionated.txt	2	Fractionated	DDA
Oligodendrocytes	Mus musculus	div1_	Oligodendrocytes_3_div1__fractionated.txt	3	Fractionated	DDA
Oligodendrocytes	Mus musculus	div2.5	Oligodendrocytes_1_div2.5_fractionated.txt	1	Fractionated	DDA
Oligodendrocytes	Mus musculus	div2.5	Oligodendrocytes_2_div2.5_fractionated.txt	2	Fractionated	DDA
Oligodendrocytes	Mus musculus	div2.5	Oligodendrocytes_3_div2.5_fractionated.txt	3	Fractionated	DDA
Oligodendrocytes	Mus musculus	div4	Oligodendrocytes_1_div4_fractionated.txt	1	Fractionated	DDA
Oligodendrocytes	Mus musculus	div4	Oligodendrocytes_2_div4_fractionated.txt	2	Fractionated	DDA
Oligodendrocytes	Mus musculus	div4	Oligodendrocytes_3_div4_fractionated.txt	3	Fractionated	DDA
2970	Mus musculus	Standard	2970_single_shot.txt	1	Single shot	DIA
2991	Mus musculus	Standard	2991_single_shot.txt	1	Single shot	DIA
3T3	Mus musculus	Standard	3T3_single_shot.txt	1	Single shot	DIA
Cortical Neurons	Mus musculus	Standard	Cortical Neurons_single_shot.txt	1	Fractionated	DIA
FAK	Mus musculus	Standard	FAK_single_shot.txt	1	Single shot	DIA
R1441C	Mus musculus	Standard	R1441C_single_shot.txt	1	Single shot	DIA
WT	Mus musculus	Standard	WT_single_shot.txt	1	Single shot	DIA
A549	Homo sapiens	Standard	A549_single_shot.txt	1	Fractionated	DDA
Brain	Mus musculus	Standard	Brain_single_shot.txt	1	Single shot	DDA
