Gene names	Accession IDs	Copy number	Rank	Cell type	Experiment type	Fraction	Condition	label
MAPK8IP3	K3W4S4;Q9ESN9-6;Q9ESN9;J3QNR6;Q9ESN9-4	48339.9300136267	3185.0	Isolated Astrocytes	Single shot	1	Standard	Isolated Astrocytes_Standard
PPM1H	Q3UYC0;Q3UYC0-2	16485.1890889524	4768.0	Isolated Astrocytes	Single shot	1	Standard	Isolated Astrocytes_Standard
RAB10	P61027	1568512.66870722	306.0	Isolated Astrocytes	Single shot	1	Standard	Isolated Astrocytes_Standard
RAB12	A2CG35	127511.238423412	1999.0	Isolated Astrocytes	Single shot	1	Standard	Isolated Astrocytes_Standard
RAB1B	Q9D1G1	1403157.72038184	347.0	Isolated Astrocytes	Single shot	1	Standard	Isolated Astrocytes_Standard
RAB35	Q6PHN9	95461.1879010001	2297.0	Isolated Astrocytes	Single shot	1	Standard	Isolated Astrocytes_Standard
RAB3A	P63011	115245.239436907	2103.0	Isolated Astrocytes	Single shot	1	Standard	Isolated Astrocytes_Standard
RAB3B	Q9CZT8;A2A7Z6	13787.9083446868	5066.0	Isolated Astrocytes	Single shot	1	Standard	Isolated Astrocytes_Standard
RAB3D	P35276;D3YWL1;D3YW33	58554.4610870746	2899.0	Isolated Astrocytes	Single shot	1	Standard	Isolated Astrocytes_Standard
RAB43	Q8CG50;D3Z444	19518.1956521698	4513.0	Isolated Astrocytes	Single shot	1	Standard	Isolated Astrocytes_Standard
RAB7A	P51150	2039235.83702746	227.0	Isolated Astrocytes	Single shot	1	Standard	Isolated Astrocytes_Standard
RAB8A	P55258	188780.621533899	1609.0	Isolated Astrocytes	Single shot	1	Standard	Isolated Astrocytes_Standard
RAB8B	P61028	68465.5479624318	2690.0	Isolated Astrocytes	Single shot	1	Standard	Isolated Astrocytes_Standard
RILPL1	Q9JJC6	12162.6104342331	5253.0	Isolated Astrocytes	Single shot	1	Standard	Isolated Astrocytes_Standard
RILPL2	Q99LE1;Q99LE1-2	13922.2057554581	5046.0	Isolated Astrocytes	Single shot	1	Standard	Isolated Astrocytes_Standard
SPAG9	Q58A65-2;Q58A65-5;Q58A65-6;Q58A65-3;F8WH31;E9PUD1;Q58A65-4;Z4YMB8	79795.7323498263	2494.0	Isolated Astrocytes	Single shot	1	Standard	Isolated Astrocytes_Standard
VPS35	Q9EQH3	650946.71681983	697.0	Isolated Astrocytes	Single shot	1	Standard	Isolated Astrocytes_Standard
ACTB	P60710	35884527.0587023	3.0	Isolated Astrocytes	Single shot	1	Standard	Isolated Astrocytes_Standard
TUBB2A	Q7TMM9	15041023.4291419	8.0	Isolated Astrocytes	Single shot	1	Standard	Isolated Astrocytes_Standard
TUBA1B	P05213	14184949.442333	10.0	Isolated Astrocytes	Single shot	1	Standard	Isolated Astrocytes_Standard
GAPDH	P16858;S4R257	12578008.0993709	16.0	Isolated Astrocytes	Single shot	1	Standard	Isolated Astrocytes_Standard
HSPA8	P63017;Q504P4	8020110.55736615	29.0	Isolated Astrocytes	Single shot	1	Standard	Isolated Astrocytes_Standard
SPTAN1	A3KGU7	1466756.95313945	332.0	Isolated Astrocytes	Single shot	1	Standard	Isolated Astrocytes_Standard
ATP5B	P56480	11111566.6697343	21.0	Isolated Astrocytes	Single shot	1	Standard	Isolated Astrocytes_Standard
CKB	Q04447	14730882.762181	9.0	Isolated Astrocytes	Single shot	1	Standard	Isolated Astrocytes_Standard
ATP5A1	Q03265;D3Z6F5	9991350.95151951	22.0	Isolated Astrocytes	Single shot	1	Standard	Isolated Astrocytes_Standard
PKM	P52480	4808359.77056203	57.0	Isolated Astrocytes	Single shot	1	Standard	Isolated Astrocytes_Standard
ENO1	P17182;Q6PHC1	11829888.7258765	20.0	Isolated Astrocytes	Single shot	1	Standard	Isolated Astrocytes_Standard
VIM	P20152	17311137.6941404	7.0	Isolated Astrocytes	Single shot	1	Standard	Isolated Astrocytes_Standard
DPYSL2	O08553	5911997.89649763	40.0	Isolated Astrocytes	Single shot	1	Standard	Isolated Astrocytes_Standard
HIST1H4A	P62806	81115694.1806231	1.0	Isolated Astrocytes	Single shot	1	Standard	Isolated Astrocytes_Standard
HSP90AB1	P11499	5623105.57273302	42.0	Isolated Astrocytes	Single shot	1	Standard	Isolated Astrocytes_Standard
CLTC	Q68FD5;Q5SXR6	1470583.65498128	330.0	Isolated Astrocytes	Single shot	1	Standard	Isolated Astrocytes_Standard
ALDOA	A6ZI44	3501860.56810259	98.0	Isolated Astrocytes	Single shot	1	Standard	Isolated Astrocytes_Standard
YWHAE	P62259;D6REF3	12745079.5232046	14.0	Isolated Astrocytes	Single shot	1	Standard	Isolated Astrocytes_Standard
EEF1A1	P10126;D3YZ68	9630637.08189147	24.0	Isolated Astrocytes	Single shot	1	Standard	Isolated Astrocytes_Standard
